Alloy Name,DOIs
AgAlNbTiZn,"['10.1016.j.msea.2018.12.020', '10.1016.j.jallcom.2020.155039']"
AgAuCuPdPt,"['10.1016.j.actamat.2023.119398', '10.1016.j.mser.2021.100645']"
AgBiSe2,"['10.1016.j.jmat.2023.04.008', '10.1016.j.mtphys.2023.101238']"
Al0.05CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.corsci.2023.111599']"
Al0.0CrFe1.5MnNi0.5,"['10.1016.j.jmst.2020.11.044', '10.1016.j.tsf.2008.06.014']"
Al0.15CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.corsci.2023.111599', '10.1016.j.intermet.2018.01.021', '10.1016.j.matdes.2017.07.008', '10.1016.S1003-6326(15)63733-5', '10.1016.j.matlet.2015.11.016']"
Al0.1CoCrFeNi,"['10.1016.j.actamat.2024.120059', '10.1016.j.intermet.2016.12.016', '10.1016.j.intermet.2018.05.013', '10.1016.j.corsci.2023.111089', '10.1016.j.matdes.2023.111847', '10.1016.j.corsci.2023.111599', '10.1016.j.intermet.2012.03.005', '10.1016.j.jnucmat.2016.08.017', '10.1016.j.actamat.2017.10.050', '10.1016.j.actamat.2018.12.012', '10.1016.j.actamat.2020.116505', '10.1016.j.ijplas.2022.103463', '10.1016.j.ijplas.2023.103550', '10.1016.j.intermet.2015.11.002', '10.1016.j.intermet.2017.08.004', '10.1016.j.intermet.2021.107388', '10.1016.j.intermet.2023.107943', '10.1016.j.intermet.2024.108368', '10.1016.j.jallcom.2019.04.333', '10.1016.j.jallcom.2020.156187', '10.1016.j.jallcom.2021.162789', '10.1016.j.jallcom.2022.163964', '10.1016.j.jallcom.2022.167533', '10.1016.j.jallcom.2022.168261', '10.1016.j.jallcom.2024.173581', '10.1016.j.jmapro.2021.06.047', '10.1016.j.jmatprotec.2023.118251', '10.1016.j.jmrt.2023.05.258', '10.1016.j.jmrt.2024.06.201', '10.1016.j.jmst.2020.01.057', '10.1016.j.jmst.2021.02.063', '10.1016.j.jmst.2022.02.056', '10.1016.j.jmst.2022.06.003', '10.1016.j.jmst.2023.12.006', '10.1016.j.jnucmat.2017.08.015', '10.1016.j.jpcs.2021.110397', '10.1016.j.matchar.2022.112572', '10.1016.j.matchemphys.2017.06.021', '10.1016.j.matchemphys.2017.07.031', '10.1016.j.matchemphys.2018.05.050', '10.1016.j.matchemphys.2023.127556', '10.1016.j.matlet.2018.10.161', '10.1016.j.matlet.2018.11.176', '10.1016.j.matlet.2022.133531', '10.1016.j.msea.2015.09.034', '10.1016.j.msea.2015.12.063', '10.1016.j.msea.2015.12.085', '10.1016.j.msea.2016.12.110', '10.1016.j.msea.2018.04.108', '10.1016.j.msea.2018.07.073', '10.1016.j.msea.2020.140125', '10.1016.j.msea.2020.140696', '10.1016.j.msea.2021.140752', '10.1016.j.msea.2021.141085', '10.1016.j.msea.2021.141253', '10.1016.j.msea.2021.142165', '10.1016.j.msea.2022.143221', '10.1016.j.msea.2022.144275', '10.1016.j.msea.2022.144432', '10.1016.j.msea.2023.145623', '10.1016.j.msea.2024.146433', '10.1016.j.mtcomm.2021.102525', '10.1016.j.mtcomm.2022.104224', '10.1016.j.mtcomm.2023.105346', '10.1016.j.scriptamat.2016.06.019', '10.1016.j.scriptamat.2017.06.009', '10.1016.j.scriptamat.2017.09.025', '10.1016.j.scriptamat.2019.04.002', '10.1016.j.ultsonch.2017.09.044', '10.1016.j.ultsonch.2018.09.004', '10.1016.j.wear.2017.01.020', '10.1016.j.wear.2019.203028', '10.1016.j.wear.2020.203385', '10.1016.j.wear.2020.203452', '10.1016.j.matlet.2023.135090', '10.20964.2022.08.15', '10.1016.j.scriptamat.2023.115495']"
Al0.1CrCoFeNi,"['10.1016.j.ultsonch.2017.09.044', '10.1016.j.wear.2017.01.020', '10.1016.j.actamat.2023.119490']"
Al0.1CrFeCoNi,"['10.1016.j.jmrt.2022.01.118', '10.1016.j.msea.2020.138918', '10.1016.j.jmst.2022.06.003', '10.1016.j.msea.2018.09.005', '10.1016.j.actamat.2019.12.015', '10.1016.j.corsci.2023.111097', '10.1016.j.matdes.2015.07.161', '10.1016.j.msea.2020.140523', '10.1016.j.msea.2022.144060', '10.1016.j.pmatsci.2021.100807', '10.1016.j.pmatsci.2023.101090']"
Al0.1CrMoNbV,"['10.1016.j.ijrmhm.2021.105636', '10.1016.j.jmrt.2024.03.205']"
