Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2016.08.072/figures/gr1.jpg,Fig. 1,"BSE images of as-cast Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs with (a) 0 at. % carbon, (b) 0.16 at. % carbon and (c) 1.1 at. % carbon. The inserted X-ray spectra in (a) shows the dark points are Al-rich nitride particles."
fig2,articles_test/10.1016.j.actamat.2016.08.072/figures/gr2.jpg,Fig. 2,"(a) Synchrotron XRD patterns from carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs. The at. % of carbon is shown on each curve, all of which are single phase f.c.c. (b) Lattice parameter versus carbon content for Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs."
fig3,articles_test/10.1016.j.actamat.2016.08.072/figures/gr3.jpg,Fig. 3,"Atom probe tomography (APT) elemental maps and frequency distribution analysis for the as-cast 1.1 at. % carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEA. The value of μ indicates the degree of atomic segregation, where 0 is a complete random distribution and 1 is a fully ordered distribution[25]."
fig4,articles_test/10.1016.j.actamat.2016.08.072/figures/gr4.jpg,Fig. 4,"(a) Typical engineering stress-strain curves for carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs, and (b) Yield strength versus carbon content for Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs."
fig5,articles_test/10.1016.j.actamat.2016.08.072/figures/gr5.jpg,Fig. 5,Force-displacement curves of (a) undoped and (b) 1.1 at. % carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs loading by nanoindents.
fig6,articles_test/10.1016.j.actamat.2016.08.072/figures/gr6.jpg,Fig. 6,(a) Typical true stress and (b) Strain hardening rate as a function of true strain for carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEAs. The at. % of carbon is shown on each curve.
fig7,articles_test/10.1016.j.actamat.2016.08.072/figures/gr7.jpg,Fig. 7,"Fracture surfaces of (a, b) undoped HEA, (c, d) 0.55 at. % carbon-doped HEA and (e, f) 1.1 at. % carbon-doped HEA at low and high magnification. The black dotted line in (a), (c) and (e) indicates the contour of fracture surfaces. The values of reduction in area (RA) and elongation to fracture (EG) for each specimen are listed in (a), (c) and (e)."
fig8,articles_test/10.1016.j.actamat.2016.08.072/figures/gr8.jpg,Fig. 8,"BF TEM micrographs of the undoped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEA after (a) 1% strain, (b) 20% strain and (c) 40% strain. The dislocations cells (DCs) and dense dislocation walls (DDWs) are seen in (c)."
fig9,articles_test/10.1016.j.actamat.2016.08.072/figures/gr9.jpg,Fig. 9,"BF TEM micrographs of 1.1 at. % carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEA after (a) 1% strain, (b) 24% strain; and (c) and (d) 48% strain. The solid line and dotted line in (c) are domain boundary and microband, respectively. Domain boundaries (DBs) define the single dislocation boundaries for the Taylor lattice, and microbands (MBs) indicate the plate-like zones[32]. The trace of {111} in (d) shows that microband orient along {111} plane."
fig10,articles_test/10.1016.j.actamat.2016.08.072/figures/gr10.jpg,Fig. 10,"Atom probe tomography (APT) elemental maps and frequency distribution analysis of the 1.1 at. % carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEA after 10% strain. The inserted BF TEM image shows the pile-up of dislocations. The value of μ indicates the degree of atomic segregation, where 0 is a complete random distribution and 1 is a fully ordered distribution[25]."
fig11,articles_test/10.1016.j.actamat.2016.08.072/figures/gr11.jpg,Fig. 11,"TEM micrographs of 0.07 at. % carbon-doped Fe40.4Ni11.3Mn34.8Al7.5Cr6HEA after (a) 1% strain, (b) 24% strain; and (c) and (d) 52% strain. The black arrows in (a) and (b) indicate linear arrays of dislocations. The solid line and dotted line in (c) are the domain boundary (DB) and microband (MB), respectively. The dislocation cells (DCs) are seen in (c). (d) DF image for a microband."
fig12,articles_test/10.1016.j.actamat.2016.08.072/figures/gr12.jpg,Fig. 12,"WBDF images of a dissociated dislocation in (a) undoped HEA, (b) 0.07 at. % carbon-doped HEA, and (c) 1.1 at. % carbon-doped HEA at 1% strain. The inserted SAD pattern in (a) shows theg/3gdiffracting condition. A representative separation measurement is shown for each image."
fig13,articles_test/10.1016.j.actamat.2016.08.072/figures/gr13.jpg,Fig. 13,Schematic images of dislocation substructure for (a) cell-forming and (b) non-cell forming structure.
