Alloys,Regions,Crystal Structure,Al,Ni,Co,Fe,Cr
M1111,O,,13.0 +- 0.6,21.7 +- 0.8,22.4 +- 0.7,21.4 +- 0.7,21.5 +- 0.9
M1111,DR,FCC,9.4 +- 0.7,21.4 +- 1.1,23.5 +- 1.0,24.5 +- 0.9,21.2 +- 1.0
M1111,ID,BCC/B2,13.4 +- 0.7,22.6 +- 0.9,21.4 +- 0.9,21.0 +- 0.8,21.6 +- 0.9
M4433,O,,12.7 +- 0.7,23.9 +- 1.1,25.6 +- 1.0,19.3 +- 0.8,18.5 +- 0.7
M4433,DR,FCC,9.2 +- 0.6,25.4 +- 1.0,26.5 +- 0.9,20.4 +- 0.7,18.5 +- 0.8
M4433,ID,BCC/B2,21.2 +- 0.9,29.9 +- 1.0,21.1 +- 0.9,13.8 +- 0.6,14.0 +- 0.7
M1121,O,,13.9 +- 0.6,17.6 +- 0.8,17.1 +- 1.0,33.5 +- 1.2,17.9 +- 0.8
M1121,DR,BCC/B2,14.5 +- 0.8,17.0 +- 1.0,16.6 +- 0.9,33.7 +- 1.3,18.2 +- 0.8
M1121,ID,FCC,12.5 +- 0.5,17.4 +- 0.8,17.5 +- 0.7,35.2 +- 1.1,17.4 +- 0.6
M1112,O,BCC/B2,13.0 +- 0.6,17.1 +- 0.7,17.7 +- 0.7,17.2 +- 0.6,35.0 +- 1.1
Al3M14,O,BCC/B2,17.7 +- 0.7,20.7 +- 0.8,21.0 +- 0.8,20.8 +- 0.6,19.8 +- 0.7
