No.,Twin system,Schmid factor (m),Schmid factor (m),Schmid factor (m),Schmid factor (m)
No.,Twin system,<111>T,<100>C,<122>T,<144>T
1,(   1 -     1 -   1 )   [   1 -     1 -     2 -   ],-0.12,-0.23,-0.11,-0.20
2,( 1   1 -   1 )   [ 1   1 -     2 -   ],-0.19,-0.25,-0.09,-0.10
3,(   1 -   11 )   [   1 -   1   2 -   ],-0.23,-0.25,-0.22,-0.26
4,( 1   1 -   1 )   [ 121 ],-0.11,-0.23,-0.04,-0.02
5,(   1 -     1 -   1 )   [   1 -   21 ],0.13,-0.24,0.30,0.37
6,( 111 )   [ 1   2 -   1 ],-0.09,-0.24,-0.05,-0.02
7,(   1 -   11 )   [   1 -     2 -   1 ],0.40,-0.23,0.48,0.49
8,(   1 -   11 )   [ 211 ],-0.18,0.47,-0.27,-0.24
9,(   1 -     1 -   1 )   [ 2   1 -   1 ],-0.01,0.47,-0.19,-0.17
10,( 1   1 -   1 )   [   2 -     1 -   1 ],0.30,0.48,0.12,0.12
11,( 111 )   [   2 -   11 ],-0.12,0.48,-0.15,-0.07
12,( 111 )   [ 11   2 -   ],0.21,-0.23,0.20,0.09
