Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"High-entropy alloys (HEAs) are a newly emerging class of materials that show attractive mechanical properties for structural applications. Particularly, face-centered cubic (fcc) structured HEAs and medium-entropy alloys (MEAs) such as FeMnCoNiCr and CoNiCr alloys, respectively, which exhibit superior fracture toughness and tensile properties at liquid nitrogen temperature, are the potential HEA materials available for cryogenic applications. Here, we report a ferrous Fe60Co15Ni15Cr10 (at%) MEA exhibiting combination of cryogenic tensile strength of ∼1.5 GPa and ductility of ∼87% due to the multiple-stage strain hardening. Astonishingly, detailed microstructural observations at each stage reveal the sequential operation of deformation-induced phase transformation from parent fcc to newly formed bcc (body-centered cubic) phases. No compositional heterogeneity is observed at phase boundaries, indicating diffusionless phase transformation, as confirmed by atom probe tomography. The transformation to bcc phase occurs predominantly along grain boundaries (GBs) at the early stage of plastic deformation. Simultaneously, numerous deformation-induced shear bands (SBs) having stacking faults associated to the Shockley partial dislocations and thin hcp plates, form within fcc grains. Further deformation leads to the intense nucleation and growth of the bcc phase at the intersections of SBs within fcc grains. These micro-processes consecutively enhance the strain hardening rate, which play a key role in the multiple strain hardening behavior. The in-situ neutron diffraction studies make it clear that the martensite formation and the concurrent load partitioning between the fcc and bcc phases play an important role in the increase in strength. Furthermore, replacing high-cost alloying elements cobalt and nickel with iron, as well as introduction of metastability-engineering at liquid nitrogen temperature, distinguishes the new ferrous MEAs from previously reported equiatomic HEAs. This result underlines insights to provide expanded opportunities for the future development of HEAs for cryogenic applications.",[],[]
1,Introduction,"With recent advances in the aerospace, marine shipbuilding, and natural gas industries, the demand for metallic alloys having desirable strength and ductility in cryogenic environments has been increased. The challenge in designing alloys is that many engineering alloys become embrittled at low temperatures, hence, their use at cryogenic temperatures is often limited [1–3]. Multicomponent alloys, referred to as high-entropy alloys (HEAs) or medium-entropy alloys (MEAs) depending on their configurational entropy of mixing, have recently drawn much interest due to their outstanding properties at elevated temperatures [4–6]. In particular, equiatomic FeMnCoNiCr and CoNiCr alloys compromising a single face-centered cubic (fcc) structure have been potential materials for cryogenic engineering uses owing to their superior synergy of fracture toughness and tensile properties at liquid nitrogen temperature [7–11]. The underlying strengthening mechanism upon cryogenic-temperature plastic deformation of these materials is the substantial interaction between lattice dislocations and nano-twins. Additionally, Miao et al. [12] suggested that the formation of nanotwin and hexagonal close-packed (hcp) lamellar structures at larger strain level is responsible for the superior tensile properties of CoNiCr alloy.",[],[]
1,Introduction,"Recently, classical methods for strengthening materials, including nanostructuring, micro-band formation, mechanical twinning, or precipitation strengthening, have been successfully applied for improving the room-temperature mechanical properties of HEAs due to the demand for further enhancing mechanical properties [13–17]. Among these, metastability-engineering strategy [18], as a breakthrough of HEA design concept, enables the development of transformation-induced plasticity-assisted dual-phase Fe50Mn30Co10Cr10(at%) HEA. Destabilizing high-temperature fcc phase through reducing the Mn content in the HEA system, promotes deformation-induced phase transformation from fcc to hexagonal close-packed (hcp) phase at room temperature, improving both strength and ductility. Also, the similar approach that was based on destabilizing body-centered cubic (bcc) phase by changing Ta content offers phase-transformation ductilization to brittle bcc structure in TaxHfZrTi HEA system [4]. These efforts suggest that the transformation-induced plasticity (TRIP) effect manipulates the internal defect landscape of high-performance HEA or MEA for improving their strength without loss of ductility. However, despite such profound progress, the utilization of metastability-engineering strategy has so far been realized only for room-temperature conditions, and even few alloying systems. For exploiting the metastability measures having potentially great impacts on material's cryogenic-temperature mechanical properties, thus, research into a new HEA design approach is required.",[],[]
1,Introduction,"Herein, we successfully exploit the metastability-engineering strategy under cryogenic conditions. Working toward this goal, we introduce fcc-structured Fex(CoNi)90-xCr10(at%) MEA system, and the rationale for this selection is that: (i) The Cr-rich σ phase has been reported in four-element FeCoNiCr system [19,20], thus reducing the Cr content down to 10 at% can suppress the formation of intermetallic compound. (ii) Ni stabilizes the fcc phase, given that substitution of Ni for Fe broadens fcc single-phase region in Fe-Ni binary system [21]. (iii) Co acts as an fcc stabilizer at high temperatures, while raises the martensite starting temperature at low temperatures in Fe-Co binary system [22–24].",[],[]
1,Introduction,"To most likely achieve the TRIP effects at cryogenic temperatures, we identify effects of alloying elements on phase constitution and on phase stability to introduce metastable fcc-structured solid solution, and newly design a ferrous Fex(CoNi)90-xCr10(x= 55, 57.5, and 60 at%) MEA system. The objective of the present work is to study the evolution of phase stability and transformation-induced microstructures during tensile loading at temperature ranging 77–298 K of the present MEA materials. Based on the results of microstructural analysis, combined within-situneutron diffraction analysis during tensile deformation at room- and low-temperatures (298 K and 136 K, respectively), we found that the underlying micro-processes of the present alloys under cryogenic loading involve deformation-induced phase transformation from metastable fcc to bcc phases, thereby leading to the TRIP effects; we were able to achieve more than triple its tensile strength than that of room-temperature one, while further gaining its ductility rather than sacrificing it. Our results are expected to provide a potent means for the future development of HEAs available for cryogenic applications.",[],[]
2,Experimental methods,"The present Fex(CoNi)90-xCr10(x= 55, 57.5, and 60) alloys were produced by employing vacuum induction melting equipment (model: MC100V, Indutherm, Walzbachtal-Wossingen, Germany) under an Ar atmosphere using pure metals (purity higher than 99.9%). Rectangular ingots with the dimensions of 100 × 35 × 8 mm3were homogenized at 1373 K for 6 hr, pickled in a 20% HCl, and milled to a thickness of 7 mm. The pickled ingots were rolled at room temperature with a thickness reduction ratio of ∼79% (from 7 to 1.5 mm). The rolled sheets were annealed at 1073 K for 10 min to obtain fully recrystallized microstructures, and subsequently water-quenched.",[],[]
2,Experimental methods,"Uniaxial tensile tests were conducted on specimens cut in the rolling direction. The plate-type sub-sized tensile specimens (gauge length: 6.4 mm, gauge width: 2.5 mm, thickness: 1.5 mm) were tested in tension at an engineering strain rate of 10−3s−1using a universal testing machine (Instron 1361, Instron Corp, Canton, MA, USA) at 77 and 298 K. A low-temperature chamber was attached to the universal testing machine in the case of the tensile tests at 77 K, and the temperature was controlled by an automatic cooling chamber system using liquid N2injection. Vickers microindents (300 g load) spaced ∼6.4 mm apart were made along the gauge lengthes of the tensile specimens to correct strain measurements obtained from the crosshead displacements. Three samples were tested at each temperature to confirm reproducibility of results, and the representative data were obtained by averaging three values at each data point and determining the standard deviation.",[],[]
2,Experimental methods,"Multiple characterization techniques were used to analyze the microstructures of the recrystallized and deformed non-equiatomic MEA samples. X-ray diffraction (XRD) peak profiles were recorded on the samples subject to heat treatment at 1073 K for 10 min, and using Cu Kαradiation of 0.15406 nm with a step scanning rate of 2 deg/min. Electron backscatter diffraction (EBSD) measurements were performed with field emission scanning electron microscope (FE-SEM) equipped with a TSL EBSD system. The step size of the EBSD scan for the cryogenic-deformed samples was 92 nm, and a number of EBSD scans of each sample with the probed area of 481 × 112 μm2were performed for phase fraction measurements. The EBSD data were interpreted using orientation imaging microscopy (OIM) collection software (TSL OIM Analysis 7).",[],[]
2,Experimental methods,"To characterize the fcc/bcc interfaces, as primarily targeted in this work, the chemical composition of the phase boundaries was investigated using an atom probe tomography (APT) system (LEAP 4000X HR, Cameca Inc.) with a reflectron at the atomic scale. APT tips were prepared using a focused ion beam (FIB) milling system (FEI Helios Nanolab 650i) from regions of interest containing fcc/bcc phase boundaries detected through a prior EBSD scan. All the measurements were conducted with the voltage-pulsing mode at a detection rate of 0.2%; pulse fraction of 20%; and pulse repetition rate of 200 kHz. All measurements were performed at 60 K under a pressure of less than 10−7Pa. To observe microstructure evolution during plastic deformation at 77 K, the samples for transmission electron microscopy (TEM) were produced by dual-beam focused ion beam (FIB, FEI Helios Nano-Lab™). Bright-field or high-angle annular dark field (HAADF) imaging, selected area diffraction patterns (SADPs) and high-resolution TEM (HR-TEM) lattice micrographs were obtained with a JEOL 2200FS equipped with an aberration corrector operated at an acceleration voltage of 200 kV.",[],[]
2,Experimental methods,"To understand detailed strengthening mechanism of the present alloys,in-situneutron diffraction was conducted to monitor the structural evolution upon tensile loading at 298 K and 136 K. Plate-type tensile specimens with a gauge length of 25 mm, a gauge width of 4 mm, and a thickness of 1.5 mm along the rolling direction were prepared. The experiments were conducted at TAKUMI [25], a high resolution and high intensity time of flight (TOF) neutron diffractometer for engineering materials science at Materials and Life Science Experimental Facility of Japan Proton Accelerator Research Complex. The neutron diffraction patterns in the axial and transverse directions were collected simultaneously using two detector banks with the scattering angles of ±90°. The samples were tested in tension in a step-load controlling manner with 600 s holding in elastic regime, and in a continuous manner with a constant engineering strain rate of 3 × 10−5s−1in the plastic regime. The data for the plastic regime were then extracted periodically with 300 s accumulating time for different applied strain. Data analyses were conducted using a Rietveld software called Z-Rietveld [26]. In addition, since the position of peaks with large intensities become dominant contributions to the lattice constants when using the Rietveld refinement [27], a single peak fitting method with the Z-Rietveld was used to determine phase strains and macroscopic lattice strains of each (hkl) peak.",[],[]
