Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"Microstructure and mechanical properties of equimolar composition alloys FeCrCoNi, FeCrCoNiV, FeCrCoNiMn and FeCrCoNiMnV were studied in as-solidified and annealed conditions. The FeCrCoNi and FeCrCoNiMn alloys were single-phase FCC solid-solutions in both conditions. However, the FeCrCoNiV and FeCrCoNiMnV alloys consisted of the intermetallic σ-phase matrix with a tetragonal crystal lattice and precipitates of a disordered FCC phase. The crystal structures of these alloys were found to be not affected by annealing. A number of criteria were considered to explain phase composition of the studied alloys. It was shown that poor compatibility of V with other alloying elements caused significant distortions of FCC solid solution and thus promoted formation of the σ phase. Tensile and compressive properties of these alloys together with their microhardness were determined. Significant strengthening accompanied by the loss of ductility due to formation of the σ phase was demonstrated in the V containing alloys. The characteristics of the microstructure formation in the studied alloys were discussed.",[],[]
1,Introduction,"The concept of high entropy alloys (HEAs) is one of the most recent developments in material science[1]. Depending on their composition and microstructure, HEAs can offer diverse range of attractive properties, such as high hardness and wear resistance[2], exceptional high temperature strength[3,4], good low-temperature ductility[5,6], and superplastic behavior[7,8]. HEAs are defined as alloys consisting of 5 or more principal elements with nearly equimolar fractions[1]. High entropy of mixing is thought to prevent formation of intermetallic phases. Thus, the alloys should consist mainly from simple solid solutions. However, there are experimental evidences that ordered solid solutions and/or intermetallic phases may also exist in many HEAs[9,10]. This indicates that the high entropy of mixing of the alloying elements is not sufficient to prevent formation of intermetallic phases in favor of solid solution phases in HEAs[11].",[],[]
1,Introduction,"Hume-Rothery rules are generally used to predict formation of continuous solid solutions in conventional metallic alloys. For the formation of continuous solid solution of two elements, the following requirements should be met: (i) the difference between the atomic radii of the alloying elements [(rsolute−rsolvent)/rsolvent)×100%] is less than 15%; (ii) the crystal structures of the elements are identical; (iii) the elements have the same valence electron concentration (VEC); (iv) the electronegativities of the elements are similar[12]. However, it is not clear whether such rules can be applied directly to the multicomponent HEAs, as it is hard to expect that all of the alloying elements have, for example, the same crystal structure and VEC. A number of attempts have been made[13–16]to develop some criteria based on Hume-Rothery rules which could be used to predict formation of solid solution or intermetallic phases in HEAs. However, strict methodology has not been developed yet.",[],[]
1,Introduction,"It is known that several 4-component equiatomic alloys, such as WNbMoTa[17]or CoCrFeNi[18–20]exhibit simple solid solution single phase structures. Increasing the number of alloying elements generally causes phase separation, in spite of an increase in ΔSmix. For example, a complex multiphase structure is formed in the CoCrFeNi–Al system[21]. In contrast, in the CoCrFeNiMn alloy the presence of only simple solid solution is confirmed by a number of investigations[11,22]. Such different behavior can be expected, as Mn is closer (than Al) to the other components of the alloy to fulfill Hume-Rothery rules. Another “neighbor” of the elements of the CoCrFeNi alloy in the periodic table is V. We did not find any information in the literature on the alloys with compositions close to CoCrFeNiV and CoCrFeMnNiV. However, complex structures containing intermetallic phases, including theσphase, were reported for the Al0.5CoCrCuFeNiVxalloy system[23]. Theσphase was also found in the alloys such as CoFeMnNiV and CoCrMnNiV[11]. However, the presence of such elements as Al, Cu and Mn or the absence of Cr or Fe makes it impossible to clearly denote the effect of V on the microstructure formation of the CoCrFeNi-based alloys. One should also note that systematic investigations of the effect of alloying of the CoCrFeNi-based alloys with Mn and V on tensile properties have not been performed.",[],[]
1,Introduction,"In this work, the microstructure and mechanical properties of the CoCrFeNi, CoCrFeNiMn, CoCrFeNiV and CoCrFeNiMnV HEAs are reported, both in as-solidified and annealed conditions. Mn and V were chosen as the alloying elements as they are “neighbors” of the elements of the base alloy in the periodic table and thus are likely to form simple solid solutions. The following goals were pursued: (i) to investigate the effects of alloying with V alone or together with Mn on the microstructure of CoCrFeNi alloy; (ii) to provide additional information on usefulness of the Hume-Rothery based criteria for the prediction of the crystal structures in HEAs; and (iii) to evaluate mechanical properties of the CoCrFeNiMnxVyalloys and their interplay with the microstructure.",[],[]
2,Experimental procedures,"Equiatomic alloys with the compositions of CoCrFeNi, CoCrFeNiMn, CoCrFeNiV and CoCrFeNiMnV were produced by arc melting of the components in high-purity argon inside a water-cooled copper cavity. The purities of the alloying elements were above 99.9%. To ensure chemical homogeneity, the ingots were flipped over and re-melted a least 5 times. The produced ingots had dimensions of about 6×15×60mm3. The alloys were studied both in as-solidified state and after homogenization annealing. Homogenization was carried out at 1000°C for 24h, in accord to previous work by Gali and George[5]who used these conditions to homogenize the CoCrFeNi, CoCrFeNiMn alloys. Prior to homogenization, the samples were sealed in vacuumed (10−2torr) quartz tubes filled with titanium chips to prevent oxidation. After annealing, the tubes were removed from the furnace and the samples were cooled inside the vacuumed tubes down to room temperature due to heat exchange with surrounding air.",[],[]
2,Experimental procedures,"Microstructure of the alloys was studied using X-ray diffraction (XRD), and scanning (SEM) and transmission (TEM) electron microscopy. XRD analysis was performed using RIGAKU diffractometer and Cu Kα radiation. Samples for SEM observations were prepared by careful mechanical polishing. SEM investigations were performed utilizing Quanta 200 3D microscope equipped with energy-dispersive (EDS) detector. Samples for TEM analysis were prepared by conventional twin-jet electro-polishing of mechanically pre-thinned to 100μm foils, in a mixture of 95% C2H5OH and 5% HClO4at the 27V potential. TEM investigations were performed using JEOL JEM-2100 apparatus equipped with EDS detector at accelerating voltage of 200kV.",[],[]
2,Experimental procedures,"Vickers microhardness, HV, was measured on polished cross-section surfaces using a 136 Vickers diamond pyramid under a 250g load applied for 15s. For microhardness measurements of individual phases, 10g load was applied. Tensile testing was preformed utilizing Instron 5882 machine. Specimens had gauge dimensions of 5×3×1.5mm3. Initial strain rate was 10−3s−1. Three tensile specimens were tested for each condition. The similar tests provided maximum scatters of ∼5% in the yield strength and tensile strength and ∼10% in tensile ductility. Compressive tests were performed on rectangular specimens with dimensions of 7×5×5mm3using the same machine. One compression sample was tested for each condition. The initial strain rate was 10−3s−1.",[],[]
3.1,Results.As-solidified condition,"XRD patterns of the as-solidified alloys are shown in Fig. 1 . The pattern of the base CoCrFeNi alloy demonstrates the presence of a single phase with the FCC lattice (a=3.577Å). Only one FCC phase, with a slightly higher lattice parameter (a=3.602Å) is also found in the CoCrFeNiMn alloy. The XRD pattern from this alloy shows only two peaks, (200) and (400), which is an indication of the formation of very large grains in this alloy after solidification. Addition of V, both to the base- and to the Mn-containing alloys, causes formation of theσphase with a tetragonal structure. Theσphase has the lattice parameters ofa=8.794Å,c=4.566Å for the CoCrFeNiV alloy anda=8.826Å,c=4.578Å for the CoCrFeNiMnV alloy. A disordered FCC phase is also found in these alloys. The lattice parameter of this phase isa=3.593Å for CoCrFeNiV anda=3.612Å for CoCrFeNiMnV.",['f0005'],[]
3.1,Results.As-solidified condition,"The microstructures of the as-solidified alloys are shown in Fig. 2 . The base CoCrFeNi alloy has a single-phase structure consisting of slightly elongated, from bottom to top of the ingot, grains with the average width of about 100–150μm and average length of 200–300μm ( Fig. 2 a). The measured compositions of grains are reasonably close to the nominal composition of the alloy ( Table 1 ). The CoCrFeNiMn alloy has a dendritic microstructure ( Fig. 2 b); the dendrite areas (light-grey ones, point 1) are slightly enriched with Co, Cr and Fe ( Table 1 ) and contain about 16.4–16.7% of Ni and Mn. Contrary, inter-dendritic areas (dark-grey ones, point 2) are enriched with Ni and Mn and contain about 16.7–17.0% of each of the remaining elements. The grain size is estimated to be larger 300–400μm, and only one grain is shown in Fig. 2 b. The CoCrFeNiV alloy has a complex microstructure ( Fig. 2 c) composed from grain boundary phase (point 1), enriched with Ni and depleted of Cr ( Table 1 ), and grain interiors (point 2), slightly enriches with Cr and depleted of Ni. The average size of the grains (measured as the average distance between grain boundary phase particles) is about 30μm. The grain interior consists of two phases with very fine scale (shown in a higher magnification insert): dark matrix and light elongated particles. This type of microstructure generally occurs after eutectoid transformation. The microstructure of the CoCrFeNiMnV alloy ( Fig. 2 d) is similar to the CoCrFeNiV alloy. The grain boundary phase is enriched with Ni and Mn, and grain interiors are slightly enriched with Cr and V ( Table 1 ). The difference between the microstructures of the CoCrFeNiV and CoCrFeNiMnV alloys is found inside the grain interiors (shown in a higher magnification insert): the second-phase particles have more equiaxed shape and are coarser in the alloy with Mn. The grain size in the CoCrFeNiMnV alloy is about 20μm.","['f0010', 'f0010', 'f0010', 'f0010', 'f0010', 'f0010']","['t0005', 't0005', 't0005', 't0005']"
