"Element, at.%","Element, at.%",Co,Cr,Fe,Ni,Mn,V
CoCrFeNi,CoCrFeNi,CoCrFeNi,CoCrFeNi,CoCrFeNi,CoCrFeNi,CoCrFeNi,CoCrFeNi
1,Grains,24.7,25.3,25.2,24.8,-,-
,,,,,,,
CoCrFeNiMn,CoCrFeNiMn,CoCrFeNiMn,CoCrFeNiMn,CoCrFeNiMn,CoCrFeNiMn,CoCrFeNiMn,CoCrFeNiMn
1,Dendrites,21.0,21.8,22.1,16.7,16.4,-
2,Interdendrites,16.8,17.0,16.7,22.9,26.6,-
,,,,,,,
CoCrFeNiV,CoCrFeNiV,CoCrFeNiV,CoCrFeNiV,CoCrFeNiV,CoCrFeNiV,CoCrFeNiV,CoCrFeNiV
1,Grain boundary phase,20.9,17.0,19.4,24.4,-,18.3
2,Grain interiors,18.9,22.1,20.0,17.8,-,21.2
,,,,,,,
CoCrFeNiMnV,CoCrFeNiMnV,CoCrFeNiMnV,CoCrFeNiMnV,CoCrFeNiMnV,CoCrFeNiMnV,CoCrFeNiMnV,CoCrFeNiMnV
1,Grain boundary phase,16.1,12.6,15.5,22.7,19.1,14.0
2,Grain interiors,16.3,18.0,17.4,15.6,15.5,17.2
