"Element, at.%","Element, at.%",Al,Cr,Nb,Ti,V
Constituent,Constituent,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV
No.,Designation,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV
1,Grains,27.4 +- 0.2,-,23.8 +- 0.1,24.8 +- 0.2,24.0 +- 0.1
2,Grey particles,32.3 +- 0.1,-,32.3 +- 0.3,19.2 +- 0.1,16.2 +- 0.2
Alloy composition,Alloy composition,27.6 +- 0.2,-,24.1 +- 0.1,24.8 +- 0.3,23.5 +- 0.1
,,AlCr0.5NbTiV,AlCr0.5NbTiV,AlCr0.5NbTiV,AlCr0.5NbTiV,AlCr0.5NbTiV
1,Grains,24.2 +- 0.1,10.5 +- 0.2,18.5 +- 0.2,23.9 +- 0.1,22.9 +- 0.3
2,Grey particles,27.2 +- 0.2,4.7 +- 0.1,39.0 +- 0.4,18.5 +- 0.3,10.6 +- 0.2
3,Light particles,13.5 +- 0.1,30.8 +- 0.4,24.9 +- 0.4,10.7 +- 0.2,20.1 +- 0.2
Alloy composition,Alloy composition,25.6 +- 0.2,10.2 +- 0.2,22.2 +- 0.1,21.4 +- 0.2,20.6 +- 0.3
,,AlCrNbTiV,AlCrNbTiV,AlCrNbTiV,AlCrNbTiV,AlCrNbTiV
1,Grains,24.4 +- 0.2,15.1 +- 0.2,17.4 +- 0.3,22.9 +- 0.1,20.2 +- 0.1
2,Coarse light particles,15.2 +- 0.1,35.8 +- 0.5,25.1 +- 0.3,9.9 +- 0.2,14.0 +- 0.4
3,Fine light particles,15.6 +- 0.4,29.9 +- 0.3,23.8 +- 0.4,13.2 +- 0.4,17.5 +- 0.2
Alloy composition,Alloy composition,22.9 +- 0.2,18.8 +- 0.3,20.2 +- 0.1,19.3 +- 0.2,18.8 +- 0.4
,,AlCr1.5NbTiV,AlCr1.5NbTiV,AlCr1.5NbTiV,AlCr1.5NbTiV,AlCr1.5NbTiV
1,Grains,21.4 +- 0.4,15.1 +- 0.3,12.6 +- 0.2,28.0 +- 0.1,22.9 +- 0.1
2,Coarse light particles,14.0 +- 0.2,39.1 +- 0.6,23.7 +- 0.4,10.4 +- 0.1,12.8 +- 0.2
3,Fine light particles,14.2 +- 0.1,35.4 +- 0.1,22.2 +- 0.2,12.5 +- 0.4,15.7 +- 0.1
Alloy composition,Alloy composition,21.7 +- 0.2,25.0 +- 0.3,18.7 +- 0.2,17.8 +- 0.3,16.8 +- 0.1
