Metal,Mo,Nb,Ta,Ti,V,MoNbTaTiV (Calc/Exp)
C  a v e r     [at. %],19.12,20.18,21.02,21.32,18.35,-
C  d a     [at. %],22.39,20.49,26.67,16.2,14.24,-
C  i d r     [at. %],15.11,19.75,14.58,27.88,22.7,-
A,95.94,92.906,180.948,47.867,50.942,-
r  [  g / c  m 3   ],10.22,8.35,16.6,4.5,5.8,9.27/9.29
a  (A],3.1468,3.301,3.303,3.276,3.039,3.218/3.224
r  [A],1.4,1.47,1.47,1.47,1.35,1.43/-
T m    [degC],2623,2477,3017,1668,1910,2341/-
HV [Hv],156,135,89,99,64,109/443
s  0.2     [MPa],438,240,345,195,310,303/1400
V E C,6,5,5,4,5,5
kh or Dkh,2.16,1.6,1.5,1.54,1.63,0.028
G [GPa],123,59.5,64.7,37.3,46.6,65.6/-
