,MoNbTaTiV,Mo,Nb,Ta,Ti,V
a [A],3.2130,3.1685,3.3223,3.3224,a = 2.9317 c = 4.6408,2.9990
a [A],3.224 (this study),3.1470 [67],3.3004 [67],3.3030 [67],a = 2.9506 c = 4.6835 [67],3.0240 [67]
V 0    [A3/at],16.58; 16.69,15.91,18.33,18.34,17.38,13.49
C  11     [GPa],262.03,471.07463.7 [67],255.34246.5 [67],270.30260.23 [67],170.77162.40 [67],298.25228.7 [67]
C  12     [GPa],141.45,167.76157.8 [67],139.99134.5 [67],161.62154.46 [67],89.6092.00 [67],149.45119.0 [67]
C  44     [GPa],43.22,102.71109.2 [67],17.7928.73 [67],76.3482.55 [67],41.8346.70 [67],30.2043.2 [67]
B  |   C  i j       [GPa],181.20191.47  ; 174,268.86230 [66],178.44170 [66],197.85200 [66],113.15110 [66],199.05160 [66]
B  |  e o s     [GPa],174.47184.55,262.58,171.74,194.1,112.28,182.03
G  [GPa],50.7164.94  ; 67.75,120.11120 [66],29.1738 [66],66.6269 [66],43.8544 [66],43.7447 [66]
E  [GPa],139.15163.08  ; 172.8,313.64329 [66],82.99105 [66],179.69186 [66],116.51116 [66],122.27128 [66]
n,0.3720.361  ; 0.354,0.3060.31 [66],0.4220.4 [66],0.3490.34 [66],0.3280.32 [66],0.3980.37 [66]
