,,Al,Co,Cr,Fe,Ni,Ti
Fe0.5,A,2.3,21.4,44.2,16.5,11.5,4.1
Fe0.5,B,7.8,25.2,10.5,7.7,28.6,20.2
Fe0.5,C,6.4,22.5,32.5,16.9,16.8,5.0
Fe0.5,D,19.8,21.6,7.1,4.5,28.9,18.1
Fe1.0,A,1.8,17.2,30.8,29.7,18.9,5.0
Fe1.0,B,7.6,21.3,11.1,15.1,25.6,19.3
Fe1.0,C,3.3,20.7,22.9,25.6,19.5,8.0
Fe1.0,D,16.2,20.1,9.4,12.7,24.2,17.3
Fe1.5,A,4.5,17.5,22.7,35.1,16.0,4.2
Fe1.5,B,6.4,19.2,12.1,21.6,24.0,16.7
Fe1.5,D,15.3,18.9,10.6,18.0,23.3,13.9
Fe2.0,A,9.0,17.0,16.0,31.9,16.9,9.3
Fe2.0,B,4.1,15.7,20.2,39.5,14.7,5.8
Fe2.0,D,13.8,17.5,11.8,24.5,20.4,12.1
