Alloy,Phase,Fraction,,"Composition, at. %","Composition, at. %","Composition, at. %","Composition, at. %","Composition, at. %"
Alloy,Phase,Fraction,Al,Cr,Nb,Ti,V,Zr
CrNbTiVZr,bcc_A2,0.73,-,8.2,18.6,23.5,24.9,24.8
CrNbTiVZr,fcc_C15,0.27,-,51.6,23.8,10.8,6.8,7.0
Al0.25CrNbTiVZr,bcc_A2,0.77,6.1,8.4,17.4,22.0,23.0,23.1
Al0.25CrNbTiVZr,fcc_C15,0.23,0.3,54.0,24.6,9.4,6.1,5.6
Al0.5CrNbTiVZr,bcc_A2,0.81,11.0,9.3,16.5,20.5,21.2,21.5
Al0.5CrNbTiVZr,fcc_C15,0.19,1.0,55.9,25.2,8.5,5.1,4.3
AlCrNbTiVZr,bcc_A2,0.90,18.0,12.3,15.8,17.5,18.2,18.2
AlCrNbTiVZr,fcc_C15,0.10,4.7,56.2,24.5,9.0,3.3,2.3
