Figure ID,Figure Path,Figure Label,Figure Caption
f0005,articles_test/10.1016.j.matdes.2017.08.022/figures/gr1.jpg,Fig. 1,(a) Bullet sample and (b) schematic diagram of setups for the ballistic experiment.
f0010,articles_test/10.1016.j.matdes.2017.08.022/figures/gr2.jpg,Fig. 2,(a) XRD pattern (b) backscatter electron images (c) and (d) TEM bright field images and (e) corresponding SAED pattern of the HfZrTiTa0.53alloy.
f0015,articles_test/10.1016.j.matdes.2017.08.022/figures/gr3.jpg,Fig. 3,"(a) High-resolution TEM (HRTEM) images showing severe lattice distortion in the matrix, (b) FFT of (a) showing two sets of diffraction spots and (c) IFFT of (a) showing high density of dislocations (marked with T-shape marker) and severe lattice distortion."
f0020,articles_test/10.1016.j.matdes.2017.08.022/figures/gr4.jpg,Fig. 4,"Compressive engineering stress vs. engineering strain curves of the HfZrTiTa0.53alloy under different strain rates (0.001, 950, 1270, 1500 and 2200s−1)."
f0025,articles_test/10.1016.j.matdes.2017.08.022/figures/gr5.jpg,Fig. 5,"(a) SEM images of facture surface showing three typical regions on fracture surface, (b) enlarged SEM images of region A and (c) enlarged SEM images of region B and C."
f0030,articles_test/10.1016.j.matdes.2017.08.022/figures/gr6.jpg,Fig. 6,"(a) Macro fracture images, (b), (c) and (d) SEM images of micro fracture surface of the specimen under the initial strain rate of 1500s−1."
f0035,articles_test/10.1016.j.matdes.2017.08.022/figures/gr7.jpg,Fig. 7,(a) Adiabatic shear band adjacent to the crack and adiabatic shear band causing deformation of grains and (b) enlarged adiabatic shear band.
f0040,articles_test/10.1016.j.matdes.2017.08.022/figures/gr8.jpg,Fig. 8,Strain hardening rate vs. plastic strain of HfZrTiTa0.53HEA at different strain rates.
f0045,articles_test/10.1016.j.matdes.2017.08.022/figures/gr9.jpg,Fig. 9,High-speed video frames of deflagration process at the speed of (a) 857 and (b) 600m·s−1.
f0050,articles_test/10.1016.j.matdes.2017.08.022/figures/gr10.jpg,Fig. 10,Projectiles holes in the A3steel plate under the speed of (a) 857 and (b) 600m·s−1.
