Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"The crystal structure, microstructure, density, microhardness and mechanical properties of new AlNbTiV high entropy alloy were examined. The alloy had coarse-grained single bcc phase structure with density of 5.59gcm−3 and hardness of 4315–4394MPa. The compressive yield strength of the alloy gradually decreased from 1020MPa at room temperature to 685MPa at 800°C, and then dropped to 158MPa at 1000°C. Specific yield strength of the alloy was found to be comparable with strength of multiphase refractory high entropy alloys. Effect of chemical composition on mechanical properties and potential ways to optimize composition are discussed.",[],[]
1,Introduction,"The so-called high entropy alloys (HEAs) is a new emerging class of metallic alloys which are frequently considered as potential structural materials for high-temperature applications[1]. In order to fully utilize potential of HEAs as high-temperature material, Senkov et al. has introduced refractory HEAs[2]. Several refractory HEAs compositions have demonstrated remarkable compressive strength at elevated temperatures[3,4]but had large density of more than ≈10gcm−3. The alloys of Cr–Nb–Ti–V–Zr system with lower density of ≈6.5gcm−3and attractive mechanical properties were introduced in order to provide lighter materials[5,6]. Addition of Al as an alloying element has the potential to further decrease density of alloys[7,8]; however Al tends to form intermetallic compounds with constitutive elements of the Cr–Nb–Ti–V–Zr system. On the other hand, Al has similar atomic radii (143pm) to those of Ti, Nb and V, which is expected to simulate formation of solid solutions in HEAs[9]. Formation of either solutions solutions or intermetallics will significantly affect mechanical properties of alloys. In current work we report microstructure, density, and mechanical properties of novel, presumably light-weight AlNbTiV alloy.",[],[]
2,Experimental procedures,The alloy with nominal composition of AlNbTiV was produced by arc melting of the high-purity (≥99.9 (at)%) elements in a argon atmosphere inside a water-cooled copper cavity. Produced ingot with dimensions of ≈6×15×60mm3was re-melted 5 times. The exact chemical composition of the alloy was 26.6 (at)%Al–23.8%Nb–25.1%Ti–24.5%V. After casting the alloy was homogenized at 1200°C for 24h in vacuumed (10−2Torr) quartz tubes filled with titanium chips to prevent oxidation and cooled down on air.,[],[]
2,Experimental procedures,Phase composition and microstructure of the alloy were studied using X-ray diffraction (XRD) and scanning electron microscopy (SEM). The XRD analysis was performed using RIGAKU diffractometer and CuKα radiation. Samples for SEM observations were prepared by mechanical polishing. SEM investigations were performed utilizing Quanta 200 3D microscope equipped with energy-dispersive (EDS) detector used for chemical composition measurements. Density of the alloy was measured via hydrostatic weighting. Vickers microhardness was measured using a 250g load applied for 15s. 20 measurements were made in each condition.,[],[]
2,Experimental procedures,"Compressive tests were performed on rectangular specimens with dimensions of 7×5×5mm3using the Instron 5882 machine equipped with radial furnace. The initial strain rate was 10−3s−1and the temperature was of 22°C, 600°C, 800°C and 1000°C. For high temperature testing, the samples were placed in preheated furnace and held for 10min before testing. Obvious oxidation was observed only after testing at 1000°C. The testing was performed until the fracture of the specimen or reaching height reduction of 50%.",[],[]
3,Results and discussion,"The XRD patterns of the AlNbTiV alloy in as-cast and homogenized conditions are shown in Fig. 1 a. The patterns show presence of only one phase with bcc lattice in both conditions with lattice parameter of 318±3pm. SEM image of the as-cast AlNbTiV alloy ( Fig. 1 b) demonstrates large grains with size of several hundred microns with dendritic structure inside. Dendrite areas (appear light on SEM image) are enriched with Nb (24.8%) and depleted of Al (26.3 (at)%) and Ti (24.3%), and interdendrite areas (dark) are enriched with Al (27.6%) and Ti (26%) and depleted of Nb (21.9%). Predominant segregation of refractory elements (i.e. Nb) in dendrite areas and lower melting temperature elements (mainly Al) in interdendrites is anticipated[10]. Complete elimination of dendritic segregations is observed after homogenization. Chemical composition of coarse grains with average size of about 300–400µm corresponds to nominal composition of the alloy. No porosity is observed.","['f0005', 'f0005']",[]
3,Results and discussion,Formation of bcc solid solution phase instead of intermetallics in the Al-containing AlNbTiV alloy is correctly predicted by parameters∆δ=3.14% andΩ=1.38 (∆δ<6.6% andΩ>1.1 are required for solid solution formation[9]) and VEC=4.25 (VEC<6.87 is required for BCC structure[11]). It should be mentioned that∆δandΩparameters were successfully used to predict solid solutions formations in HEAs with somewhat similar compositions[7].,[],[]
3,Results and discussion,"The measured density of the AlNbTiV alloy was found to be of 5.59gcm−3and is slightly higher than the density predicted by the rule of mixtures, 5.39gcm−3. Somewhat higher experimentally measured density values in refractory were already reported[7]. It should be noted that the studied AlNbTiV alloy has the lowest density among reported refractory HEAs compositions[2–8,10,12–15]. No noticeable effect of annealing on microhardness was revealed; hardness was found to be of 4315±98MPa and 4394±118MPa in as-solidified and annealed conditions respectively.",[],[]
3,Results and discussion,"The compression stress–strain curves of the homogenized AlNbTiV alloy at different temperatures are shown in Fig. 2 . The resulting mechanical properties, yield strength (σ0.2), peak stress (σu) and fracture strain, ε, are summarized in Table 1 . At room temperature the alloy has demonstrated high yield stress of 1020MPa, but brittle fracture occurs shortly after yielding at strain of 5% at peak stress of 1318MPa. Increase of testing temperature to 600°C results in decrease of yield strength to 810MPa. Pronounced work hardening stage is observed, and specimen fails when strain reaches 12% at stress of 1050MPa. Further increase of testing temperature to 800°C results in continuous decrease of yield strength to 685MPa and increase of ductility of alloy—height reduction of 50% is reached without fracture. Pronounced steady-state flow stage is observed on the stress–strain curve. The AlNbTiV alloy behaves similarly during mechanical testing at 1000°C, however, substantial decrease of yield strength to 158MPa is observed.",['f0010'],['t0005']
3,Results and discussion,"The mechanical properties of the AlNbTiV alloy are rather unexpected for solid solution alloy—it has poor ductility at room temperature but maintain reasonably high compressive strength at temperatures below 1000°C. The comparison of specific yield strengths of the AlNbTiV HEA and previously reported CrNbTiVZr, CrNbTiZr[6], AlMo0.5NbTa0.5TiZr and Al0.5NbTa0.8Ti1.5V0.2Zr[7]alloys is even more surprising ( Fig. 3 ). The compared HEAs had multiphase structure beneficial for high temperature strength: the CrNbTiVZr and CrNbTiZr alloys contained bcc and Laves phases[5]whereas the AlMo0.5NbTa0.5TiZr and Al0.5NbTa0.8Ti1.5V0.2Zr alloys were composed from two bcc phases[7]. The AlNbTiV alloy has the lowest specific yield strength among the alloys at room temperature and at 600°C. But at temperature of 800°C the AlNbTiV alloy is outperformed only by the AlMo0.5NbTa0.5TiZr alloy, whereas other alloys have considerably lower specific strength. Finally, at 1000°C the specific strength of the AlNbTiV alloy is nearly the same as of CrNbTiVZr, CrNbTiZr and Al0.5NbTa0.8Ti1.5V0.2Zr alloys but is about 3 times lower than strength of the AlMo0.5NbTa0.5TiZr.",['f0015'],[]
