Alloys,Regions,Al,Fe,Ni,Cr,Co,Ti
Al0.75FeNiCrCo,Nominal composition,15.8,21.1,21.1,21,21,-
,1,14.2,25.1,15.9,22.2,22.6,-
,2,31.9,14.6,26.7,9.7,17.1,-
,FCC,5.1+-0.7,26.1+-1.7,20.2+-1.2,23.2+-1.2,25.4+-1.1,
,BCC,27.1+-2.2,12.4+-2.0,36.9+-1.6,5.6+-0.5,17.9+-1.3,
,,,,,,,
Al0.75FeNiCr,Nominal composition,20,26.6,26.7,26.7,-,-
,3,13.5,33.9,23.9,28.7,-,-
,4,34.6,19.2,28.1,18.1,-,-
,,,,,,,
Al0.75FeNiCrCoTi0.25,Nominal composition,15,20,20,20,20,5
,5,7.9,23.6,19.7,22.8,21.8,4.18
,6,19.3,19.2,19.3,18.0,18.7,5.5
