Figure ID,Figure Path,Figure Label,Figure Caption
f0005,articles_test/10.1016.j.msea.2016.08.048/figures/gr1.jpg,Fig. 1,"(a) EBSD phase map and (b) TEM micrograph showing the eutectic lamellar morphology of the as-cast AlCoCrFeNi2.1EHEA. The EDS maps of the area in (b) reveal the distribution of (c) Fe, (d) Co, (e) Cr, (f) Al and (g) Ni in the two phases. (For interpretation of the references to color in this figure, the reader is referred to the web version of this article.)"
f0010,articles_test/10.1016.j.msea.2016.08.048/figures/gr2.jpg,Fig. 2,"(a) TEM micrograph showing distribution of nano-precipitates inside the B2 phase. (b) and (c) show the SADPs (from the [011] zone axis) corresponding to the B2 matrix and precipitates having disordered BCC structure. The EDS maps of the area (a) reveal the distribution of (d) Fe, (e) Co, (f) Cr, (g) Al and (h) Ni. (For interpretation of the references to color in this figure, the reader is referred to the web version of this article.)"
f0015,articles_test/10.1016.j.msea.2016.08.048/figures/gr3.jpg,Fig. 3,"(a) TEM micrograph of the 10% cold-rolled material and SADP corresponding to (b) L12(obtained from the region marked by a green circle in (a)) and (c) B2 phases ((obtained from the region marked by a green circle in (a)); (d) through (f), (g) through (i) are the corresponding figures for 20% and 50% cold-rolled materials. The micrographs are observed from the TD of the rolled sheets. The SADPs of both L12/FCC and B2 are obtained from the [011] zone. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
f0020,articles_test/10.1016.j.msea.2016.08.048/figures/gr4.jpg,Fig. 4,"(a) TEM micrograph showing microstructure of the 90% cold-rolled material observed from ND. (b) and (c) are SADPs corresponding to the disordered FCC (marked by green circle in (a)) and B2 (marked by red circle in (a)) phases, respectively. (d) shows a dispersion of Cr-rich disordered BCC precipitates inside the B2 phase (the inset shows a magnified view of the precipitates). (e) shows disordered FCC region in the 90% cold-rolled specimen observed from TD. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
f0025,articles_test/10.1016.j.msea.2016.08.048/figures/gr5.jpg,Fig. 5,"(a) TEM micrograph and SADP corresponding to (b) FCC (obtained from the region marked by a green circle in (a)) and (c) B2 phases (obtained from the region marked by a green circle in (a)) of the specimen annealed at 800°C for 1h; (d) TEM micrograph and SADP corresponding to (e) FCC (obtained from the region marked by a green circle in (d)) and (f) B2 phases (obtained from the region marked by a green circle in (d)) of the specimen annealed at 1000°C ; (g) TEM micrograph and SADP corresponding to (h) FCC (obtained from the region marked by a green circle in (g)) and (i) B2 phases (obtained from the region marked by a green circle in (g)) of the specimen annealed at 1200°C . The TEM micrographs are observed from the ND direction. The SADPs from both FCC and B2 phases are taken from the [011] zone. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
f0030,articles_test/10.1016.j.msea.2016.08.048/figures/gr6.jpg,Fig. 6,"EBSD phase maps of the 90% cold-rolled EHEA after annealing at (a) 800°C, (b) 1000°C and (c) 1200°C for 1h. (For interpretation of the references to color in this figure, the reader is referred to the web version of this article.)"
f0035,articles_test/10.1016.j.msea.2016.08.048/figures/gr7.jpg,Fig. 7,"(a) TEM micrograph showing a B2 grain (marked by the red circle) in the specimen annealed at 800°C observed from the ND. The EDS maps of the area shown in (a) reveal distributions of (b) Cr, (c) Al and (d) Ni. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
f0040,articles_test/10.1016.j.msea.2016.08.048/figures/gr8.jpg,Fig. 8,"(a) Volume fraction and (b) average grain size of the constituent phases in the EHEA specimens in 90% cold-rolled and then annealed at different temperatures. (For interpretation of the references to color in this figure, the reader is referred to the web version of this article.)"
f0045,articles_test/10.1016.j.msea.2016.08.048/figures/gr9.jpg,Fig. 9,"Tensile stress-strain curves of the EHEA specimens in different thermo-mechanical conditions. (For interpretation of the references to color in this figure, the reader is referred to the web version of this article.)"
f0050,articles_test/10.1016.j.msea.2016.08.048/figures/gr10.jpg,Fig. 10,"(a,c) TEM micrographs (observed from the ND) and corresponding SADP (b,d) of EHEA 90% cold-rolled and then annealed at 700°C for 1h. (a) unrecrystallized region and (b) is the SADP taken from the green-circled L12region in (a). (c) is a region having some recrystallized grains and (d) is the SADP taken from recrystallized FCC grain pointed by arrow mark in (c). All the SADPs are obtained from the [011] zone. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
