"Elements, at.%","Elements, at.%",Al,Nb,Ti,V,Zr,"Volume fraction, %","Average size, mm","Average size, mm","Average size, mm"
"Elements, at.%","Elements, at.%",Al,Nb,Ti,V,Zr,"Volume fraction, %",transversal,longitudinal,longitudinal
Constituents,Constituents,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV
No.,Designation,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV
,Grains,27.4,24.2,24.6,23.8,-,100,300 +- 25,300 +- 25,300 +- 25
Alloy composition,Alloy composition,27.6,24.1,24.8,23.5,-,-,-,-,-
,,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1,AlNbTiVZr0.1
1,Grains,25.4,23.4,24.8,23.2,3.2,> 99,175 +- 50,175 +- 50,175 +- 50
2,Light-gray particles (Zr5Al3-type phase),35.1,15.9,14.3,5.2,29.5,< 1,3.5 +- 0.6,3.5 +- 0.6,3.5 +- 0.6
Alloy composition,Alloy composition,25.7,23.6,24.6,22.8,3.3,-,-,-,-
,,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25,AlNbTiVZr0.25
1,Grains,24.0,23.1,25.2,23.1,4.6,95 +- 2,80 +- 30,80 +- 30,80 +- 30
2,Light-gray particles (Zr5Al3-type phase),38.2,14.0,11.4,4.4,32.0,5 +- 1,2.5 +- 0.4,-,-
Alloy composition,Alloy composition,25.0,22.4,24.0,21.9,6.7,,-,-,-
,,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5,AlNbTiVZr0.5
1,Matrix,21.0,23.0,24.8,22.9,8.3,85 +- 2,22 +- 12,22 +- 12,22 +- 12
2,Light-gray particles (Zr5Al3-type phase),38.2,13.1,10.7,4.6,33.4,5 +- 1,2.8 +- 1.0,2.8 +- 1.0,2.8 +- 1.0
3,Dark-gray particles (ZrAlV-type Laves phase),33.1,9.8,8.8,22.3,26.0,10 +- 2,3.7 +- 0.9,3.7 +- 0.9,9.0 +- 2.5
Alloy composition,Alloy composition,23.4,20.9,22.8,21.7,11.2,-,-,-,-
,,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr,AlNbTiVZr
1,Matrix,16.5,25.8,24.7,18.5,14.5,67 +- 3,-,-,-
2,Light-gray particles (Zr5Al3-type phase),38.7,9.5,8.3,3.6,39.9,12 +- 2,5.0 +- 0.5,5.0 +- 0.5,5.0 +- 0.5
3,Dark-gray particles (ZrAlV-type Laves phase),28.9,9.9,8.6,22.3,30.3,21 +- 2,5.3 +- 0.6,12.2 +- 5.0,12.2 +- 5.0
Alloy composition,Alloy composition,22.0,20.8,19.9,18.9,18.4,-,-,-,-
,,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5,AlNbTiVZr1.5
1,Matrix,13.7,23.0,25.3,15.1,22.9,50 +- 2,-,-,-
2,Light-gray particles (Zr5Al3-type phase),33.7,12.2,9.9,3.8,40.4,5 +- 1,6.1 +- 1.9,6.1 +- 1.9,6.1 +- 1.9
3,Dark-gray particles (ZrAlV-type Laves phase),20.7,14.4,10.9,25.2,28.8,45 +- 2,8.0 +- 2.5,31.0 +- 6.5,31.0 +- 6.5
Alloy composition,Alloy composition,16.9,19.4,19.1,18.7,25.9,-,-,-,-
