Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2016.01.050/figures/gr1.jpg,Fig. 1,"(a) XRD patterns of mechanically alloyed powders as a function of milling time; (b) XRD patterns of SPS'ed and as-cast samples, with the pattern of the 49 h milled powders for comparison."
fig2,articles_test/10.1016.j.actamat.2016.01.050/figures/gr2.jpg,Fig. 2,(a) SEM image of the 49 h milled powders; (b) EDS spectrum corresponding to (a).
fig3,articles_test/10.1016.j.actamat.2016.01.050/figures/gr3.jpg,Fig. 3,"TEM micrographs of the 49 h milled powders. (a) bright-field TEM image; (b) SAED pattern corresponding to (a); (c) statistical grain diameter distribution; (d) another bright-field TEM image; (e) HRTEM image of the circled area in (d). The area marked with a yellow square in (e) was subjected to fast Fourier transform (FFT), and the FFT pattern is displayed in (f), corresponding to a SAED pattern along the[1¯11]zone axis of an FCC structure. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig4,articles_test/10.1016.j.actamat.2016.01.050/figures/gr4.jpg,Fig. 4,"TEM micrographs of the bulk nc Co25Ni25Fe25Al7.5Cu17.5HEA. (a) Bright-field TEM image showing nanoscale grains; (b) SAED pattern corresponding to (a), indicating an FCC structure; (c) bright-field TEM image showing nanoscale grains and ultrafine grains; (d) statistical grain diameter distribution."
fig5,articles_test/10.1016.j.actamat.2016.01.050/figures/gr5.jpg,Fig. 5,"(a) Bright-field TEM image of the bulk nc Co25Ni25Fe25Al7.5Cu17.5 HEA showing nanoscale grains and ultrafine grains; (b) bright-field TEM image exhibiting twins in some UFGs; (c), (d) and (e) SAED patterns of ultrafine grain A along different zone axes, corresponding to SAED patterns of an FCC structure along [001], [011] and [112] zone axes, respectively."
fig6,articles_test/10.1016.j.actamat.2016.01.050/figures/gr6.jpg,Fig. 6,(a) Bright-field TEM image of the bulk nc Co25Ni25Fe25Al7.5Cu17.5HEA exhibiting twins; and (b) SAED pattern of grain 1 in (a) along [011]M(matrix) and[01¯1¯]T(twin) zone axes; (c) statistical twin thickness distribution.
fig7,articles_test/10.1016.j.actamat.2016.01.050/figures/gr7.jpg,Fig. 7,Microstructure of the bulk CG Co25Ni25Fe25Al7.5Cu17.5HEA. (a) OM image; (b) BSE image; (c) statistical grain diameter distribution.
fig8,articles_test/10.1016.j.actamat.2016.01.050/figures/gr8.jpg,Fig. 8,"(a) and (b) Bright-field TEM images of the bulk CG Co25Ni25Fe25Al7.5Cu17.5HEA; (c), (d) and (e) SAED patterns of the grain in (b) along different zone axes, corresponding to SAED patterns of an FCC structure along [001], [011] and [112] zone axes, respectively."
fig9,articles_test/10.1016.j.actamat.2016.01.050/figures/gr9.jpg,Fig. 9,"(a) Representative engineering stress–strain curves of the bulk nc and CG Co25Ni25Fe25Al7.5Cu17.5samples after SPS and casting in compression, respectively; (b) compressive yield strength versus strain for the bulk nc Co25Ni25Fe25Al7.5Cu17.5HEA in comparison with those of FCC structured HEAs in the literature. #1 and #2 represent the bulk nc and CG Co25Ni25Fe25Al7.5Cu17.5, respectively; #3–#9 correspond to as-cast CG Co20Ni20Fe20Cr20Cu20[10], Co18.2Ni18.2Fe18.2Cr18.2Ti9.0Cu18.2[10], Co18.2Ni18.2Fe18.2Cr18.2Al9.0Cu18.2[11], Co25Ni25Fe25Cr25[17], Co23.25Ni23.25Fe23.25Cr23.25Mo7.00[17], Co23.25Ni23.25Fe23.25Cr23.25Ti7.00[18], and Co29.41Ni29.41Fe29.42Al5.88Si5.88[19], respectively. #2, #3, #5 and #9 alloys were not fractured during compression tests."
fig10,articles_test/10.1016.j.actamat.2016.01.050/figures/gr10.jpg,Fig. 10,"(a) Dislocations in the 49 h milled Co25Ni25Fe25Al7.5Cu17.5HEA powders, (b) dislocations in the bulk nc Co25Ni25Fe25Al7.5Cu17.5HEA. “T” and arrows indicate dislocations."
