Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10Z6D2JMH3F.jpg,Fig. 1,Typical microstructures of (a) as-cast and (b) HPT-processed CoCrFeMnNi HEA.
fig2,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10KJSBRJFRR.jpg,Fig. 2,Results of the nanoindentation experiments with indenters having various angles: (a) Typical load-displacement curves for HPT-processed samples (with inset image showing the curves for as-cast sample); (b) variations in the ratio of the final depth to maximum displacement as a function of indenter angle.
fig3,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10C8V58XNZJ.jpg,Fig. 3,Representative AFM micrographs of hardness impressions; (a–e) for as-cast; (f–j) for HPT; (k–o) for HPT + 1A; (p–t) for HPT + 10A.
fig4,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10B5XKPS4TP.jpg,Fig. 4,Representative examples of AFM images and surface profile data for cube-corner indentations.
fig5,articles_test/10.1016.j.actamat.2017.08.057/figures/egi105TZZQ0W6S.jpg,Fig. 5,Variations in nanoindentation hardnessHas a function of indenter angleψ.
fig6,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10NX71VFJXN.jpg,Fig. 6,STEM image and corresponding elemental distribution maps of only HPT-processed sample.
fig7,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10HCGRHKK6C.jpg,Fig. 7,STEM image and corresponding elemental distribution maps of HPT+10A sample.
fig8,articles_test/10.1016.j.actamat.2017.08.057/figures/egi10KRG1VLTGT.jpg,Fig. 8,An example presenting how to determine the yield strength and the obtained results for each sample.
fig9,articles_test/10.1016.j.actamat.2017.08.057/figures/egi107R5L44KPJ.jpg,Fig. 9,Estimated stress-strain relations derived from nanoindentation data.
fig10,articles_test/10.1016.j.actamat.2017.08.057/figures/egi1093XHLTC46.jpg,Fig. 10,Cross-sectional TEM micrographs and corresponding EDS maps for the subsurface region underneath the indenter (for HPT + 10A): (a) Berkovich and (b) cube-corner indenter.
