Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"The mechanical behavior of the single phase (fcc) CrMnFeCoNi high-entropy alloy (HEA) is examined in the dynamic regime. A series of experiments by dynamic-loading hat-shaped specimens using stopper rings to control the displacement are performed, and the alloy resists adiabatic shear-band formation up to a very large imposed shear strain of ∼7. It is proposed that the combination of the excellent strain-hardening ability and moderate thermal-softening effect retard shear localization. Recrystallized ultrafine-grained grains (diameters of 100–300 nm) with twins are revealed inside the shear band. Their formation is explained by the rotational dynamic recrystallization mechanism. The stability of the structure at high strain rates strongly suggests a high ballistic resistance for this class of alloys.",[],[]
1,Introduction,"The dynamic properties of materials are of great importance in applications involving ballistic impact and penetration [1]. Adiabatic shear localization is recognized as an important failure mechanism of materials and is produced by the temperature rise in a narrow region, especially formed under high strain-rate deformation, when the deformation time is lower than the heat diffusion time. The formation of nanostructured and ultrafine grains inside the shear band by dynamic recrystallization has been widely studied [2,3]. The mechanism that leads to this microstructure is similar to the one operating in severe plastic deformation, a widely used method to produce nanostructured metals [4].",[],[]
1,Introduction,"The high-entropy alloy (HEA) design strategy is based on five or more elements mixed in equiatomic or near-equiatomic concentrations, such that the high configurational entropyΔSConfpromotes single-phase solid solution formation [5]. Cantor et al. [6] developed the CrMnFeCoNi HEA with the single face-centered-cubic (fcc) phase and therefore this alloy is also known as the “Cantor alloy”. Recently, Gludovatz et al. [7] found that this CrMnFeCoNi HEA achieved remarkable damage-tolerance with a tensile strength around 1 GPa and fracture toughness exceeding 200 MPa m1/2. Furthermore, its mechanical properties improved at cryogenic temperatures due to the transition of deformation mechanism from planar dislocation slip to mechanical nanotwinning. In-situ TEM experiments by straining a thin foil containing cracks revealed a synergy of multiple deformation mechanisms of this alloy, rarely achieved in other metallic systems. These mechanisms include the easy motion of the Shockley partials, their interactions to form stacking-fault parallelepipeds, and arrest at planar slip bands of perfect dislocations. The multiple deformation modes of the Cantor alloy lead to high strength, high work-hardening rate and good ductility [8]. The quasi-static mechanical behavior of the HEAs has been widely studied, as reviewed by Zhang et al. [9]. Other physical and mechanical properties, such as a combination of high strength and good ductility for the Cr10Mn30Fe50Co10high-entropy steel [10], phase evolution of the Al1.3CoCrCuFeNi HEA at elevated temperatures (from 800 to 1400 °C) [11], and excellent fatigue behavior of Al0.5CoCrCuFeNi two-phase high-entropy alloy [12,13], have also been established. However, the dynamic properties of HEAs are insufficiently unexplored. Only one study stands out: that of Al0.3CoCrFeNi HEA which shows a significant resistance to shear banding. Therefore, the aim of this investigation is to study the dynamic properties of the Cantor alloy, especially its resistance to shear localization.",[],[]
2,Experimental procedures,The as-received CrMnFeCoNi HEA was prepared by the spark plasma sintering (SPS) method [14]. The XRD characterization experiment on the as-received material was made by Cu Kα radiation from 20° to 90°(2θ)with a scanning speed of 2.8°/min and a step size of 0.014°. The sample was prepared by the standard mechanical grinding and polishing method. The chemical composition analysis was conducted by energy-dispersive x-ray (EDX) spectroscopy in a Phillips XL30 scanning electron microscopy (SEM). Quasi-static experiments were carried out in an Instron universal testing machine. Dynamic compression tests were performed using a split-Hopkinson pressure bar (SHPB). The dynamic mechanical properties and shear deformation were measured using cylindrical and hat-shaped specimens. The cylinders had a length of 4 mm and a diameter of 4 mm. Hat-shaped specimens with stopper rings were used to generate high shear strain in the “forced” localized region. The samples were polished and then etched by a dilute aqua regia solution before microstructural examination. The shear band was examined in a Phillips XL30 SEM. A focused ion beam (FIB) instrument was used to accurately prepare TEM samples in the shear band region. The FIB samples were then characterized by TEM using a FEI Tecnai G2Polara transmission electron microscope operating at 200 kV.,[],[]
3,Results and discussion,"Fig. 1shows the homogeneous distribution of 5 elements of CrMnFeCoNi HEA and corresponding chemical compositions with each element around 20% (in atomic percentage).Fig. 2(a) shows the initial microstructure of this alloy, which contains coarse-grained grains.Fig. 2(b) shows grain size distribution fromFig. 2(a) measured by the line intercept method [15]: the average grain size of as-received HEA is 8 μm. The presence of annealing twins [16] is inversely related to the stacking fault energy, which has been reported to be ∼20 mJ/m2for the Cantor alloy by Zaddach et al. [17]. The X-ray diffraction (XRD) scan inFig. 2(c) shows that this alloy contains a single fcc structure. While three components (Cr, Mn and Fe) have the body-centered cubic crystalline structure, one (Co) presents the hexagonal close-packed structure, and only Ni has the face-centered cubic structure. The measuredd-spacings from the X-ray diffraction results are almost the same as the reported values [18]; the lattice constant of CrMnFeCoNi HEA is 3.596 Å obtained by linear interpolation. For comparison, the results are summarized inTable 1. EDX spectroscopy and XRD results indicate the equiatomic elemental distribution and single-phase character of the as-received high-entropy alloy.","['fig1', 'fig2', 'fig2', 'fig2', 'fig2']",['tbl1']
3,Results and discussion,"In order to promote shear localization, a special geometry was used in dynamic testing. This hat-shaped configuration, originally developed by Meyer and Manwaring [19], is well known and has been used for over thirty years (e. g., [20–24]).Fig. 3(a) shows the dimensions of the hat-shaped specimen, which was deformed at room temperature to induce a forced shear band using a split-Hopkinson pressure bar. A series of dynamic-loading experiments on hat-shaped specimens using stopper rings to control the displacement (0.7, 1.14, 1.57 and 2 mm) were performed. However, among these specimens, a clear shear band was only found at a very large imposed shear strain of ∼7. The corresponding shear stress vs. shear strain curve is illustrated inFig. 3(b). The work imposed upon the material during deformation can be used to calculate an (adiabatic) temperature rise inside the shear band [1]:(1)dT=0.9ρCpτdγwhereρ= 7.9 kg/m3is the density andCpis the specific heat capacity. The specific heat capacityCpof the Cantor alloy is approximated to be 450 J/(kg K) by using a weight averaging methodCp=ωi∑i=15Cpi(ωiis the weight percent andCpiis the specific heat capacity for each element of the alloy) [25].Fig. 3(b) shows that the temperature can rise to about 700 K inside the shear band, which approaches the recrystallization temperature for the Cantor alloy, 0.4Tm, its melting temperature being around 1600 K [26].","['fig3', 'fig3', 'fig3']",[]
3,Results and discussion,"Fig. 3(c) shows the microstructure inside and outside the shear band. The particles were separated at the grain boundaries under severe plastic deformation as shown by the inserts ofFig. 3(c).Fig. 3(c) shows that the alloy fractures along grain boundaries under dynamic impact. The microvoids resulting from residual porosity in the SPS process can easily nucleate and propagate cracks along grain boundaries. Similar fracture behavior has been observed earlier in this alloy under high strain-rate impact [14]. However, these peripheral cracks did not affect the shear-localization zone and do not interfere with the results of this work. A zoom-in image inFig. 3(d) shows that the shear band width is about 10μm. Focused ion beam (FIB) method was used to lift out the transmission electron microscope (TEM) site-specific specimens inside the shear band. The formation mechanism of the shear bands in metals has been widely studied [3]. It is accepted that shear bands are formed when the thermal softening effect overdrives the strain and strain-rate hardening effects. This is expressed analytically as [27]:(2)dτdγ=(∂τ∂γ)γ,·T+(∂τ∂γ·)γ,Tdγ·dγ+(∂τ∂T)γ,·γdTdγ≤0","['fig3', 'fig3', 'fig3', 'fig3']",[]
3,Results and discussion,"The first term represents work hardening; the second, strain-rate hardening, and the third, thermal softening. Therefore, materials with higher hardenability as well as lower thermal softening ability usually possess a high resistance to shear localization.",[],[]
3,Results and discussion,"The mechanical response of the Cantor alloy was established at strain rates varying from 10−4s−1to 1600 s−1to examine its strain-hardening effect. The compressive true stress vs. true strain curves are shown inFig. 4(a). Under both quasi-static and dynamic compression, the strength of this alloy increases gradually with increasing strain. The fluctuations in the stress-strain curve at high strain-rate were due to the nature of elastic wave propagation in cylinder bars: the “dispersion” effect [1]. In the Hopkinson bar test, the bar has radial inertia and a wave interacts with the external surfaces of cylinder bars (free surfaces). Radial inertia is caused by the kinetic energy of material flowing radially outward as the bar is compressed. This causes the decrease in the slope of the rise of the wave and was reflected in the stress-strain curve. The strain-hardening rate (measured by slope of the curve at a true strain of 0.2) is ∼1100 MPa, similar to that of the Al0.3CoCrFeNi HEA [28]. This strain hardening is maintained at 1600 s−1, which is evidence that no localization is taking place. This same resistance to shear localization has been reported for the Al0.3CoCrFeNi HEA [28]; it was attributed to good strain-hardening ability, caused by solid-solution hardening, forest-dislocation hardening, as well as mechanical twinning. Otto et al. [29] also reported that the strain-hardening rate in tension of the CrMnFeCoNi HEA can be higher than 1000 MPa at low temperature (77 K). This excellent strain-hardening ability is mainly due to multiple nanotwinning deformation. Deformation twinning, by continually introducing new interfaces and decreasing the mean free path of dislocations during deformation, can generate a high degree of work-hardening. Thus, to activate shear localization in CrMnFeCoNi HEA, a very large shear strain and shear stress need to be imposed on specimens to increase the thermal-softening effect.",['fig4'],[]
3,Results and discussion,"Starting from Eq.(2), Staker [30] proposed an expression for critical shear strain for shear localization (neglecting the effect of strain-rate hardening):(3)γc=ρCpn−∂τ∂Twhereρis the density,Cpis the specific heat capacity,nis the strain-hardening power index in the Ludwik-Hollomon constitutive equation (τ=τ0+Kγn, whereτ0is the yield stress andKis a constant), and∂τ∂Tis the thermal-softening parameter. Eq.(3)expresses the competition between strain hardening and thermal softening prior to shear localization. The normal stress and normal strain can be converted into shear stress and shear strain by:τ=σ/2andγ=2exp(2ε)−1−1[31].Fig. 4(b) shows the valueρCpnfor pure Ti [32], Ti-6Al-4V alloy [33], AISI 1006 steel [34], copper [34], brass [34], and the Cantor alloy. As stated before, from Eqn.(3), the value of ρCpn can be regarded as the hardening component, while the∂τ∂Tis the thermal-softening parameter.Fig. 4(b) shows that Cu has the highest ρCpn value. The value of ρCpn for CrMnFeCoNi HEA is about 70% of that of Cu and it is slightly higher than that of Ti. Understandingly, it is very difficult to induce shear localization in copper. In addition,Fig. 4(c) shows that the Cantor alloy has the smallest thermal softening effect [35] in the temperature range from 200 K to 1000 K, in comparison with titanium [32], Ti-6Al-4V alloy [33], AISI 1006 steel [36], copper [22], and brass [36]. Otto et al. [29] reported that the CrMnFeCoNi HEA did not lose its yield strength until 873 K with a sudden drop of strength. The melting temperature of the CrMnFeCoNi HEA is 1614 K as reported by Laurent-Brocq et al. [37]. This is as high as that (about 1600 K) [38] of Inconel 718 superalloy. Miracle et al. [39] found superior high temperature behavior of NbMoTaW and VNbMoTaW HEAs compared with conventional alloys since they did not lose their strength till 1000 K. Tsai et al. [40] found that interaction energy (which is the excess free energy that arises when two unlike atoms bond with each other) of Ni element in CrMn0.5FeCoNi HEA is higher than that in Cr-Fe-Ni alloy. This leads to a sluggish diffusion effect and also indicates that it needs higher thermal energy to break up metallic bonds in HEAs than in conventional alloys. Thus, the small thermal softening effect of the CrMnFeCoNi HEA can promote the resistance to shear localization.Fig. 4(d) shows the predicted critical shear strain for shear localization in these metals using Eqn.(3).Fig. 3(b) shows that the adiabatic shear band is formed only at a very large shear strain ∼7. It should be noted that the imposed shear deformation region has a width of over 50 μm whereas the adiabatic shear band has a width of ∼10 μm. Therefore, the combination of the excellent strain-hardening ability and moderate thermal-softening of the Cantor alloy postpones shear localization to higher levels of shear deformation.","['fd2', 'fd3', 'fig4', 'fd3', 'fig4', 'fig4', 'fig4', 'fd3', 'fig3']",[]
