Figure ID,Figure Path,Figure Label,Figure Caption
f0005,articles_all/10.1016.j.actamat.2012.11.032/figures/gr1.jpg,Fig. 1,"X-ray diffraction patterns from the annealed alloys: (a) NbTiVZr, (b) NbTiV2Zr, (c) CrNbTiZr and (d) CrNbTiVZr."
f0010,articles_all/10.1016.j.actamat.2012.11.032/figures/gr2.jpg,Fig. 2,SEM backscatter electron images of the grain structure and precipitates in the cast and homogenized NbVTiZr alloy.
f0015,articles_all/10.1016.j.actamat.2012.11.032/figures/gr3.jpg,Fig. 3,"EBSD/EDS data for the NbVTiZr alloy: (a) image quality, (b) phase map (grey is bcc, white is fcc) and (c and d) composition maps of (c) vanadium and (d) zirconium (lighter regions correspond to higher concentrations of the alloying elements)."
f0020,articles_all/10.1016.j.actamat.2012.11.032/figures/gr4.jpg,Fig. 4,SEM backscatter electron images of the microstructure in the cast NbTiV2Zr alloy in the homogenized condition.
f0025,articles_all/10.1016.j.actamat.2012.11.032/figures/gr5.jpg,Fig. 5,"EBSD/EDS data for the NbTiV2Zr alloy: (a) SEM image quality, (b) BCC phase map and (c and d) composition maps of (c) vanadium and (d) zirconium (lighter regions correspond to higher concentrations of the alloying elements)."
f0030,articles_all/10.1016.j.actamat.2012.11.032/figures/gr6.jpg,Fig. 6,SEM backscatter electron images of the microstructure in the cast CrNbTiZr alloy in the homogenized condition.
f0035,articles_all/10.1016.j.actamat.2012.11.032/figures/gr7.jpg,Fig. 7,"EBSD/EDS data for the CrNbTiZr alloy: (a) image quality, (b) phase map (bcc is dark, fcc is bright) and (c–f) composition maps of (c) chromium, (d) niobium, (e) titanium and (f) zirconium (lighter regions correspond to higher concentrations of the alloying elements)."
f0040,articles_all/10.1016.j.actamat.2012.11.032/figures/gr8.jpg,Fig. 8,SEM backscatter electron images of the microstructure in the cast CrNbTiVZr alloy in the homogenized condition.
f0045,articles_all/10.1016.j.actamat.2012.11.032/figures/gr9.jpg,Fig. 9,EBSD/EDS maps of (a) bcc (dark) and fcc (light) phases and (b) distribution of Cr (regions with higher Cr concentrations are brighter) in the CrNbTiVZr alloy.
f0050,articles_all/10.1016.j.actamat.2012.11.032/figures/gr10.jpg,Fig. 10,"The temperature dependence of the fraction of solid phases during non-equilibrium solidification of CrNbTiZr, NbTiVZr, CrNbTiVZr and NbTiV2Zr alloys."
f0055,articles_all/10.1016.j.actamat.2012.11.032/figures/gr11.jpg,Fig. 11,"Simulated equilibrium phase diagrams of the (a) NbTiVZr, (b) NbTiV2Zr, (c) CrNbTiZr and (d) CrNbTiVZr alloys."
