Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"The crystal structure, microstructure, density and Vickers hardness of four multi-principal element alloys, NbTiVZr, NbTiV2Zr, CrNbTiZr, and CrNbTiVZr, are reported. The characteristics of these potential new high-temperature structural alloys are explored. The alloys were prepared by vacuum arc melting followed by hot isostatic pressing (at 1200°C, 207MPa for 1h) and homogenization annealing (at 1200°C for 24h). The alloys have densities of 6.52, 6.34, 6.67 and 6.57gcm−3, and Vickers microhardness values of 3.29, 2.99, 4.10 and 4.72GPa, respectively. The NbTiVZr alloy is essentially a single-phase alloy consisting of a coarse-grained disordered body-centered cubic (bcc) phase with fine, submicron-size precipitates inside the grains. The NbTiV2Zr alloy contains three disordered bcc phases. The CrNbTiZr and CrNbTiVZr alloys contain a disordered bcc phase and an ordered Laves phase. The lattice parameters and compositions of the identified phases are reported. The experimental data are compared with the results of the thermodynamic modeling of non-equilibrium and equilibrium phases in these alloys.",[],[]
1,Introduction,"Multi-principal element alloys, also known as high entropy alloys (HEAs) because of their high entropy of mixing of alloying elements, have recently come to the attention of the scientific community due to some interesting and unexpected microstructures and properties[1–3]. These alloys consist of four, five or even more alloying elements at near-equiatomic concentrations. In spite of high alloying, only disordered solid-solution phases, often with face-centered cubic (fcc) and/or body-centered cubic (bcc) crystal structures, form in many of these alloys after solidification. This is explained by the high entropy of formation, which effectively reduces the Gibbs free energy of these disordered phases relative to ordered intermetallics, especially at high temperatures. However, in some cases intermetallic phases still form in HEAs after heat treatment or thermo-mechanical treatment. Even if ordered intermetallic phases are present, the major phases in these alloys are disordered solid solution phases. Intermetallic phase formation in HEAs is thought to be favored by large atomic size mismatch, as well as large, negative enthalpies of mixing of the alloying elements[4,5].",[],[]
1,Introduction,"Recently, a HEA approach has been applied to produce several new refractory alloys with promising combinations of room temperature and elevated temperature mechanical properties and oxidation resistance[6–11]. These are MoNbTaW, MoNbTaVW[6,7], HfNbTaTiZr[8,9]and CrMo0.5NbTa0.5TiZr[10,11]. The high entropy of mixing and similar atomic radii of the alloying elements resulted in the formation of a single-phase bcc crystal structure in the first three alloys. However, the presence of Cr with an atomic radius that is much smaller than the atomic radii of other elements in the fourth alloy caused additional formation of a minor fcc Laves phase[10]. These refractory alloys have rather high densities, from 8.2gcm−3for CrMo0.5NbTa0.5TiZr to 13.8gcm−3for MoNbTaW, which may be satisfactory for potential applications of stationary structures that do not suffer from high weight. Since the aerospace industry demands low-density metallic alloys for high-temperature load-bearing structures and thermal protection systems, there is a clear rationale for exploring HEAs composed of constituents with high melting temperatures and reduced densities. Therefore, the goal of the current work was to produce refractory HEAs with densities below 7.0gcm−3, which could operate at temperatures as high as 1000°C. To achieve this goal, low-density refractory elements, V (ρV=6.11gcm−3), Zr (ρZr=6.51gcm−3), Cr (ρCr=7.14gcm−3), Nb (ρNb=8.57gcm−3) and Ti (ρTi=4.51gcm−3) were selected to produce four alloys: NbTiVZr, NbTiV2Zr, CrNbTiZr and CrNbTiVZr. The microstructure and phase compositions of these alloys are described here; the mechanical properties will be reported in a subsequent paper[12].",[],[]
2,Experimental procedures,"The Cr–Nb–Ti–V–Zr alloys were prepared by vacuum arc melting of nominal mixtures of the corresponding elements. Titanium and zirconium were in the form of 3.175mm diameter slugs with purities of 99.99 and 99.95%, respectively. Niobium and tantalum were in the form of 1.0 and 2.0mm wires, and their purities were 99.95 and 99.9%, respectively. Chromium was in the form of 10–100mm3pieces, with a purity of 99.95%. Vanadium was in the form of chips, with a purity of 99.99%. Arc melting was conducted on a water-cooled copper plate. High-purity molten titanium was used as a getter for residual oxygen, nitrogen and hydrogen. To achieve a homogeneous distribution of elements in the alloys, each alloy was remelted five times, being flipped for each melt, and was in a liquid state for about 5min during each melting event. The prepared cigar-shaped specimens were about 12mm high, 30mm wide and 100mm long, and had shiny surfaces, indicating that there was no oxidation during the vacuum arc melting. The actual alloy compositions determined by inductively coupled plasma-optical emission spectroscopy are given in Table 1 . The produced alloys were hot isostatically pressed (HIPed) at 1200°C and 207MPa for 2h, then homogenized by annealing at 1200°C for 24h in high-purity argon. During HIP and annealing, the samples were covered with Ta foil to minimize oxidation. The cooling rate after annealing was 10°Cmin−1. The crystal structure was identified with the use of an X-ray diffractometer using CuKαradiation and a 2Θ scattering range of 10–140°.",[],['t0005']
2,Experimental procedures,"Alloy density was measured with an AccuPyc 1330 V1.03 helium pycnometer. The pycnometer cell volume was 12.2284cm3, the sample weight was ∼10g, measured to an accuracy of ±0.0001g, and the sample volume was determined to an accuracy of ±0.0001cm3by measuring the free volume of the loaded cell using helium gas and 10 purges. Vickers microhardness was measured on polished cross-section surfaces using a 136° Vickers diamond pyramid under a 500g load applied for 20s. The microstructure was analyzed by scanning electron microscopy (SEM) using a Quanta 600F scanning electron microscope (FEI, North America NanoPort, Hillsboro, OR) equipped with backscatter electron (BSE), energy-dispersive X-ray spectroscopy (EDS) and electron backscatter diffraction (EBSD) detectors.",[],[]
2,Experimental procedures,"Thermodynamic modeling of the non-equilibrium solidification (Scheil model) and equilibrium phase diagrams of the studied alloys was conducted using the Pandat version 8.0 software[13]employing the PanTi thermodynamic database developed by Computherm, LLC.",[],[]
3.1,Results.Density and hardness of the homogenized alloys,"The produced refractory alloys, NbTiVZr, NbTiV2Zr, CrNbTiZr and CrNbTiVZr, have relatively low densities, ofρ=6.52±0.01, 6.34±0.01, 6.67±0.01 and 6.57±0.01gcm−3, respectively. Using the densities of pure elements and the alloy compositions ( Table 1 ), one can estimate the density,ρmix, of disordered solid solutions of the same compositions using the rule of mixtures:(1)ρmix=∑ciAi∑ciAiρiHereci,Aiandρiare the concentration, atomic weight and density of elementi. The calculatedρmixvalues are very close to the densities of homogenized alloys (see Table 1 ). A similar observation has been previously reported for other high entropy alloys[6,8,10]. The Vickers microhardness, Hv, was measured in 20 randomly selected locations of each alloy and the average values are given in Table 1 Among the three quaternary alloys, NbTiV2Zr has the lowest hardness (Hv=2.99±0.03GPa) and CrNbTiZr the highest (Hv=4.10±0.04GPa), while NbTiVZr has Hv=3.29±0.03GPa. The five-element alloy, CrNbTiVZr, has Hv=4.72±0.05GPa. For comparison, the density and Vickers hardness of a high-strength Ni superalloy 718 areρ=8.19gcm−3and Hv=3.6GPa[14].",[],"['t0005', 't0005', 't0005']"
3.2,Results.Crystal structure,"An X-ray diffraction pattern of the NbTiVZr alloy is shown in Fig. 1 a. The Braggs peaks are identified as belonging to a single phase with a bcc crystal structure and the lattice parametera=332.5pm. The absence of superlattice peaks indicates that this is a disordered bcc (A2) phase. An X-ray diffraction pattern of the NbTiV2Zr alloy is shown in Fig. 1 b. The Braggs peaks are identified to belong to three phases, which have disordered bcc crystal structures (bcc1, bcc2 and bcc3), with lattice parametersa1=345.8pm,a2=317.4pm anda3=323.5pm, respectively.","['f0005', 'f0005']",[]
3.2,Results.Crystal structure,"An X-ray diffraction pattern of the CrNbTiZr alloy is shown in Fig. 1 c. The Braggs peaks are identified as belonging to two phases. One is a disordered bcc phase, with the lattice parametera=336.5pm. Another is an ordered Laves (C15) phase, with an fcc crystal structure and the lattice parametera=725.5pm. An X-ray diffraction pattern of the CrNbTiVZr alloy is shown in Fig. 1 d. The Braggs peaks are identified as belonging to two phases, with disordered bcc (A2) and ordered fcc (Laves phase C15) crystal structures. The lattice parameter of the bcc phase isa=330.1pm and that of the Laves phase isa=730.8pm.","['f0005', 'f0005']",[]
3.3.1,Results.Microstructure.NbTiVZr,"Representative SEM backscatter images of the NbTiVZr alloy are shown in Fig. 2 and EBSD/EDS phase and composition maps are given in Fig. 3 . The alloy consists of a matrix with large (∼600μm in diameter) grains and a composition close to that of the alloy. Spots about 20–30μm in diameter, which look bright in BSE images ( Fig. 2 a) and dark in the secondary electron image mode ( Fig. 3 a) and have a total volume fraction of ∼3–6%, are homogeneously distributed inside the matrix. EDS mapping shows that these spots are depleted of V (dark regions in Fig. 3 c) and enriched with Zr (light regions in Fig. 3 d). Additionally, submicron-sized second-phase particles are seen on the BSE images by their dark contrast ( Fig. 2 ). These particles form characteristic chains, probably due to heterogeneous nucleation at dislocations and/or subgrain boundaries, and are often surrounded by bright-contrast shells ( Fig. 2 b). They are not seen on the secondary electron images ( Fig. 3 a). From Fig. 2 a, it seems that these chains of second-phase particles are more common in the Zr-enriched regions. Spot EDS sampling indicates that the dark particles are enriched with V, while the bright regions surrounding the dark particles are enriched with Zr ( Table 2 ). Unfortunately, the exact compositions of these dark particles and surrounding bright regions could not be determined due to their small dimensions. Additional TEM studies are required to determine the crystal structure and chemistry of these second-phase particles. The EBSD phase analysis identifies the presence of a bcc phase only in this alloy ( Fig. 3 b).","['f0010', 'f0015', 'f0010', 'f0015', 'f0015', 'f0015', 'f0010', 'f0010', 'f0015', 'f0010', 'f0015']",['t0010']
