System,Phase,DH mix [30] (kJmol-1),Temperature range [27] (K)
Al-Mo,Al12Mo,-1.45,<934
Al-Mo,Al5Mo,-2.83,<1008
Al-Mo,Al4Mo,-3.26,<1403
Al-Mo,Al8Mo3,-4.05,<1818
Al-Mo,AlMo,-5.10,1743-1993
Al-Mo,AlMo3,-3.83,<2423
,,,
Al-Nb,Al3Nb,-13.76,<1873
Al-Nb,AlNb2,-16.09,<2213
Al-Nb,AlNb3,-13.54,<2333
,,,
Al-Ta,Al3Ta,-14.51,<1824
Al-Ta,Al2Ta3,-19.20,<1867
Al-Ta,AlTa,-18.37,<2043
Al-Ta,AlTa2,-17.16,<2373
,,,
Al-Ti,Al3Ti,-22.11,<1623
Al-Ti,Al2Ti,-26.20,<1513
Al-Ti,AlTi,-29.50,<1753
Al-Ti,AlTi3,-22.18,<1453
,,,
Al-Zr,Al3Zr,-34.04,<1853
Al-Zr,Al2Zr,-39.82,<1918
Al-Zr,Al3Zr2,-42.57,<1868
Al-Zr,AlZr,-43.70,<1548
Al-Zr,Al2Zr3,-41.38,<1758
Al-Zr,AlZr2,-37.97,<1523
Al-Zr,AlZr3,-31.70,<1261
,,,
Al-Hf,Al3Hf,-29.89,<1863
Al-Hf,Al2Hf,-35.00,<1923
Al-Hf,Al3Hf2,-37.46,<1913
Al-Hf,AlHf,-38.50,<2073
Al-Hf,Al2Hf3,-36.50,<1863
Al-Hf,AlHf2,-33.52,<1393
,,,
Mo-Zr,Mo2Zr,-5.67,<2153
Cr-Nb,Cr2Nb,-6.65,<2043
Cr-Ta,Cr2Ta,-6.17,<2293
Cr-Ti,Cr2Ti,-6.47,<1643
Cr-Zr,Cr2Zr,-11.30,<1946
