Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_all/10.1016.j.corsci.2008.04.011/figures/gr1.jpg,Fig. 1,"The effect of aluminium on the potentiodynamic polarization curves of the AlxCrFe1.5MnNi0.5(x=0, 0.3, 0.5) alloys in 0.5M H2SO4solution."
fig2,articles_all/10.1016.j.corsci.2008.04.011/figures/gr2.jpg,Fig. 2,XRD patterns of the as-cast AlxCrFe1.5MnNi0.5alloys.[18]*indicates the existence of the α-FeCr phase.
fig3,articles_all/10.1016.j.corsci.2008.04.011/figures/gr3.jpg,Fig. 3,"Comparisons of the potentiodynamic polarization curves for the AlxCrFe1.5MnNi0.5(x=0, 0.3, 0.5) alloys in 1M NaCl solution."
fig4,articles_all/10.1016.j.corsci.2008.04.011/figures/gr4.jpg,Fig. 4,Potentiodynamic polarization curves for (a) CrFe1.5MnNi0.5and (b) Al0.3CrFe1.5MnNi0.5alloys obtained in 0.5M H2SO4/xNaCl (x=0−0.5M) solutions.
fig5,articles_all/10.1016.j.corsci.2008.04.011/figures/gr5.jpg,Fig. 5,Cyclic polarization curves for (a) CrFe1.5MnNi0.5and (b) Al0.3CrFe1.5MnNi0.5alloys in 0.5M H2SO4+0.25M NaCl solution.
fig6,articles_all/10.1016.j.corsci.2008.04.011/figures/gr6.jpg,Fig. 6,"The effect of aluminium on the Nyquist plot of the AlxCrFe1.5MnNi0.5(x=0, 0.3, 0.5) alloys in 0.5M H2SO4solution."
fig7,articles_all/10.1016.j.corsci.2008.04.011/figures/gr7.jpg,Fig. 7,The (a) Nyquist and (b) Bode plots and (c) the equivalent electrical circuit representative of the electrode interface for the CrFe1.5MnNi0.5alloy in 0.5M H2SO4solution. Scattered points are the experiment data and solid lines show the model fit.
fig8,articles_all/10.1016.j.corsci.2008.04.011/figures/gr8.jpg,Fig. 8,The (a) Nyquist and (b) Bode plots and (c) the equivalent electrical circuit representative of the electrode interface for the Al0.3CrFe1.5MnNi0.5alloy in 0.5M H2SO4solution. Scattered points are the experiment data and solid lines show the model fit.
fig9,articles_all/10.1016.j.corsci.2008.04.011/figures/gr9.jpg,Fig. 9,"SEM micrographs for the AlxCrFe1.5MnNi0.5alloys with aluminium content (a)x=0, (b)x=0.3mol, (c)x=0.5mol, (d) higher magnification of micrograph 9(c) after anodic polarization exceeded the breakdown potential (>1.25VSHE) in 0.5M H2SO4."
fig10,articles_all/10.1016.j.corsci.2008.04.011/figures/gr10.jpg,Fig. 10,SEM micrographs of (a) CrFe1.5MnNi0.5and (b) Al0.3CrFe1.5MnNi0.5alloy after anodic polarization exceeded the breakdown potential (>1.25VSHE) in H2SO4solution containing 0.25M chloride.
