Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"The purpose of this study is to investigate the electrochemical properties of the Co1.5CrFeNi1.5Ti0.5Mo                        x                      high-entropy alloys in three aqueous environments which simulate acidic, marine, and basic environments at ambient temperature (∼25°C). The potentiodynamic polarisation curves of the Co1.5CrFeNi1.5Ti0.5Mo                        x                      alloys, obtained in aqueous solutions of H2SO4 and NaOH, clearly revealed that the corrosion resistance of the Mo-free alloy was superior to that of the Mo-containing alloys. On the other hand, the lack of hysteresis in cyclic polarisation tests and SEM micrographs confirmed that the Mo-containing alloys are not susceptible to pitting corrosion in NaCl solution.",[],[]
1,Introduction,"In the past, the development of conventional alloy systems has been based primarily on one principal element, such as iron-, aluminium-, magnesium-, and nickel-based alloys, limiting the number of applicable alloy systems, even though a substantial amount of other elements is incorporated for property/processing enhancement[1,2]. In the 1990s, Inoue et al.[3]obtained the highly glass forming alloy by using at least three different elements with significantly different atomic radii. In addition, Greer[4]came up with the “confusion principle” in which he stated that the possibility of crystallisation could be lowered if the number of alloying elements was large. In the last two decades, a wide range of multicomponent amorphous alloys, including titanium-, nickel-, zirconium-, iron-, cobalt-, and copper-based alloy[5–10]systems have been developed. Multiple studies have been widely investigated the corrosion and passivation behaviour of these multicomponent amorphous alloys in a variety of electrolytes[11–34]. However, the design concept of afore-mentioned multicomponent amorphous alloys was, once again, based on one principal element. In an attempt to break through the cognitive realm of alloy design, a new multicomponent amorphous alloy system was subsequently developed[35–39]. This new alloy system is also called “high-entropy alloys” which are composed of multiprincipal elements in equimolar or near-equimolar ratios. Each element in the alloy system is no more than 35 atomic percent (atom%). This study focuses on a new alloy design with multiprincipal elements in nonequimolar ratios.",[],[]
1,Introduction,"Solid solutions with multiprincipal elements tend to be more stable because they have larger mixing entropies. Following Boltzmann’s hypothesis of the relationship between entropy and system complexity, the configurational entropy change per mole, ΔSconf, during the formation of a solid solution from six elements with equimolar fractions may be calculated from the following equation:(1)ΔSconf=-klnω=-R∑i=16xilnxi=Rln6≈1.79R,xi=16wherekis the Boltzmann’s constant,ωis the number of ways of mixing, andRis the gas constant, 8.314J/mol/K. For instance, ΔSconfof equimolar alloys with 3, 5, 7, and 9 elements are 1.10R, 1.61R, 1.95R, and 2.20R, respectively. In fact, when other positive vibrational, electronic, and magnetic contributions are considered, the entropy change associated with mixing in equimolar high-entropy alloy is greater than the calculated one[40]. Under the effects of high mixing entropies and the accompanied sluggish cooperative diffusion, they easily yield the formation of simple solid-solution phases and nanostructures during solidification, rather than many binary and ternary intermetallic compounds or other complicated phases[4,40]. The simplification of their structures avoids the disadvantages of difficulty in microstructure analyses and the inherent brittleness of ordered compounds.",[],[]
1,Introduction,"According to previous studies[35–39,41–45], these high-entropy alloy systems possess the following specialties: (1) ease of amorphisation and nanoprecipitation in the alloy, (2) thermal stability, (3) high hardness [Vickers hardness (HV)=700], (4) superior corrosion resistance, (5) excellent resistance to anneal softening, wear [1.2–1.8m/mm3] and oxidation. Additionally, coating technology was further expanding their range of application, to include the hard-facing of golf heads and rollers[46], diffusion barrier[47], and soft magnetic films[48]. Among those previous studies, Reference 45 pointed out that Co1.5CrFeNi1.5Ti0.5Moxwith various Mo contents (xvalues in the molar ratio,x=0–1.0) is ductile, work hardenable, and strong at high temperature up to 800°C, indicating that this alloy has potential application in high-temperature structures and working tools. However, the corrosion characteristics of the Co1.5CrFeNi1.5Ti0.5Moxalloys are relatively unknown. Therefore, the purpose of this study is to investigate the electrochemical behaviour of the Co1.5CrFeNi1.5Ti0.5Moxalloys under different environmental conditions.",[],[]
2.1,Experimental.Test materials,"Elements cobalt (Co), chromium (Cr), titanium (Ti), iron (Fe), and nickel (Ni) with purities of over 99wt.% were present as granules as raw materials. The 39.5wt.% Fe–60.5wt.% Mo master alloy was used with the added molybdenum (Mo). This high-entropy alloy is a six-component alloy in the form of Co1.5CrFeNi1.5Ti0.5Mox, with 1.5mol of Co, Ni, 0.5mol of Ti, and 1mol of the other two alloying elements and between zero and 1mol of the added Mo. Table 1 presents the chemical compositions of the alloys in weight percent (wt.%). The multiprincipal-element Co1.5CrFeNi1.5Ti0.5Moxalloy system with various Mo contents withxfrom 0 to 1.0 was prepared in this work. An induction furnace was used to melt the high-entropy alloys at 1600°C after purging with argon. First, raw materials of Co, Fe, and Ni were placed in the crucible. When Co, Fe, and Ni had melted in liquid state, then Ti, Cr, and FeMo were added to the crucible in order according to their melting points. Finally, the melt was poured into a shell mold preheated at 1100°C. The size of the ingots was 8×7×14 (cm). The high-entropy alloy cylinder for electrochemical measurements was obtained by cutting the bulk material by electric arc line into pieces that were 3mm thick and 8mm in diameter. Each test specimen was then cold mounted, using an epoxy resin to give an exposed surface area of 0.5cm2for the high-entropy alloys. Before each electrochemical experiment, all specimens were mechanically ground using a series of 240–600 silicon carbide (SiC) grit papers and cleaned with acetone and distilled water.",[],['tbl1']
2.2,Experimental.Structure analysis of the Co1.5CrFeNi1.5Ti0.5Moxalloy,The microstructure and composition analyses of the as-cast alloys were carried out by JEOL 5410 scanning electron microscope (SEM) equipped with an energy dispersive X-ray spectrometry (EDS). X-ray diffraction (XRD) using CuKα radiation was used to identify crystalline phases and obtain the lattice parameters of these alloys. The XRD investigation was performed with the diffraction angle (2θ) from 20° to 100° at a speed of 4°/min.,[],[]
2.3,Experimental.Electrochemical measurements,"The corrosion resistance of Co1.5CrFeNi1.5Ti0.5Moxalloys was conducted in three different environmental conditions; 1molar concentration (M) sodium hydroxide (NaOH), 0.5M sulfuric acid (H2SO4), and 1M sodium chloride (NaCl), which will be referred to as base, acid, and salt solution, respectively henceforth at 25°C under atmospheric pressure. The test solution was deaerated by bubbling purified nitrogen gas before and throughout the electrochemical tests to eliminate the effect of dissolved oxygen. The electrochemical polarisation was performed in a typical three electrode cell that consisted of a specimen as the working electrode, a silver/silver chloride (Ag/AgCl) in 3M potassium chloride (KCl) as the reference electrode, and a platinum (Pt) sheet as the counter electrode. The Ag/AgCl scale (3M KCl) is 0.208V lower than the standard hydrogen electrode (SHE)[49]:(2)E,VAg/AgCl+0.208=E,VSHEUnless otherwise stated in this paper, all potentials recorded were referred to standard hydrogen electrode.",[],[]
2.3,Experimental.Electrochemical measurements,"Potentiodynamic polarisation measurements were made at a scan rate of 1mV/s from an initial potential of −0.5V to a final potential of 1.5V versus the open current potential (OCP). The potential was controlled and the current was measured using a potentiostat (Autolab PGSTAT30). A cyclic polarisation technique started at −0.5V by scanning at 1mV/s towards more positive potentials up to 1.5V versus the OCP, at which value the potential scan was reversed and returned to where the polarisation began. Before either of these tests was conducted, the OCP was recorded for 15min to yield a steady-state potential. Then, the specimen was cathodically polarised to a potential of −192mVSHEfor 5min to reduce the existing surface films. Following electrochemical testing, multiple electrochemical parameters were determined:Ecorr, corrosion potential, i.e., the potential where zero current density[21];Epp, primary passivation potential, the potential at which the maximum anodic current density reached in the active region[50];Esp, secondary passivation potential, the potential at which the maximum anodic current density reached in the passive region[51];Eb, the potential at which the current density suddenly increases is determined to be the breakdown potential[20]; ΔE, the difference betweenEbandEppis the estimated passive region width[42];Eprot, the protection potential where the forward and reverse scan crosses in the passive region[51];Erp, the repassivation potential is considered to be the potential at which the cyclic polarisation curves are approximately horizontal on the potential reverse scan[42];icri, critical current density, the maximum anodic current density in the active region[50];ipass, anodic current density values remain completely constant in the passive range[50]; the corrosion current density,icorr, is obtained from the curves using the intersection of the cathodic linear extrapolation (approximately −50 to −100mV from the corrosion potential) and the corrosion potential horizontal line.",[],[]
2.4,Experimental.Surface morphology and chemical analysis,"Following the polarisation experiment, the specimen was cleaned using distilled water and then dried in nitrogen. Immediately thereafter, the morphology and chemical composition of the corroded surface of the high-entropy alloy was investigated using a JEOL 5410 SEM.",[],[]
3.1,Results and discussion.Microstructure of the as-cast Co1.5CrFeNi1.5Ti0.5Moxalloys," Fig. 1 illustrates the XRD patterns of the as-cast Co1.5CrFeNi1.5Ti0.5Mox(x=0, 0.1, 0.5, 0.8) alloys. In this study, all these alloys basically belong to a simple FCC solid-solution structure. However, as Mo content in Co1.5CrFeNi1.5Ti0.5Moxalloys increases up to 0.5 and 0.8mol, the small peaks slightly on the left and right of the matrix FCC in XRD patterns are identified as Cr and Mo rich sigma (σ) phase. As the Mo content decreases in these alloys, the peak intensities also change due to the lattice distortion caused by the different atomic size and still remains in FCC structure[45]. There is also no tendency to form complex or multiple phases when increasing the number of constituent elements. Because the wavelength of X-ray is constant (λ=1.54Å), from the angle (θ) and plane (hkl) of each diffraction peak, a set of lattice parameter can be calculated by Bragg’s law. These values of lattice parameter were plotted against cos2θ, and the precise parameter of alloy (a0) can be estimated by least squares and extrapolation method[52]. The lattice parameters of Co1.5CrFeNi1.5Ti0.5Mox(x=0, 0.1, 0.5, 0.8) alloys in this study are about 3.59Å. Fig. 2 shows the SEM images of the as-cast Co1.5CrFeNi1.5Ti0.5Moxalloys, which are composed of dendrites and interdentrites. According to the EDS analyses as listed in Table 2 , the interdendrite (lighter phase) of the as-cast Co1.5CrFeNi1.5Ti0.5Mox(x=0, 0.1) alloy is Ni and Ti rich phase, and dendrite (darker phase) is Fe and Cr rich phase. Table 3 lists chemical mixing enthalpy (ΔHchem) of a pair of atoms[53–55]. As can be seen in Table 3 , Ni and Ti have the larger negative enthalpy in the alloy. Thus, they are likely to aggregated in the interdendrite phase. When increasing the Mo content in the Co1.5CrFeNi1.5Ti0.5Mox(x=0.5, 0.8) alloys, the interdendrites are rich in Cr and Mo, while the dendrites are rich in Co and Ni.","['fig1', 'fig2']","['tbl2', 'tbl3', 'tbl3']"
