Element,Co1.5CrFeNi1.5Ti0.5Mo0 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0.1 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0.1 (atom%)
Element,Interdendrite,Dendrite,Dendrite,Dendrite
Co1.5CrFeNi1.5Ti0.5Mox high-entropy alloys,Co1.5CrFeNi1.5Ti0.5Mox high-entropy alloys,Co1.5CrFeNi1.5Ti0.5Mox high-entropy alloys,Co1.5CrFeNi1.5Ti0.5Mox high-entropy alloys,Co1.5CrFeNi1.5Ti0.5Mox high-entropy alloys
Co,26.7,27.6,25.8,26.6
Cr,15.1,21.0,13.3,19.1
Fe,15.3,19.8,14.1,18.3
Ni,28.9,25.9,29.5,26.8
Ti,14.0,5.7,15.5,7.3
Mo,-,-,1.8,1.9
,,,,
,Co1.5CrFeNi1.5Ti0.5Mo0.5 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0.5 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0.8 (atom%),Co1.5CrFeNi1.5Ti0.5Mo0.8 (atom%)
,Interdendrite,Dendrite,Dendrite,Dendrite
Co,21.0,24.0,20.6,24.8
Cr,20.5,18.1,19.6,15.5
Fe,14.2,16.9,15.2,16.6
Ni,13.0,26.2,14.0,28.2
Ti,7.1,7.5,4.3,7.3
Mo,24.2,7.3,26.3,7.6
