Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"This study presents an innovative multi-principal-element CoFeMnTiVZr alloy system for the absorption and desorption of hydrogen. Pressure-composition-isotherms (PCIs) demonstrate that CoFeMnTi                        x                     VZr, CoFeMnTiV                        y                     Zr, and CoFeMnTiVZr                        z                      can absorb and desorb hydrogen for x, y, and z that satisfy 0.5 ≤ x ≤ 2.5, 0.4 ≤ y ≤ 3.0, and 0.4 ≤ z ≤ 3.0, respectively. X-ray diffraction (XRD) reveals that CoFeMnTi                        x                     V                        y                     Zr                        z                      alloys have a simple C14 Laves phase with a single set of lattice parameters before and after PCI tests. The distributions of each element in CoFeMnTi                        x                     V                        y                     Zr                        z                      alloys are roughly equal, as revealed by SEM/EDS mapping. The effects of values x, y, and z on the hydrogen storage properties are elucidated in terms of lattice constant, element segregation, hydride formation enthalpies of the alloy components and hydrogen, and the averaged formation enthalpy. The high-entropy effect promotes the formation of a single C14 Laves phase, and the maximum hydrogen storage capacity is strongly related to the hydride formation enthalpy of the alloy and hydrogen.",[],[]
1,Introduction,"The greenhouse effect is principally caused by the emission of CO2and is causing climate change, according to several studies[1,2]. Various green energies, without CO2emission, including hydrogen, solar, wind power, biomass, terrestrial heat, sea tide, and ocean thermal conversion (OTC) energies, have been widely explored. Hydrogen energy is effective and convenient. Moreover, solutions for reducing the cost of production of hydrogen are being developed and improved[3]. However, the storage of hydrogen is an important issue because of the flammability of hydrogen. The various techniques of hydrogen storage involve high-pressure hydrogen, adiabatic liquid hydrogen, carbon hydride, and metal hydride. In recent years, as a result of its safety, low cost, lack of production of non-greenhouse gases, high storage capacity per volume, and high absorption/desorption reversibility, metal hydride has been regarded as an excellent hydrogen storage material. LaNi5is a commercially available metal hydride.",[],[]
1,Introduction,"The increase in the number of components in hydrogen storing alloys has recently become a major developing direction in improvement of the hydrogen storage properties – especially hydrogen absorption, hydrogen desorption and cycle life. High-entropy alloys (HEAs) satisfy the above-mentioned basic hydrogen storage requirements as proposed and demonstrated by Yeh and Chen, respectively, as shown in their student's master theses[4,5]. In the last ten years, the physical and chemical characteristics of HEAs have been extensively studied. HEAs comprise at least five elements, each with a concentration of between 5 and 35at%. In a multi-principal-element design, elements in alloy are well mixed in a liquid state at high temperatures, such yielding high entropy, and reducing the Gibbs free energy of the alloy system. HEAs tend to form a simple phase. Upon the thorough mixing of alloy elements, based on Boltzmann’s hypothesis[6], the change in the Gibbs free energy of the alloy elements (ΔGmix) and the change in configurational entropy of alloy elements (ΔSmix) are given by the following equations.ΔSmix=−klnΩ=−R∑xilnxi,ΔGmix=ΔHmix−TΔSmix,wherek,Ω,R,xi, ΔHmix, andTare the Boltzmann constant, the number of mixed states, the gas constant, the mole fraction of each element, the change in enthalpy from alloy elements, and absolute temperature, respectively. When the number of components (n) ≥ 5, ΔSmix≥ 1.61 R for equimolar alloy systems. However, the alloy is melted at high temperature. Assume arbitrarily that the alloy melts at 1650 K, andTΔSmix≥ 2.66 × 103R. Moreover,TΔSmixincreases withn. Therefore,TΔSmix, determined by the increase in “n”, competes with (i.e., being comparable with or greater than) ΔHmix, such that the formation of a simple microstructure of a five-element or more than five-element alloy is more likely than that of a three- or four-element alloy. HEAs have better properties than conventional alloys. They have simple microstructures in the form of a solid solution of multiple elements[7–9], a favorable capacity to form nano-scale precipitates[8,10,11], high thermal stability[12], superior extensive or compressive properties[13], extremely high hardness[14], excellent anticorrosive properties[13,14], and special electrical and magnetic properties[15].",[],[]
1,Introduction,"This study explores multi-principal-component hydrogen storage alloys to examine the effect of the multicomponents on their hydrogen storage characteristics. From the various combinations of elements, equimolar CoFeMnTiVZr was selected as a candidate alloy system. Equimolar CoFeMnTiVZr high-entropy alloy has a single C14 Laves structure, and absorbs/desorbs hydrogen[16]. This study seeks to improve the hydrogen storage properties, optimizing the hydrogen storage capacity, the kinetic behavior, and the working temperature and pressure by modifying the Ti, V, and Zr contents of CoFeMnTixVyZrzalloys. Since most current studies are concerned with relatively light materials, rather than with heavy transition metals, at present a study at our laboratory focuses on the light metal high-entropy alloys for storing hydrogen. This study is part of the study of light metal high-entropy alloys for storing hydrogen.",[],[]
2,Experimental details,"As-cast CoFeMnTixVZr, CoFeMnTiVyZr, and CoFeMnTiVZrzalloys, hereinafter denoted as Tix, Vy, and Zrz, were prepared using a vacuum arc remelter with molar ratios of 0.5 ≤x≤ 2.5, 0.4 ≤y≤ 3.0, and 0.4 ≤z≤ 3.0, respectively. In melting, ingots were turned over once in each melting process, which is repeated at least two times to ensure that the alloys were in a well-mixed state. After sample preparation, the specimens were analyzed to determine their crystallinity, microstructure, and hydrogen adsorption/desorption performance using XRD (RIGAKU ME510-FM2), SEM/EDS (JEOL JSM840A with Oxford EDS system), and a Sieverts-type setup, respectively. A Cu target with a characteristic wavelength ofλ(Kα1) = 1.54056 Å was used, and the working voltage and the current were 30 kV and 20 mA, respectively. The lattice constants of C14 were determined by Cohen’s method[17]. The volume expansion,ɛ, is expressed as follows.(1)ɛ=ΔV/V0=(a2c−a02c0)/a02c0where ΔV,V0, anda,c,a0, andc0are the difference between the volumes after and before the tests, the original volume before the PCI tests, and the lattice constants after and before the PCI tests, respectively. Specimens were crushed and passed through a 100-mesh screen to undergo PCI and kinetic testing. Each sample was activated by heating to 400 °C at 40 atm for 2 h. Since the self-pulverization does not obviously affect the kinetics, the effect of particle size is not discussed herein. The PCI tests were conducted using a pressure range of 0.01–20 atm at 25 and 80 °C. The kinetic tests were carried out at an initial pressure of 9.58 atm at 25, 80, and 150 °C.",[],[]
3.1,Results and discussion.Evidence of retained hydrogen for hydrogenated samples by XRD,"For alloys Tixand Zrz, the XRD peaks shifted to leftward upon the PCI tests, as will be discussed in Section3.2. The shift in the XRD peaks may result from (i) the retained hydrogen in alloys, or (ii) the plastic deformation of the samples following hydrogenation. To identify the cause of this peak shift, XRD tests were performed on raw, hydrogenated, and dehydrogenated Zr1. A complete PCI test, including absorption and desorption processes, is considered to be a complete cycle of hydrogenation–dehydrogenation. After hydrogenation, the sample was removed from the chamber, and the XRD tests were performed immediately (as-hydrogenated). The dehydrogenation of sample Zr1progressed at 400 °C at 10−4atm for 2 h was followed by hydrogenation (as-dehydrogenated). (Hereinafter, unless otherwise specified, the sample “before the PCI test” is the as-cast one, and the sample “after the PCI test” is the as-hydrogenated one.)Fig. 1presents the XRD results for as-cast (raw), hydrogenated, and dehydrogenated Zr1. The (110) 2θpeaks of as-cast (raw), hydrogenated, and dehydrogenated samples are located at 36.01, 33.86, and 35.65°, respectively. Therefore, hydrogenation substantially increases the lattice constants of raw samples, while dehydrogenation only slightly increases them. The temperature at which dehydrogenation was performed (400 °C) is well below the annealing temperature of the sample (around 1000 °C). Therefore, samples undergo plastic deformation after dehydrogenation. However, a comparison with that of the as-cast sample reveals that the (111) peak of the dehydrogenated sample (36.01–35.65°) is shifted only a little, while that of the hydrogenated sample shifts considerably (36.01–33.86°). Therefore, in Section3.2, the peak shift of the samples upon the PCI test is attributed mainly to the retention of hydrogen, rather than plastic deformation.",['fig1'],[]
3.2,"Results and discussion.The crystallinity and microstructure of alloys Tix, Vy, and Zrz"," Figs. 2 –4present the XRD patterns of alloys Tix, Vy, and Zrz. They comprise a crystalline single C14 Laves phase both before and after the PCI tests ( Figs. 2 (a)–4(a)and Figs. 2 (b)–4(b), respectively), despite the wide ranges ofx,y, andzin 0.5 ≤x≤ 2.5, 0.4 ≤y≤ 3.0, and 0.4 ≤z≤ 3.0. Both the alloys and their corresponding hydrides are of the C14 Laves phase with a single set of lattice parameters, but with an XRD peak shift to the left for hydrides, indicating the expansion of the hydride lattices. According to previous studies of almost all high-entropy alloys studied to date[7–9], for example, multi-principal-element alloys whoseTΔSmixis comparable to the absolute value of ΔHmix, such that the change in Gibbs free energy upon alloy formation is negative and its absolute value is not high, favor the formation of a single solid solution because of this high-entropy effect.","['fig2', 'fig3', 'fig4', 'fig2', 'fig3', 'fig4', 'fig2', 'fig3', 'fig4']",[]
3.2,"Results and discussion.The crystallinity and microstructure of alloys Tix, Vy, and Zrz","Asxandzincrease, the (110) peaks of alloys Tixand Zrz, respectively, shift to the left ( Figs. 2 (a) and 4(a)), indicating that before the PCI tests, the lattice constants of the alloys Tixand Zrzincrease withxandz, respectively. However, the (110) peaks of Vy, shown inFig. 3(a), reveal no significant change and no clear relationship exists between the lattice constants and theyvalues before the PCI test. Ti and Zr have larger atomic radii than Co, Fe, Mn, and V in the alloys. Therefore, the addition of Ti or Zr,xorz, unlike the addition of V, specifying degree of significance influences the lattice constants. After the PCI tests, the (110) peaks of alloys Tixand Zrzalso shift to the left asxandzincrease, respectively, while those of alloys Vyshift a little asyincreases ( Figs. 2 (b)–4(b)). As for the as-cast samples, both Ti and Zr affect the hydride lattice constants more considerably than does V.","['fig3', 'fig2', 'fig4', 'fig2', 'fig3', 'fig4']",[]
3.3,"Results and discussion.Kinetics for alloys Tix, Vy, and Zrz"," Figs. 5 –7present the kinetics of hydrogen absorption of Tix, Vy, and Zrz, alloys at 25 and 80 °C, as well as the necessary time for these alloys to absorb 90% of their absorption capacity,t0.9, respectively. Thet0.9parameter is a convenient indicator for the estimation of the hydrogen absorption kinetics of alloys.Fig. 5(c) presents the kinetics of Tixat 25 and 80 °C. It reveals thatt0.9declines asxincreases in the range 0.5 ≤x≤ 2, but sharply increases asxincreases to 2.5. The hydrogen absorption rate in this case seems to be closely related to the size of the interstitial sites because of the increase in the amount of added Ti asxincreases in the range 0.5 ≤x≤ 2, because the shift in the XRD peaks of Tix, discussed in Section3.2, reveals the expansion of the lattice and the consequent enlargement of the interstitial sites. Therefore, the hydrogen absorption rate increases, with the addition of Ti forxin the range 0.5 ≤x≤ 2. However, the absorption rate abruptly declines asxpasses 3 (not shown inFig. 5(c)). This phenomenon is explained as follows. Ti readily forms oxides on the surface of alloy[18], and the addition of excess Ti forms “enough” Ti oxides on the alloy surface to retard the diffusion of hydrogen atoms. The kinetics of Tixat 80 °C are in a manner similar to their relationship at 25 °C. The kinetics at 80 °C reveal thatt0.9also declines asxincreases in the range 0.5 ≤x≤ 2, and raises sharply atx= 2.5. The value oft0.9at 25 °C exceeds that at 80 °C (Fig. 5(c)), because the diffusion rate of hydrogen atoms in these alloys increases with temperature.","['fig5', 'fig5', 'fig5', 'fig5', 'fig6', 'fig7']",[]
3.3,"Results and discussion.Kinetics for alloys Tix, Vy, and Zrz","No relationship exists betweent0.9andyin alloys Vyat either 25 or 80 °C, as shown inFig. 6(a) and (b). The addition of V, but not Ti or Zr, affects the lattice constant of alloys Vyonly slightly because its radius is close to the average radius of Co, Fe, Mn, Ti, V, and Zr. Therefore, the addition of V only slightly influences the interstitial sites of alloys Vy. The value oft0.9for alloys Vyranges from 45 to 88 s, while that for alloys Tixranges from 25 to 1250 s. Therefore,t0.9is more sensitive to Ti than to V. Additionally,t0.9for Vyat 25 °C is less than that at 80 °C (Fig. 6(c)). Accordingly, the hydrogen kinetics of alloys Vyare faster at lower temperatures. This unusual phenomenon has also been observed in ZrMn3.8alloy[19]. The mechanism of this effect warrants further study.","['fig6', 'fig6']",[]
