Alloys,Before PCI tests,Before PCI tests,After PCI tests,After PCI tests,e (%)
Alloys,a (A),c (A),a (A),c (A),e (%)
Ti0.5,4.960,8.030,4.992,8.131,2.57
Ti1.0,4.958,8.046,4.982,8.152,2.30
Ti1.5,4.983,8.106,5.019,8.229,2.99
Ti2.0,5.006,8.155,5.086,8.340,5.56
Ti2.5,5.083,8.220,5.171,8.418,5.99
,,,,,
V0.4,4.958,8.095,5.006,8.137,2.47
V0.7,4.970,8.113,4.982,8.127,0.66
V1.0,4.958,8.046,4.982,8.152,2.30
V1.3,4.958,8.095,4.994,8.169,2.39
V1.6,4.970,8.135,5.006,8.290,3.40
V2.0,4.958,8.095,4.982,8.203,2.31
V2.3,4.958,8.095,5.043,8.163,4.32
V2.6,4.970,8.135,5.043,8.240,4.29
V3.0,4.970,8.113,5.043,8.240,4.57
,,,,,
Zr0.4,4.866,7.915,4.866,7.936,0.27
Zr0.7,4.866,7.936,4.935,7.989,3.51
Zr1.0,4.958,8.046,4.982,8.152,2.30
Zr1.3,4.994,8.169,5.273,8.597,17.32
Zr1.6,5.031,8.222,5.342,9.030,23.83
Zr2.0,5.056,8.258,5.383,8.753,20.16
Zr2.3,5.067,8.302,5.411,8.853,21.62
Zr2.6,5.117,8.319,5.469,8.937,22.70
Zr3.0,5.117,8.763,5.469,8.906,16.10
