Alloy System,Hydride formula,"(H/M)max, wt%","(H/M)max, H/atom","(H/M)cal, H/atom","DH cal, kJ/mol","T, degC",Ref.
Mg2Ni,Mg2Ni0.75Cu0.25H2.92,2.69,0.97,1.67,-26.74,200,[22]
Mg2Ni,Mg2Ni0.6Cu0.4H2.44,2.23,0.81,1.67,-21.87,200,[22]
Mg2Ni,Mg2NiH2.25,2.10,0.75,1.67,-21.32,200,[22]
Mg2Ni,Mg2Ni0.75V0.25H3.69,2.07,0.73,1.67,-23.09,200,[22]
Mg2Ni,Mg2Ni0.75Cu0.25H3.80,3.50,1.27,1.67,-34.79,227,[23]
Mg2Ni,Mg2Ni0.75V0.25H3.17,3.00,1.06,1.75,-31.97,250,[23]
Mg2Ni,Mg2Ni0.75Cr0.25H3.29,3.11,1.10,1.75,-30.99,248,[23]
Mg2Ni,Mg2Ni0.75Co0.25H3.45,3.21,1.15,1.67,-32.69,279,[23]
Mg2Ni,Mg2Ni0.75Fe0.25H3.10,2.91,1.03,1.67,-28.94,253,[23]
Mg2Ni,Mg2NiH4.00,3.60,1.33,1.67,-37.90,253,[23]
Mg2Ni,Mg2CuH3.08,2.70,1.03,1.67,-25.25,239,[23]
Mg2Ni,Mg1.9Ti0.1NiH3.62,3.30,1.21,1.67,-35.51,300,[24]
Mg2Ni,Mg2Ni0.75V0.25H3.69,3.50,1.23,1.75,-37.21,300,[22]
Mg2Ni,Mg2Ni0.75Cu0.25H4.16,3.83,1.39,1.67,-38.09,300,[22]
Mg2Ni,Mg2Ni0.6Cu0.4H3.98,3.64,1.33,1.67,-35.68,300,[22]
Mg2Ni,Mg2NiH4.00,3.60,1.33,1.67,-37.90,300,[24]
,,,,,,,
LaNi5,LaNi5H6.00,1.39,1.00,1.17,-23.89,20,[23]
LaNi5,LaNi5H6.70,1.55,1.12,1.17,-26.67,20,[25]
LaNi5,MmNi2.5Co2.5H5.20,1.20,0.87,1.17,-17.85,20,[23]
LaNi5,MmNi4.5Al0.5H4.80,1.15,0.80,1.33,-17.49,20,[23]
LaNi5,MmNi4.5Cr0.25Mn0.25H6.90,1.60,1.15,1.21,-27.86,20,[23]
LaNi5,MmNi4.5Cr0.45Mn0.05H6.80,1.58,1.13,1.24,-26.96,20,[23]
LaNi5,MmNi4.5Cr0.46Mn0.04H6.30,1.47,1.05,1.24,-24.96,20,[23]
LaNi5,MmNi4.5Cr0.5H6.30,1.47,1.05,1.25,-24.03,20,[23]
LaNi5,MmNi4.5Mn0.5H6.60,1.53,1.10,1.17,-27.26,20,[23]
LaNi5,MmNi4.5Si0.5H3.80,0.91,0.63,1.42,-11.48,20,[23]
LaNi5,MmNi5H6.30,1.45,1.05,1.17,-24.77,20,[23]
LaNi5,LaNi4.6Al0.4H4.70,1.15,0.78,1.30,-17.58,30,[23]
LaNi5,LaNi4.6Si0.4H3.50,0.83,0.58,1.37,-11.26,30,[23]
LaNi5,MmNi4.5Al0.25Co0.25H5.10,1.20,0.85,1.25,-19.03,30,[23]
LaNi5,MmNi4.5Al0.25Cr0.25H5.08,1.20,0.85,1.29,-19.28,30,[23]
LaNi5,MmNi4.5Al0.25Cu0.25H5.54,1.30,0.92,1.25,-20.00,30,[23]
LaNi5,MmNi4.5Al0.25Mn0.25H5.51,1.30,0.92,1.25,-21.33,30,[23]
LaNi5,MmNi4.5Al0.25Si0.25H4.59,1.10,0.77,1.38,-15.25,30,[23]
LaNi5,MmNi4.5Al0.45Ti0.05H5.30,1.27,0.88,1.33,-20.06,30,[23]
LaNi5,MmNi4.5Al0.4Zr0.1H5.00,1.18,0.83,1.32,-20.05,30,[23]
LaNi5,MmNi4.5Al0.5H5.00,1.17,0.83,1.33,-18.22,30,[23]
LaNi5,MmNi4.5Fe0.45Zr0.05H6.05,1.40,1.01,1.18,-24.60,30,[23]
LaNi5,MmNi4.5Fe0.5Zr0.05H6.11,1.40,1.01,1.17,-24.34,30,[23]
LaNi5,MmNi4.7Al0.3H5.93,1.40,0.99,1.27,-22.24,30,[23]
LaNi5,MmNi4.7Al0.3Ti0.05H5.60,1.31,0.93,1.27,-21.31,30,[23]
LaNi5,MmNi4.7Al0.3Zr0.1H5.00,1.16,0.82,1.28,-19.69,30,[25]
,,,,,,,
FeTi,FeTiH1.90,1.83,0.95,1.50,-34.42,80,[23]
FeTi,TiFe0.8Mn0.2H1.90,1.83,0.95,1.50,-35.74,80,[25]
FeTi,TiFe0.8Mn0.2H1.95,1.88,0.98,1.50,-36.68,80,[23]
FeTi,TiFe0.8Mn0.2Al0.05H1.35,1.29,0.66,1.54,-23.88,80,[23]
FeTi,TiFe0.8Mn0.2Zr0.05H2.15,2.04,1.05,1.51,-41.22,80,[23]
FeTi,TiFe0.8Mn0.18Al0.02Zr0.05H2.03,1.89,0.99,1.53,-38.45,80,[23]
FeTi,TiFe0.8Mn0.18Al0.05Zr0.02H1.99,1.88,0.97,1.55,-35.95,80,[23]
FeTi,TiFe0.8Mn0.2V0.05H1.89,1.78,0.92,1.51,-34.68,80,[23]
,,,,,,,
TiCo,TiCoH1.50,1.40,0.75,1.50,-27.17,120,[23]
TiCo,TiCo0.5Mn0.5H1.36,1.30,0.68,1.50,-27.48,120,[23]
TiCo,TiCo0.5Mn0.5V0.05H1.40,1.30,0.68,1.51,-27.35,120,[23]
TiCo,TiCo0.5Mn0.5Zr0.05H1.53,1.40,0.75,1.46,-32.19,120,[23]
TiCo,TiCo0.5Fe0.5H1.26,1.20,0.61,1.46,-22.82,120,[23]
TiCo,TiCo0.5Fe0.5V0.05H1.40,1.30,0.68,1.51,-24.58,120,[23]
TiCo,TiCo0.5Fe0.5Zr0.05H1.43,1.30,0.70,1.51,-26.28,120,[23]
,,,,,,,
ZrB2,ZrV2H5.30,2.74,1.77,2.00,-82.46,25,[26]
ZrB2,Zr(Fe0.1V0.9)2H4.40,2.28,1.47,1.93,-66.95,25,[26]
ZrB2,Zr(Fe0.25V0.75)2H3.70,2.17,1.23,1.83,-54.36,25,[26]
ZrB2,Zr(Fe0.5V0.5)2H3.20,1.62,1.07,1.67,-43.69,25,[26]
ZrB2,Zr(Fe0.75V0.25)2H3.20,1.60,1.07,1.50,-39.62,25,[26]
ZrB2,Zr(Fe0.8V0.2)2H2.90,1.44,0.97,1.47,-35.07,25,[26]
ZrB2,Zr(Fe0.9V0.1)2H1.60,0.79,0.53,1.40,-18.36,25,[26]
ZrB2,ZrFe2H0.12,0.06,0.04,1.33,-1.30,25,[26]
ZrB2,ZrCr2H3.80,1.95,1.27,2.00,-41.47,25,[26]
ZrB2,Zr(Fe0.25Cr0.75)2H3.40,1.72,1.13,1.83,-37.04,25,[26]
ZrB2,Zr(Fe0.5Cr0.5)2H3.40,1.71,1.13,1.67,-36.95,25,[26]
ZrB2,Zr(Fe0.6Cr0.4)2H2.95,1.48,0.98,1.60,-32.03,25,[26]
ZrB2,Zr(Fe0.75Cr0.25)2H2.85,1.42,0.95,1.50,-30.89,25,[26]
ZrB2,Zr(Fe0.8Cr0.2)2H2.60,1.29,0.87,1.47,-28.16,25,[26]
ZrB2,Zr(Fe0.9Cr0.1)2H0.22,0.11,0.07,1.40,-2.38,25,[26]
ZrB2,ZrMn2H3.60,1.79,1.20,1.33,-53.91,25,[26]
ZrB2,Zr(Fe0.2Mn0.8)2H3.30,1.64,1.10,1.33,-46.67,25,[26]
ZrB2,Zr(Fe0.4Mn0.6)2H3.20,1.59,1.07,1.33,-42.04,25,[26]
ZrB2,Zr(Fe0.5Mn0.5)2H2.90,1.44,0.97,1.33,-37.38,25,[26]
ZrB2,Zr(Fe0.6Mn0.4)2H2.00,0.99,0.67,1.33,-24.38,25,[26]
ZrB2,Zr(Fe0.75Mn0.25)2H0.45,0.22,0.15,1.33,-5.33,25,[26]
ZrB2,Zr(Fe0.8Mn0.2)2H0.20,0.01,0.07,1.33,-2.33,25,[26]
ZrB2,Zr(Fe0.9Mn0.1)2H0.20,0.01,0.07,1.33,-2.24,25,[26]
ZrB2,ZrV2H5.30,2.74,1.77,2.00,-82.46,25,[26]
ZrB2,Zr(Co0.125V0.875)2H4.40,2.26,1.47,1.92,-66.64,25,[26]
ZrB2,Zr(Co0.25V0.75)2H4.20,2.13,1.40,1.83,-61.71,25,[26]
ZrB2,Zr(Co0.5V0.5)2H3.70,1.54,1.23,1.67,-56.71,25,[26]
ZrB2,Zr(Co0.75V0.25)2H2.80,1.37,0.93,1.50,-34.68,25,[26]
ZrB2,Zr(Co0.8V0.2)2H2.10,1.02,0.70,1.47,-25.40,25,[26]
