Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_all/10.1016.j.intermet.2013.10.024/figures/gr1.jpg,Fig. 1,"All the possible quaternary, ternary, binary, and pure metal subsets of the quinary high-entropy alloy FeNiCoCrMn. After casting and homogenization, those that are single-phase FCC are identified in red, while those that are multi-phase or have a different crystal structure are identified in black. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
fig2,articles_all/10.1016.j.intermet.2013.10.024/figures/gr2.jpg,Fig. 2,XRD patterns and BSE images of the five quaternary equiatomic alloys investigated in this study in the cast and homogenized condition.
fig3,articles_all/10.1016.j.intermet.2013.10.024/figures/gr3.jpg,Fig. 3,XRD patterns and BSE images of the eight ternary equiatomic alloys investigated in this study in the cast and homogenized condition.
fig4,articles_all/10.1016.j.intermet.2013.10.024/figures/gr4.jpg,Fig. 4,XRD patterns and BSE images of the five binary equiatomic alloys investigated in this study in the cast and homogenized condition.
fig5,articles_all/10.1016.j.intermet.2013.10.024/figures/gr5.jpg,Fig. 5,"XRD patterns and BSE images of the equiatomic alloys NiCo FeNi, NiCoCr, FeNiCr, FeNiCo, and FeNiCoCr after cold rolling and annealing at 800 °C for 1 h. Green arrows in the XRD pattern and BSE image of FeNiCr indicate the BCC phase. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
fig6,articles_all/10.1016.j.intermet.2013.10.024/figures/gr6.jpg,Fig. 6,"Microstructures of the FeNiCoCr alloy: (a) in the as-cast state, (b) after homogenization at 1200 °C for 24 h and (c) after cold rolling and annealing at 900 °C for 1 h."
fig7,articles_all/10.1016.j.intermet.2013.10.024/figures/gr7.jpg,Fig. 7,"Microstructures of (a) FeNiCoCr, (b) FeNiCo, (c) NiCoCr, (d) FeNi, (e) NiCo and (f) Ni, after cold rolling and annealing at 1000 °C for 1 h."
fig8,articles_all/10.1016.j.intermet.2013.10.024/figures/gr8.jpg,Fig. 8,"(a) Microhardness of the equiatomic alloys and Ni after rolling and subsequent annealing at various temperatures for 1 h; the open and closed arrows represent approximately the start and finish of recrystallization, respectively. Representative examples of the microstructural evolution with annealing temperature are shown in the BSE images of the FeNiCo alloy annealed for 1 h at (b) 500 °C, (c) 600 °C, and (d) 800 °C after cold rolling."
fig9,articles_all/10.1016.j.intermet.2013.10.024/figures/gr9.jpg,Fig. 9,Grain sizes of the recrystallized equiatomic alloys and pure Ni after annealing for 1 h at different temperatures. Inset shows an example of abnormal grain growth in pure Ni after 1-h anneal at 500 °C. The short arrows identify the four annealing temperatures at which abnormal grain growth was observed in FeNiCo and Ni.
fig10,articles_all/10.1016.j.intermet.2013.10.024/figures/gr10.jpg,Fig. 10,Grain size as a function of annealing time at 900 °C for the equiatomic alloys.
fig11,articles_all/10.1016.j.intermet.2013.10.024/figures/gr11.jpg,Fig. 11,"(a) Microhardness as a function of grain size for the equiatomic alloys and pure Ni. Magnified views are shown in (b) for FeNi and FeNiCo, and (c) for Ni."
