Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"The equiatomic high-entropy alloy FeNiCoCrMn is known to crystallize as a single phase with the face-centered cubic (FCC) crystal structure. To better understand this quinary solid solution alloy, we investigate various binary, ternary and quaternary alloys made from its constituent elements. Our goals are twofold: (i) to investigate which of these lower order systems also form solid solution alloys consisting of a single FCC phase, and (ii) to characterize their phase stability and recovery, recrystallization, and grain growth behaviors. X-ray diffraction (XRD) and scanning electron microscopy with backscattered electron images showed that three of the five possible quaternaries (FeNiCoCr, FeNiCoMn and NiCoCrMn), five of the ten possible ternaries (FeNiCo, FeNiCr, FeNiMn, NiCoCr, and NiCoMn), and two of the ten possible binaries (FeNi and NiCo) were single-phase FCC solid solutions in the cast and homogenized condition, whereas the others either had different crystal structures or were multi-phase. The single-phase FCC quaternary, FeNiCoCr, along with its equiatomic ternary and binary subsidiaries, were selected for further investigations of phase stability and the thermomechanical processing needed to obtain equiaxed grain structures. Only four of these subsidiary alloys—two binaries (FeNi and NiCo) and two ternaries (FeNiCo and NiCoCr)—were found to be single-phase FCC after rolling at room temperature followed by annealing for 1 h at temperatures of 300–1100 °C. Pure Ni, which is FCC and one of the constituents of the quinary high-entropy alloy (FeNiCoCrMn), was also investigated for comparison with the higher order alloys. Among the materials investigated after thermomechanical processing (FeNiCoCr, FeNiCo, NiCoCr, FeNi, NiCo, and Ni), FeNiCo and Ni showed abnormal grain growth at relatively low annealing temperatures, while the other four showed normal grain growth behavior. The grain growth exponents for all five of the equiatomic alloys were found to be ∼0.25 (compared to ∼0.5 for unalloyed Ni), suggesting that solute drag may control grain growth in the alloys. For all five alloys, as well as for pure Ni, microhardness increases as the grain size decreases in a Hall-Petch type way. The ternary alloy NiCoCr was the hardest of the alloys investigated in this study, even when compared to the quaternary FeNiCoCr alloy. This suggests that solute hardening in equiatomic alloys depends not just on the number of alloying elements but also their type.",[],[]
1,Introduction,"High-entropy (HE) alloys were defined by Yeh et al.[1]as equiatomic or near-equiatomic alloys containing at least five principal elements. Their work was an attempt to rationalize why certain relatively concentrated multi-element alloys solidify as simple (BCC or FCC) solid solutions rather than with multi-phase microstructures consisting of several different intermetallic compounds—as would be the expectation from physical metallurgy intuition. Yeh et al. hypothesized that the high configurational entropies of equiatomic alloys containing five or more elements would overwhelm the enthalpies of compound formation, thereby suppressing intermetallic formation and favoring the formation of solid solutions. Consistent with such a hypothesis, it has been found that the microstructures of some HE alloys are in fact single-phase FCC[2,3]or BCC[4,5]. However, most alloys that are referred to in the literature as high-entropy alloys actually contain secondary phases [e.g., Refs.[6–8]]. In such multi-phase alloys, the configurational entropy should be much lower[9]than that of a random mixture assumed by Yeh et al.[1]and thus unlikely to be able to overcome the effects of the enthalpies of compound formation and phase separation[9]. Nevertheless, the term “high-entropy alloys” has taken hold in the literature and is now used to describe all equi- or near equi-atomic multi-component alloys containing five or more elements regardless of whether they are true single-phase solid solutions or not.",[],[]
1,Introduction,"Due to the multiple alloying elements present in HE alloys, they are expected to exhibit a high degree of solid solution hardening[1]. This has led to numerous research efforts aimed at finding alloys with simple microstructures and promising mechanical properties [e.g., Refs.[2,5,10–14]]. A prominent example is the equiatomic FeNiCoCrMn alloy that was first reported by Cantor et al.[2]to solidify as a single-phase solid solution. Subsequent studies showed that it exhibits a high degree of thermodynamic stability[9], that it has excellent malleability[12], and that its grain size can be controlled by rolling and recrystallization[12–14]. Gali and George[12]first reported and Otto et al.[14]further investigated the tensile properties of this high-entropy alloy, which shows a strong increase in strength with decreasing temperature accompanied by a large increase in ductility[12,14]. Through microstructural characterization by transmission and scanning electron microscopy, the increases in ultimate tensile strength and ductility at liquid nitrogen temperature were attributed to a changeover in deformation mechanism from dislocation mediated plasticity to nano-twinning[14]. In contrast, the mechanism responsible for the strong increase in yield strength with decreasing temperature[12,14], which is atypical for pure FCC metals [e.g., Ref.[15]] but observed in binary FCC solid solutions [e.g., Refs.[16–18]], is not well understood.",[],[]
1,Introduction,"To better understand the mechanical behavior of this HE alloy (FeNiCoCrMn) and the effects of the number/type of alloying elements on mechanical properties and phase stability, it is important to systematically study its various equiatomic subsystems, namely the five quaternary, ten ternary, and ten binary alloys that can be formed from the constituent elements of the HE quinary, as shown inFig. 1. To this end, we arc melted and homogenized these sub-alloys and identified the phases present in their microstructures. Of the five quaternaries, three were found to be single-phase FCC, and from those we selected for further study the quaternary alloy FeNiCoCr and its equiatomic ternary and binary subsets. Our rationale for this selection was that: (i) the FeNiCoCr alloy has been reported to exhibit mechanical properties similar to the high-entropy FeNiCoCrMn alloy[12], and (ii) many high-entropy alloys investigated in the literature are based on the FeNiCoCr equiatomic composition to which additional elements such as Al[19], Cu[20], Mn[9,12–14], Ti, Nb, and Mo[21]are added. We also investigated pure (unalloyed) Ni to obtain a baseline against which the higher order solid solution alloys can be compared. For each of these materials, we investigated phase stability, microstructure and microhardness evolution as a function of heat treatment after cold rolling.",['fig1'],[]
2.1,Methods and experimental procedures.Phase diagram assessments,"Quaternary phase diagrams are virtually nonexistent in the literature. Therefore, we had no choice but to experimentally identify the phases present in our equiatomic quaternaries. In contrast, ternary and binary phase diagrams tend to be more common so we used them as a first step in our analysis followed by experimental verification of the phases that were actually present. All phase diagrams used in this study were taken from the ASM Alloy Phase Diagram Database[22]. The data gathered from the available phase diagrams are summarized inTable 1where the phases present at various temperatures are listed. Based on these data, the equiatomic alloys FeCoCr, FeCrMn, FeCr, NiCr, CoCr and CrMn were eliminated from further consideration since they have either the BCC crystal structure or consist of multiple phases at high temperatures. In the case of Fe–Co alloys, the FCC phase is stable only above 985 °C; at lower temperatures, either BCC or B2 is the stable phase. Additionally, phase separation has been shown to occur in a surface layer up to 70 μm in thickness (not associated with surface oxidation) at temperatures to 1300 °C[23]including at the FeCo equiatomic composition[24]. Therefore, it, too, was excluded from further study since our focus was on those alloys that are single-phase FCC at room temperature. The remaining eight ternary and five binary equiatomic alloys couldpotentiallyform single-phase FCC solid solutions, but experimental validation was necessary since phase diagrams were either not available (in some cases), or available only for a limited range of temperatures. Of the five elements in the quinary alloy (FeNiCoCrMn), only Ni has the FCC crystal structure at room temperature. Based on these starting observations, several different ingots were prepared and analyzed for experimental verification of phase stability as described below.",[],['tbl1']
2.2,Methods and experimental procedures.Alloy preparation and characterization,"Ingots of the selected equiatomic quaternaries, ternaries, binaries, and pure Ni were produced by arc melting the constituent elements (>99.9% pure) in a water-cooled copper hearth under argon atmosphere. Since Mn oxidizes easily, it was cleaned in a 25% nitric acid solution immediately before use; additionally, since it has a high vapor pressure, it was stacked between the other constituents to minimize evaporation. Even so, there was some loss of Mn during melting, and extra Mn was added to the charge to compensate for its weight loss based on our previous experience with Mn-containing HE alloys[9,12,14]. To improve compositional homogeneity, the arc-melted buttons were flipped and re-melted five times before drop casting into square cross-section copper molds measuring 12.7 mm × 12.7 mm × 127 mm.",[],[]
2.2,Methods and experimental procedures.Alloy preparation and characterization,"The drop-cast ingots were homogenized for 24 h at different temperatures, as shown inTable 1, followed by water quenching. Homogenization was performed at as high a temperature as possible without resulting in melting. After homogenization, crystal structures were examined by x-ray diffraction with Cu-target radiation at 40 kV and 40 mA on 2.54-mm thick slices. The samples were scanned through 2θranging from 20 to 90 degrees with a scan rate of 1.2 degrees/minute. Microstructures were imaged in a JEOL 6500 FEG scanning electron microscope (SEM) operated in the backscattered electron (BSE) mode.",[],['tbl1']
2.2,Methods and experimental procedures.Alloy preparation and characterization,"For the alloys selected for further studies of phase stability, recovery, recrystallization and grain growth, additional ingots measuring 12.7 mm × 25.4 mm × 127 mm were cast. The solidus temperatures of these solid solution alloys were measured using a NETZSCH 404 C differential scanning calorimeter (DSC). In this paper, the solidus temperatures are defined as the start temperature of the endothermic peaks observed on the DSC traces upon heating from room temperature to the melting temperature. The homogenized ingots were rolled at room temperature in steps from 12.7 mm to 1 mm (total thickness reduction of 92%) without cross-rolling or intermediate annealing. Specimens were then cut perpendicular to the rolling direction and annealed at temperatures between 300 and 1100 °C. After annealing, crystal structures and microstructures were analyzed as described previously.",[],[]
2.2,Methods and experimental procedures.Alloy preparation and characterization,"Grain growth kinetics were investigated at 900 °C and annealing times of 1, 2, 4, 8, and 16 h. Pure Ni was excluded from the grain growth study because its starting grain size after 1 h was very large (∼130 μm) and was expected to grow to a significant fraction of the thickness of the rolled sheets (∼1000 μm) after longer annealing times. Grain size measurements were made on SEM BSE images of the alloy microstructures using the linear intercept method; at least 150 grains were counted for each specimen.",[],[]
2.2,Methods and experimental procedures.Alloy preparation and characterization,Microhardness was measured with a LECO LM 100ATVickers Hardness tester using a load of 500 g. Ten indents were made for each condition from which average values of hardness and standard deviations were calculated.,[],[]
