Alloys,Region,Cr,Fe,Co,Ni,Nb
Nb0,Nominal,25.00,25.00,25.00,25.00,0.00
Nb0,A,20.23,30.21,25.23,24.32,0.00
Nb0,B,20.83,26.12,25.43,27.63,0.00
Nb0.103,Nominal,24.37,24.37,24.37,24.37,2.52
Nb0.103,Base,21.30,28.46,24.68,23.84,1.73
Nb0.103,Precipitate,14.57,18.39,23.14,22.74,21.17
Nb0.155,Nominal,24.07,24.07,24.07,24.07,3.72
Nb0.155,Base,21.11,27.49,25.11,24.47,1.82
Nb0.155,Precipitate,12.51,16.90,23.25,19.43,27.91
Nb0.206,Nominal,23.78,23.78,23.78,23.78,4.88
Nb0.206,Base,20.46,26.39,25.10,24.94,3.10
Nb0.206,Precipitate,16.44,21.42,23.94,22.76,15.43
Nb0.309,Nominal,23.21,23.21,23.21,23.21,7.16
Nb0.309,Base,21.68,27.68,23.34,24.15,3.16
Nb0.309,Precipitate,13.65,17.26,24.19,20.41,24.50
Nb0.412,Nominal,22.67,22.67,22.67,22.67,9.32
Nb0.412,Base,22.05,28.43,23.07,22.60,3.85
Nb0.412,Precipitate,13.92,19.70,22.18,17.45,26.75
