Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"By introducing nonmetallic carbon element, AlCoCrFeNiC                        x                      (x values in molar ratio, x                     =0, 0.1, 0.2, 0.3, 0.4, 0.5, 1.0 and 1.5) alloys were designed and prepared. The effects of carbon element on microstructure and properties of as-cast AlCoCrFeNi alloy were investigated. It was found that the introduction of carbon element into AlCoCrFeNi alloy led to the formation of carbonization (ɛ phase) and compositional segregation in alloy. There was even graphite in alloy when carbon content was 1.0 and 1.5. The alloy strength was weakened to different extents when carbon content was between 0.1 and 0.5. The Young's modulus of alloy decreased largely when carbon content was 1.0 and 1.5, but the yield stress of alloy increased.",[],[]
1,Introduction,"In recent years, one kind of new alloys, high-entropy alloy with multiple principal elements in equimolar or near-equimolar ratios, has received more and more attentions due to its unique structure and excellent properties[1–7]. Promising properties in hardness, wear resistance, oxidation resistance and corrosion resistance can be obtained by proper composition design[4,8–10]. These discoveries bring new ideas to materials design and stimulate a new conception of materials research. A series of multiprincipal component alloy systems have been explored in the past decade[11–14]. The most commonly used elements are Al, Ti, Cr, Fe, Co, Ni and Cu. These elements except Al are transition metal elements of the fourth period. It is known that the proper addition of elements like C and Si with small atomic radii in traditional materials like steel is beneficial to their structure and properties[15–18]. However, the effects of nonmetallic elements on the multiprincipal component alloys are rarely investigated and reported. The effects of Si and Mo elements on AlCoCrFeNi alloy have been studied in two other works of us, and the effects of Ti element on AlCoCrFeNi alloy have been studied by Zhou[12,19,20]. In order to enrich multiprincipal element alloy field, and investigate the differences of effects of different alloying elements on microstructures and properties of AlCoCrFeNi alloy, the effects of carbon element on microstructure and properties of multiprincipal component AlCoCrFeNi alloy are investigated systematically in this paper. The introduction of carbon element changes the microstructures of alloy evidently, which further leads to the change of alloy properties. The structure evolution and property change of alloy are discussed in detail.",[],[]
2,Experimental,"Alloy ingots with nominal compositions of AlCoCrFeNiCx(xvalues in molar ratio,x=0, 0.1, 0.2, 0.3, 0.4, 0.5, 1.0 and 1.5, denoted by C0, C0.1, C0.2, C0.3, C0.4, C0.5, C1.0and C1.5, respectively) were prepared by arc melting a mixture of ultrasonically cleansed Al, Co, Cr, Fe, Ni and C (graphite) elements with a purity of above 99.9wt% in a water-cooled copper hearth under Ti-gettered high purity argon atmosphere. The chemical homogeneity was realized by repeated melting at least four times. The proper amount of ingots were then remelted under high vacuum in a quartz tube by using an induction heating coil and injected through a nozzle with 0.5–1mm in diameter into a copper mould with a cavity ofΦ5mm×50mm. The phases and microstructures were characterized using X-ray diffractometer (XRD, Philips PW1050, Cu Kα), scanning electron microscope (SEM, Hitachi S3400N) accompanied with energy dispersive spectrometer and transmission electron microscope (TEM, JEOL 2010, 200kV). The end surfaces of compressive samples with 5mm in diameter and 10mm in length were polished on 2000 grit sand papers. The microstructure of alloy was revealed by etching in aqua regia. Thin slices from as-cast rods were used for preparing the TEM samples, which were ground and mechanically dimpled with a GATAN precision dimple grinder as well as used argon ion milling as the final thinning process by a GATAN precision ion polishing system (PIPS). Compression test was performed on an Instron 5582 test machine with a strain rate of 1×10−4s−1, a strain gauge was used. The elastic modulus was determined by fitting slope of elastic stage of compressive curve.",[],[]
3,Results," Fig. 1 shows the XRD patterns of as-cast AlCoCrFeNiCxalloys. All alloys present BCC reflections, the reflections of carbonization (ɛphase) appear with the introduction of carbon element. The relative intensity ofɛphase gets stronger and stronger as carbon content increases, which suggests that the weight fraction ofɛphase increases. When the carbon content is 1.0 and 1.5, the reflections of graphite appear due to the excessive introduction of carbon element.",['fig0005'],[]
3,Results," Fig. 2 shows the back-scattered images of as-cast AlCoCrFeNiCxalloys. It is seen that C0alloy exhibits single even featureless solid solution structure, which is consistent with the XRD result. When the carbon content is 0.1, the grain boundary of alloy becomes clear and coarse. The EDX results in Table 1 show that the grain boundary is rich in Cr and carbon elements. The molar ratio of elements except carbon in grain is close to each other. When the carbon content is 0.2, 0.3, 0.4 and 0.5, three distinct regions (A, B and C in Fig. 2 (c–f)) in alloy are formed due to constitutional segregation. The EDX results show that region A is poor in Cr element, region B is poor in Al and Ni elements, and region C is rich in Cr and C elements. When the C content is 1.0 and 1.5, there are four distinct regions (A, B, C and D in Fig. 2 (g and h)) in alloy. Graphite is identified in region D, which is consistent with the XRD results. In contrast with C0.2, C0.3, C0.4and C0.5alloys, the Cr content of region A in C1.0and C1.5alloys are higher than other elements. The composition of region B and C in C1.0and C1.5alloys are similar to those in C0.2, C0.3, C0.4and C0.5alloys.","['fig0010', 'fig0010', 'fig0010']",['tbl0005']
3,Results," Fig. 3 shows the TEM bright-field images with corresponding selected area electron diffraction (SAED) patterns of C0, C0.1, C0.2and C1.5alloys. Fig. 3(a)  shows that C0alloy exhibits a single solid solution structure, which is consistent with the XRD and SEM results. The SAED pattern shown in Fig. 3(a)  further confirms the single BCC structure of C0alloy.ɛphase is observed in grain boundary of C0.1alloy, as shown in Fig. 3(b) . The EDX results show that theɛphase is rich in Cr and carbon elements. The SAED pattern shown in Fig. 3(b)  confirms the formation ofɛphase. Similar to C0.1alloy,ɛphase is also observed in C0.2and C1.5alloys, but it is found mainly in region C shown in Fig. 2 (c and h).","['fig0015', 'fig0015', 'fig0015', 'fig0015', 'fig0015', 'fig0010']",[]
3,Results," Fig. 4 shows the room-temperature compressive true stress–strain curves of as-cast AlCoCrFeNiCxalloys. The Young's modulusE, yield strengthσy, compressive fracture strengthσmaxand plastic strain limitɛpof the alloys are listed in Table 2 . C0alloy exhibits good yield stress, plastic deformation and obvious work hardening behavior. The ductility of alloy is weakened as carbon content varies from 0 to 0.5 and 1.0 to1.5. The yield stress of alloy decreases as carbon content varies from 0 to 0.3, and then increases as carbon content varies from 0.3 to 1.5. The compressive strength of alloy decreases as carbon content varies from 0.1 to 0.3 and 0.4 to 1.5. The Young's modulus of C0.1is 213.2GPa, which is much larger than 125.1GPa of C0alloy. The Young's modulus of alloy decreases as carbon content varies from 0.1 to 0.3, and then increases as carbon varies from 0.3 to 0.5. The Young's modulus of alloy decreases largely when carbon content is 1.0 and 1.5. The compressive curves of C0.1, C0.2, C0.3, C0.4and C0.5alloys are very similar, and the compressive curve of C1.0is similar to that of C1.5alloy. The work hardening behavior of C0.4and C0.5alloys are much obvious than those of C0.1, C0.2, C0.3, C1.0and C1.5alloys.",['fig0020'],['tbl0010']
4,Discussion,"The effects of nonmetallic carbon element on AlCoCrFeNi alloy are neither similar to that of metallic Mo and Ti elements nor that of nonmetallic Si element. In AlCoCrFeNiMoy(yvalues in molar ratio,y=0, 0.1, 0.2, 0.3, 0.4 and 0.5) alloy system, Mo element exists mainly in solid solution by substituting other element when Mo content is low. The alloy appears with eutectic reaction, which results in the formation ofαphase, when Mo content is more than 0.1. In AlCoCrFeNiTik(kvalues in molar ratio,k=0, 0.5, 1.0 and 1.5) alloy system, the introduction of Ti element results in the precipitation of another BCC phase, which becomes the main phase. Laves phase identified as Fe2Ti type forms in alloy when Ti content is 1.5. In AlCoCrFeNiSim(mvalues in molar ratio,m=0, 0.2, 0.4, 0.6, 0.8 and 1.0) alloy system, nanoscale cellular structure is precipitated in the grain of alloys with Si introduction through spinodal decomposition.δphase forms at the grain boundary of alloy when Si content is between 0.6 and 1.0. Si element exists mainly in solid solution by substituting other elements.",[],[]
4,Discussion,"According to the three principles for the formation of solid solution: (1) at least five components with equiatomic ratio, this meets the high entropy of mixing; (2) atomic radius difference is <12%; (3) enthalpy of mixing is in the range of −40 to 10kJ/mol[21]. The atomic radii of elements in alloy are listed in Table 1 . The atomic radius of carbon is far smaller than those of other elements in alloy. The mixing enthalpy values of C–Al, C–Co, C–Cr, C–Fe and C–Ni pairs are 17, 22, 21, 22 and 1kJ/mol, respectively[22]. It is clear that these values are large positive. That is to say it is impossible for carbon element to exist mainly in solid solution by substituting other element. Moreover, the interstitial solid solubility of carbon element in alloy is quite limited, so carbon element can only exist mainly in alloy in the form of carbonization or graphite. In this research, the introduction of carbon element into AlCoCrFeNi alloy led to the formation ofɛphase and compositional segregation in alloy. There is even graphite in alloy when carbon content is 1.0 and 1.5. However, the total number of phases is well below the maximum number of phases in equilibrium allowed by the Gibbs phase rule[23]. The prior formation of simple solid solutions to intermetallic compounds in this alloy system is attributed to the effect of high entropy of mixing[6].",[],['tbl0005']
4,Discussion,"The strength of AlCoCrFeNi alloy is increased to varying degrees by introducing Mo, Ti and Si elements, respectively. The strengthening mechanisms are attributed to solid solution and dispersion strengthening. The strength of AlCoCrFeNiMoyalloy increases asyincreases from 0 to 0.5, but the ductility is weakened at the same time. Similar to AlCoCrFeNiMoyalloy, the strength of AlCoCrFeNiSimalloy increases with the plasticity decreasing as m increases from 0 to 1.0. Among AlCoCrFeNiTikalloys, AlCoCrFeNiTi0.5alloy exhibits the best mechanical properties. In AlCoCrFeNiCxalloy system, the alloy strength and ductility are weakened to different extent when carbon content is low. The yield stress of alloy increases when carbon content is 1.0 and 1.5, but the Young's modulus of alloy decreases largely at the same time.ɛphase at the grain boundary of C0.1alloy and those distributed inhomogeneously in C0.2, C0.3, C0.4, C0.5, C1.0and C1.5alloys are responsible for the decreased alloy strength and ductility. Because the brittleɛphase at the grain boundary of C0.1alloy will result in intercrystalline rupture. The brittleɛphase distributed inhomogeneously in C0.2, C0.3, C0.4, C0.5, C1.0and C1.5alloys will result in inhomogeneous deformation of alloy, which will induce stress concentration in region C. The graphite observed in C1.0and C1.5may play certain roles in the decreased Young's modulus and increased yield stress of alloy.",[],[]
