x,Areas in Fig 2,Al,Co,Cr,Fe,Ni,C
,,1.43A,1.25A,1.21A,1.24A,1.24A,0.91A
0,Nominal,20.0,20.0,20.0,20.0,20.0,-
,EDX,16.7,21.1,21.2,21.9,19.1,-
,,,,,,,
0.1,Nominal,19.61,19.61,19.61,19.61,19.61,1.96
,Grain,13.08,14.04,12.29,14.73,13.38,32.02
,Boundary,7.50,10.06,28.42,13.19,7.16,33.68
,,,,,,,
0.2,Nominal,19.23,19.23,19.23,19.23,19.23,3.85
,A,14.36,15.47,8.70,13.35,17.02,31.10
,B,7.18,14.95,23.00,20.47,9.81,24.59
,C,2.43,5.15,38.70,8.07,3.80,41.85
,,,,,,,
0.3,Nominal,18.87,18.87,18.87,18.87,18.87,5.66
,A,21.68,15.86,5.38,12.11,19.88,25.27
,B,5.20,14.08,23.07,17.82,8.36,31.47
,C,0.03,2.20,47.06,6.67,0.65,43.38
,,,,,,,
0.4,Nominal,18.52,18.52,18.52,18.52,18.52,7.41
,A,18.20,13.33,3.39,10.98,16.83,37.26
,B,5.75,17.10,17.81,19.71,9.27,30.36
,C,0.08,3.16,47.35,7.31,0.89,41.22
,,,,,,,
0.5,Nominal,18.18,18.18,18.18,18.18,18.18,9.09
,A,20.52,14.24,2.84,10.73,19.13,32.53
,B,5.95,15.38,16.79,19.96,10.16,31.76
,C,0.09,3.60,42.84,7.07,0.77,45.63
,,,,,,,
1.0,Nominal,16.67,16.67,16.67,16.67,16.67,16.67
,A,12.24,13.21,24.74,14.32,14.24,21.26
,B,9.05,28.53,8.02,28.65,10.70,15.06
,C,1.10,3.50,41.84,7.17,0.98,45.71
,D,0.16,0.15,0.22,0.20,0.12,99.16
,,,,,,,
1.5,Nominal,15.38,15.38,15.38,15.38,15.38,23.08
,A,13.23,12.22,26.75,11.31,15.23,19.27
,B,5.85,21.49,16.65,26.91,9.66,19.44
,C,2.09,4.70,40.64,8.77,1.07,42.63
,D,0.09,0.22,0.49,0.36,0.24,98.60
