Figure ID,Figure Path,Figure Label,Figure Caption
fig1,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr1.jpg,Fig. 1,"Dependence of the true flow stress on true strain during cold rolling (solid circles) and compression (blue solid line) tests of the HfNbTaTiZr alloy. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)"
fig2,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr2.jpg,Fig. 2,Microhardness of as-cold-rolled and rolled-and-annealed sheets of HfNbTaTiZr: (a) 65% thickness reduction and (b) 86.4% thickness reduction. The microhardness was measured on the longitudinal cross-section of sheets along the normal direction. The position 0 mm corresponds to the sheet surface.
fig3,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr3.jpg,Fig. 3,True stress –true strain curves of as-cold-rolled and rolled-and-annealed sheet of HfNbTaTiZr.
fig4,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr4.jpg,Fig. 4,X-ray diffraction patterns for HfNbTaTiZr: (a) After 86.4% total reduction and following annealing for 2 h at: (b) 800 °C or (c) 1000 °C.
fig5,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr5.jpg,Fig. 5,SEM backscatter images from a longitudinal cross-section of HfNbTaTiZr sheet after 65% cold-reduction showing (a) heavily-deformed grains and (b) deformation bands inside the grains.
fig6,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr6.jpg,Fig. 6,EBSD results for HfNbTaTiZr sheet following a 65% thickness reduction: (a) Image-quality map and (b) inverse-pole-figure map for the transverse direction. Longitudinal cross-section; the rolling direction is horizontal.
fig7,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr7.jpg,Fig. 7,EBSD results for HfNbTaTiZr sheet following an 86.4% thickness reduction: (a) Image-quality map and (b) inverse-pole-figure map for the transverse direction. Longitudinal cross-section; the rolling direction is horizontal.
fig8,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr8.jpg,Fig. 8,"Inverse pole figures for the normal (ND), rolling (RD) and transverse (TD) directions of sheets whose total thickness reduction was (a) 65% or (b) 86.4%."
fig9,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr9.jpg,Fig. 9,"SEM backscatter images of the longitudinal cross-section of HfNbTaTiZr sheet after 65% thickness reduction and annealing at 800 °C for 2 h: (a) Low magnification image showing partially-recrystallized structure consisting of large, heavily-deformed grains and fine, equiaxed, recrystallized grains. (b) Higher magnification image showing fine second-phase particles precipitated along deformation bands in non-recrystallized grains. The rolling direction is horizontal."
fig10,articles_all/10.1016.j.jallcom.2015.07.209/figures/gr10.jpg,Fig. 10,"SEM backscatter images of the longitudinal cross-section of HfNbTaTiZr sheet after 86.4% thickness reduction and annealing at 800 °C for 2 h: (a) Low magnification image showing partially-recrystallized structure consisting of large, heavily-deformed grains and fine, equiaxed, recrystallized grains. (b) Higher magnification image showing fine second-phase particles precipitated along deformation bands in non-recrystallized grains. The rolling direction is horizontal."
