"Element, at.%","Element, at.%",Al,Cr,Nb,Ti,V
Constituent,Constituent,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV
No.,Designation,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV,AlNbTiV
1,Grains,26.4 +- 0.2,-,24.2 +- 0.1,25.3 +- 0.2,24.4 +- 0.3
2,Precipitation-containing zone,26.5 +- 0.1,-,23.9 +- 0.2,25.3 +- 0.5,24.1 +- 0.4
Alloy composition,Alloy composition,27.6 +- 0.2,-,24.1 +- 0.1,24.8 +- 0.3,23.5 +- 0.1
,,AlCr0.5NbTiV,AlCr0.5NbTiV,AlCr0.5NbTiV,AlCr0.5NbTiV,AlCr0.5NbTiV
1,Grains,24.3 +- 0.3,10.1 +- 0.4,22.3 +- 0.2,22.0 +- 0.1,21.3 +- 0.3
2,Precipitation-containing zone,24.7 +- 0.1,11.1 +- 0.3,22.7 +- 0.3,20.6 +- 0.2,20.9 +- 0.2
Alloy composition,Alloy composition,25.6 +- 0.2,10.2 +- 0.2,22.2 +- 0.1,21.4 +- 0.2,20.6 +- 0.3
,,AlCrNbTiV,AlCrNbTiV,AlCrNbTiV,AlCrNbTiV,AlCrNbTiV
1,Grains,22.3 +- 0.2,17.7 +- 0.1,17.4 +- 0.2,21.9 +- 0.3,20.6 +- 0.1
2,Light particles,17.6 +- 0.1,35.2 +- 0.4,23.0 +- 0.2,10.3 +- 0.1,13.9 +- 0.2
3,Precipitation-containing zone,22.5 +- 0.3,17.0 +- 0.2,17.7 +- 0.2,22.6 +- 0.1,22.2 +- 0.3
Alloy composition,Alloy composition,22.9 +- 0.2,18.8 +- 0.3,20.2 +- 0.1,19.3 +- 0.2,18.8 +- 0.4
,,AlCr1.5NbTiV,AlCr1.5NbTiV,AlCr1.5NbTiV,AlCr1.5NbTiV,AlCr1.5NbTiV
1,Grains,21.8 +- 0.1,20.7 +- 0.2,14.8 +- 0.2,22.3 +- 0.1,20.4 +- 0.1
2,Light particles,16.6 +- 0.2,38.7 +- 0.1,23.8 +- 0.2,9.5 +- 0.2,11.4 +- 0.1
3,Precipitation-containing zone,20.6 +- 0.3,22.9 +- 0.1,16.6 +- 0.3,20.9 +- 0.3,19.0 +- 0.3
Alloy composition,Alloy composition,21.7 +- 0.2,25.0 +- 0.3,18.7 +- 0.2,17.8 +- 0.3,16.8 +- 0.1
