Temperature,Alloy,Phase,Fraction,"Composition, at.%","Composition, at.%","Composition, at.%","Composition, at.%","Composition, at.%"
Temperature,Alloy,Phase,Fraction,Al,Cr,Nb,Ti,V
600 degC,AlNbTiV,BCC_A2,0.697,23.0,-,31.2,12.2,33.6
600 degC,AlNbTiV,Ti3Al,0.303,29.7,-,10.7,54.4,5.2
AlCr0.5NbTiV,BCC_A2,0.701,20.6,7.2,27.6,14.5,30.1
AlCr0.5NbTiV,Laves,0.135,21.7,43.4,5.9,27.5,1.5
AlCr0.5NbTiV,Ti3Al,0.164,28.4,0.4,11.3,55.7,4.2
AlCrNbTiV,BCC_A2,0.636,19.6,7.4,27.7,14.9,30.4
AlCrNbTiV,Laves,0.343,20.4,44.5,6.2,27.1,1.8
AlCrNbTiV,Ti3Al,0.021,27.8,0.4,11.5,56.2,4.1
AlCr1.5NbTiV,BCC_A2,0.509,18.8,9.0,26.1,12.9,33.2
AlCr1.5NbTiV,FCC_C15,0.381,16.9,46.7,10.9,22.6,2.9
AlCr1.5NbTiV,Laves,0.110,19.6,45.1,6.9,26.5,1.9
800 degC,AlNbTiV,BCC_A2,1,25.0,-,25.0,25.0,25.0
800 degC,AlCr0.5NbTiV,BCC_A2,1,22.2,11.2,22.2,22.2,22.2
AlCrNbTiV,BCC_A2,0.873,20.7,16.0,20.8,19.2,22.3
AlCrNbTiV,FCC_C15,0.127,15.2,47.3,14.5,19.2,3.8
AlCr1.5NbTiV,BCC_A2,0.692,19.9,18.1,19.5,18.0,24.5
AlCr1.5NbTiV,FCC_C15,0.308,14.3,47.9,15.3,18.4,4.1
1000 degC,AlNbTiV,BCC_A2,1,25.0,-,25.0,25.0,25.0
1000 degC,AlCr0.5NbTiV,BCC_A2,1,22.2,11.2,22.2,22.2,22.2
1000 degC,AlCrNbTiV,BCC_A2,1,20.0,20.0,20.0,20.0,20.0
AlCr1.5NbTiV,BCC_A2,0.985,18.3,26.9,18.2,18.2,18.4
AlCr1.5NbTiV,FCC_C15,0.015,10.1,51.1,19.4,14.6,4.8
1200 degC,AlNbTiV,BCC_A2,1,25.0,-,25.0,25.0,25.0
1200 degC,AlCr0.5NbTiV,BCC_A2,1,22.2,11.2,22.2,22.2,22.2
1200 degC,AlCrNbTiV,BCC_A2,1,20.0,20.0,20.0,20.0,20.0
1200 degC,AlCr1.5NbTiV,BCC_A2,1,18.2,27.3,18.2,18.2,18.2
