Alloy,Zone,Co,Cr,Fe,Ni,Ti,Al
CoCrFeNiTiAl0,Nominal,20,20,20,20,20,0
,Alloy,22.51,22.66,21.90,20.97,16.39,0
,,,,,,,
CoCrFeNiTiAl0.5,Nominal,18.2,18.2,18.2,18.2,18.2,9.0
,E(A),13.62,36.18,26.93,10.45,8.64,3.04
,Dendrite,24.66,5.13,9.82,26.62,20.36,12.62
,Interdendrite,15.55,27.58,31.63,10.78,12.75,1.97
,,,,,,,
CoCrFeNiTiAl1.0,Nominal,16.6,16.6,16.7,16.7,16.7,16.7
,E(A),14.71,33.52,27.39,12.53,8.54,6.36
,Dendrite,21.91,13.08,14.44,22.47,17.51,20.31
,Interdendrite,16.41,24.92,29.33,14.11,13.25,5.24
,,,,,,,
CoCrFeNiTiAl1.5,Nominal,15.4,15.4,15.4,15.4,15.4,23.0
,Dendrite,22.87,9.49,14.44,22.51,17.40,24.55
,Interdendrite,15.90,23.27,22.18,15.12,14.20,13.89
,,,,,,,
CoCrFeNiTiAl2.0,Nominal,14.3,14.3,14.3,14.3,14.3,28.5
,Dendrite,17.64,9.63,11.84,18.81,17.29,30.63
,Interdendrite,8.75,42.89,28.87,4.79,5.13,11.21
