Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"A new refractory alloy, Nb20Cr20Mo10Ta10Ti20Zr20, was produced by vacuum arc melting. To close shrinkage porosity, it was hot isostatically pressed (HIPd) at T                     =1723K and P                     =207MPa for 3h. In both as-solidified and HIPd conditions, the alloy contained three phases: two body centered cubic (BCC1 and BCC2) and one face centered cubic (FCC). The BCC1 phase was enriched with Nb, Mo and Ta and depleted with Zr and Cr, and its lattice parameter after HIP was a                     =324.76±0.16pm. The BCC2 phase was enriched with Zr and Ti and considerably depleted with Mo, Cr and Ta, and its lattice parameter after HIP was estimated to be a=                     341.0±1.0pm. The FCC phase was highly enriched with Cr and it was identified as a Laves C15 phase, (Zr,Ta)(Cr,Mo,Nb)2, with the lattice parameter a                     =733.38±0.18pm. The volume fractions of the BCC1, BCC2 and FCC phases were 67%, 16% and 17%, respectively. The alloy density and Vickers microhardness were ρ                     =8.23±0.01g/cm3 and H                                             v                                          =5288±71MPa. The alloy had compression yield strength of 1595MPa at 296K, 983MPa at 1073K, 546MPa at 1273K and 171MPa at 1473K. During deformation at 296K and 1073K, the alloy showed a mixture of ductile and brittle fracture after plastic compression strain of ∼5–6%. No macroscopic fracture was observed after 50% compression strain at 1273K and 1473K. Phase transformations and particle coarsening considerably accelerated by the plastic deformation occurred in the temperature range of 1073–1473K.",[],[]
1,Introduction,"Metallic alloys with superior mechanical properties at elevated temperatures and low density remain in high demand for the aerospace industry. For example, the specific core power of a high pressure turbine engine is known to increase with an increase in the turbine rotor inlet temperature and significant turbine engine efficiencies can be achieved by running at higher temperatures[1]. These applications have benefited from decades of development of nickel-based (Ni) superalloys, which have allowed a steady increase in operating temperatures and led to improved performance and efficiency[2]. Currently, Ni-based superalloys have the best combination of required elevated temperature properties, such as creep resistance, temperature capability, environmental resistance, and damage tolerance, among all other known alloys. However, operating temperatures are reaching the theoretical limits of these materials, whose incipient melting temperatures are in the range of 1440–1540K, depending on the composition. Engineering solutions to this materials problem require active or passive cooling thus increasing parasitic weight and decreasing overall flight efficiency and capability (maneuverability, fuel consumption, etc.) of supersonic/hypersonic vehicles. New metallic materials with higher melting points, such as refractory molybdenum (Mo) and niobium (Nb) alloys, are now being seriously examined as alternatives by academic and industrial groups[3–5].",[],[]
1,Introduction,"The refractory metals and alloys, a group of metallic materials with melting points above 2123K, are creep resistant at temperatures above 1073K. High temperature strength and creep resistance are the key properties of these alloys, since considerable alloy softening generally occurs at temperatures above ∼0.5–0.6Tm, whereTmis the absolute melting temperature. At the same time, poor low-temperature ductility, poor oxidation resistance at high temperatures and high density limit the range of applications of many refractory alloys.",[],[]
1,Introduction,"In recent publications[6–9]a new, so-called high entropy alloying (HEA) approach, invented by Yeh et al.[10–12], was used to develop new refractory alloys, which contain several principal alloying elements at near equiatomic concentrations. These are Ta25Nb25W25Mo25, Ta20Nb20W20Mo20V20[6,7]and Ta20Nb20Hf20Zr20Ti20[8,9]. All three alloys had a single-phase BCC crystal structure. The two alloys containing W, retained extremely high strength at temperatures at least up to 1873K; however, they were brittle at room temperature. At the same time, the Ta20Nb20Hf20Zr20Ti20alloy showed high strength and very good ductility at room temperature[8], however, the strength of this alloy rapidly decreased to below 100MPa at temperatures above 1473K and cavitation occurred during deformation atT∼1073K and strain rates above 10−3s−1[9]. Among these three alloys, the Ta20Nb20Hf20Zr20Ti20alloy had the lowest density of 9.8g/cm3. In the present paper, we report on a new lower density refractory alloy, Nb20Cr20Mo10Ta10Ti20Zr20. By replacing Hf and half of Ta in the Ta20Nb20Hf20Zr20Ti20alloy with lighter Cr and Mo, respectively, the density of the new alloy was reduced to 8.2g/cm3. In addition, the new alloy showed improved high temperature strength, relative to the Ta20Nb20Hf20Zr20Ti20alloy, and improved room temperature ductility, relative to the Ta25Nb25W25Mo25, Ta20Nb20W20Mo20V20alloys.",[],[]
2,Experimental procedures,"The Nb20Cr20Mo10Ta10Ti20Zr20(which is also called NbCrMo0.5Ta0.5TiZr) alloy was prepared by vacuum arc melting of the pure elements. Nb, Cr, Ti and Zr were taken at equal molar fractions, while the molar fractions of Mo and Ta were twice smaller. Titanium and zirconium were in the form of 3.175mm diameter slugs with purities of 99.98% and 99.95%, respectively. Niobium, tantalum and molybdenum were in the form of 1.0, 2.0 and 4.6mm diameter rods, and their purities were 99.95%, 99.9% and 99.0%, respectively. Chromium was in the form of 3–12mm pieces with the purity of 99.95%. High vacuum of 2.1×10−4N/m2was achieved in the arc melting chamber prior to filling the chamber with high purity argon at the pressure of 5.1×104N/m2. High purity molten titanium was used as a getter for residual oxygen, nitrogen and hydrogen. Arc melting of the alloy was conducted on a water-cooled copper plate. To achieve homogeneous distribution of elements, the alloy was re-melted and flipped five times, and was in a liquid state for about 5min during each melting event. The prepared sample was about 15mm thick, 35mm wide and 100mm long and had shiny surfaces. The actual alloy composition determined with the use of inductively coupled plasma-optical emission spectroscopy (ICP-OES), is given in Table 1 . The crystal structure was identified with the use of a Rigaku X-ray diffractometer, Cu Kα radiation, and the 2θrange of 5–140°.",[],['tbl0005']
2,Experimental procedures,"To close porosity in the as-solidified alloy, it was hot isostatically pressed (HIPd) under the following conditions. The alloy sample was placed inside a 63mm diameter alumina can. The alumina can was inserted inside a 75mm diameter graphite can, which was used as a heating element and located inside the HIP unit chamber. The chamber was evacuated to ∼1.3×10−4N/m2, filled with high purity argon and the sample was heated at a constant rate of 10K/min to 1723K with a simultaneous increase in the argon pressure in the chamber to 207MN/m2. The sample was held at 1723K/207MN/m2for 3h and cooled to room temperature at ∼20K/min with simultaneous pressure release.",[],[]
2,Experimental procedures,"The density of the alloy was measured with an AccuPyc 1330 V1.03 helium pycnometer. The pycnometer cell volume was 12.2284cm3, the weight of the sample was ∼10g and was measured with the accuracy of ±0.0001g, and the volume of the samples was determined with the accuracy of ±0.0001cm3by measuring the free volume of the loaded cell using helium gas and 10 purges. Vickers microhardness was measured on polished cross-section surfaces using a 136° Vickers diamond pyramid under 500g load applied for 30s. The microstructure was analyzed with the use of a scanning electron microscope (SEM) Quanta 600F (FEI, North America NanoPort, Hillsboro, Oregon, USA) equipped with a backscatter electron (BSE), energy-dispersive X-ray spectroscopy (EDS), and electron backscatter diffraction (EBSD) detectors. A step size of 0.2μm was used for simultaneous EDS and EBSD mapping.",[],[]
2,Experimental procedures,"Cuboids-shaped specimens for compression testing were electric-discharge machined from the HIPd alloy. The specimen compression axis was perpendicular to the alloy surface, which was in contact with the copper plate during arc melting. The specimen surfaces were mechanically polished and the compression faces of the specimens were paralleled and lubricated with boron nitride (for elevated temperature tests). The specimen's dimensions were ∼4.7mm×4.7mm×7.7mm. Compression tests were conducted at temperatures 1073K, 1273K and 1473K in a computer-controlled Instron (Instron, Norwood, MA) mechanical testing machine outfitted with a Brew vacuum furnace and silicon carbide dies. Prior to each test, the furnace chamber was evacuated to ∼10−4N/m2. The test specimen was then heated to the test temperature at a heating rate of ∼20K/min and soaked at the temperature for 15min under 5N controlled load, and then compressed to a 50% height reduction or to fracture, whichever happened first. A constant ramp speed that corresponded to an initial strain rate of 10−3s−1was used. Room temperature testing was conducted at the same loading conditions but in air, and a thin Teflon foil was used between the compression faces and silicon carbide dies to reduce friction. The deformation of all specimens was video-recorded and an optical setup was used to measure strain vs. load.",[],[]
3.1,Results and discussion.Crystal structure and microstructure of the as-solidified and HIPd alloy," Fig. 1 shows the X-ray diffraction patterns of the NbCrMo0.5Ta0.5TiZr alloy in (a) as-solidified and (b) HIPd conditions. The diffraction peaks from three phases, two with the body centered cubic (BCC1 and BCC2) lattices and one with the face centered cubic (FCC, Laves C15) lattice, are easily identified in the as-solidified condition (see Fig. 1 a), and the lattice parameters of these phases were determined to bea=325.46±0.11pm, 338.6±0.4pm, and 733.38±0.18pm, respectively. The HIP processing broadened the X-ray peaks from the BCC1 and FCC phases and reduced the intensities of the peaks of the BCC2 and FCC phases relative to the peak intensities of the BCC1 phase ( Fig. 1 b), which increased errors in the measurements of the lattice parameters of these minor phases. The lattice parameter of the BCC1 phase slightly decreased (a=324.76±0.16pm), BCC2 phase increased (a=341±1pm) and FCC phase increased (a=740.0±0.5pm) after HIP.","['fig0005', 'fig0005', 'fig0005']",[]
3.1,Results and discussion.Crystal structure and microstructure of the as-solidified and HIPd alloy,"Microstructure of the HIPd alloy is shown in Fig. 2 . Three characteristic microstructural constituents are clearly recognized on the backscatter electron (BSE) images. These are (i) large branching bright particles, (ii) a dark continuous matrix between the bright particles, and (iii) smaller dark particles precipitated inside the matrix. Additionally, an about 3μm thick transition layer (TL) can be seen at the surfaces of the bright particles ( Fig. 2 b). The electron backscatter diffraction (EBSD) analysis indicated that both the bright particles and the dark matrix, as well as the transition layer, have the BCC crystal structures, while the smaller dark particles have a FCC crystal structure ( Fig. 3 a and b). Note that in the secondary electron (SE) image mode ( Fig. 3 a), the light-gray color code of the FCC particles is similar to the color code of large BCC1 particles. Although the EBSD method cannot distinguish the BCC1 and BCC2 phases, which have different lattice parameters, these phases can be identified by comparing their volume fractions. Indeed, the volume fractions of the bright particles, dark particles and the matrix were determined to be ∼67%, 17% and 16%, respectively. Comparing these results with the results of the X-ray diffraction concludes that the bright particles have the BCC1 crystal structure, while the matrix phase has the BCC2 crystal structure. EDS mapping showed that these phases have different concentrations of alloying elements. For example, Fig. 3 c illustrates that the concentration of Ti is much higher in the BCC2 phase than in the BCC1 phase, while the FCC phase has the lowest concentration of Ti.","['fig0010', 'fig0010', 'fig0015', 'fig0015', 'fig0015']",[]
