Annealing temperature (degC),Alloy,s   y  (MPa),s   UTS  (MPa),EL (%),Uniform EL (%),Toughness (Jcm  -3  )
1100,Ni18.5Fe18.5Cr18.5Co26Mn18.5,134,414,73.5,66.5,257
1100,Ni14Fe20Cr26Co20Mn20,162,462,51.6,50.1,193
1100,NiFeCrCoMn,135,497,55.4,53.5,224
1100,NiFeCrCo,197,582,82.4,70.3,408
625,Ni18.5Fe18.5Cr18.5Co26Mn18.5,586,715,32.8,24.3,223
675,Ni14Fe20Cr26Co20Mn20,1153,1187,1.8,1.7,19.5
650,NiFeCrCoMn,660,851,24.9,17.4,201
625,NiFeCrCo,540,786,49.3,35.4,360
,Fe70.04Mn28Al1.6Si0.28C0.08,325,495,64,48,
,Fe73.03Mn25Al1.6Si0.24Nb0.05C0.08,375.5,538,61,50,
,Fe68.25Mn27Al4.1Si0.52Nb0.05C0.08,383,548,61,38,
