Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"Al                        x                     CoCrFeNi (0≤                     x                     ≤2) alloys were prepared by an arc remelter and investigated. With increasing x, the Al                        x                     CoCrFeNi alloys change from single FCC phase to single BCC phase with a transition duplex FCC/BCC region. The weak X-ray diffraction intensities indicate severe X-ray scattering effect of lattice in these high-entropy alloys. Electrical conductivity and thermal conductivity much smaller than those of pure component metals is ascribed as due to this lattice effect. The behavior of electrical conductivity and thermal conductivity can be divided into three parts according to microstructure. Both values of electrical conductivity and thermal conductivity decrease with increasing x in single-phase regions. Values of electrical conductivity and thermal conductivity are even higher than those in the duplex phase region because of the additional scattering effect of FCC/BCC phase boundaries in the alloys. Relative contribution of electron and phonon to electrical resistivity and thermal conductivity is evaluated in this study. It is shown that both electron and phonon components are comparable in these high-entropy alloys, and their transport properties are similar to that of semi-metal.",[],[]
1,Introduction,"High-entropy alloy is a new alloy design that was invented by Yeh et al.[1,2]in 1995. High-entropy alloy generally contains 5–13 major elements whose concentration is between 5 and 35at.%. Studies have shown that high-entropy alloy has novel properties compared to conventional alloys[2–6]. These properties include good thermal stability, easier to form nano-scale precipitation, high hardness, and superior resistance to wear, corrosion and oxidation. High-entropy alloy possesses simple crystal structure with solid solution of multiple elements. Previous works show that AlxCoCrFeNi alloys change from FCC to BCC and the hardness increases from Hv 120 to Hv 520 asxincreases[7].",[],[]
1,Introduction,"Although a large number of studies have been done on microstructure and mechanical properties, there are few studies regarding the thermal and electrical properties of the high-entropy alloys[7–9]. Therefore in this study electrical resistivity and thermal conductivity of AlxCoCrFeNi alloys are investigated. Results are discussed in terms of Al content, temperature, and microstructure. It shows that AlxCoCrFeNi alloys easily form simple phase. The electrical resistivity of AlxCoCrFeNi alloys is principally controlled by electron–electron interaction, magnetic effect, and phonon at temperatures in 4–300K, and solely by phonon at temperatures in 300–400K. The phonon contribution to thermal conductivity actually is comparable with the electronic contribution. The ratio of phonon to electronic contribution ranges from 0.64 to 2.66 asxincreases. Thermal expansion measurements show invar-type thermal expansion anomaly indicting that the alloys are of ferromagnetic with Curie temperatures ranging from 781.2K to 869.2K.",[],[]
2,Experimental procedure,"Al, Co, Cr, Fe, and Ni with purity larger than 99.5% are used. A total of 40–50g materials were used to prepared AlxCoCrFeNi (0≤x≤2) alloys by vacuum arc-smelter. After the alloys were re-melted, they were turned over to melt at least three times to insure that the alloys were well mixed. As-cast alloys were heated with a rate of 10°C/min to 1100°C and stayed for 24h. Then the samples were water quenched.",[],[]
2,Experimental procedure,"The crystal structure was identified by RIGAKU ME510-FM2 X-ray diffractometer. The 1.5405Å Cu target was used, and the working voltage and current were 30kV and 20mA, respectively. The scanning rate was 4°min−1, and the 2θscanning range was 20–100°. Lattice parameter,ao, for eachx-alloy in AlxCoCrFeNi (0≤x≤2) is obtained by usinga(θ)=ao(1+Kcos2θ/sinθ) in thea(θ) plot[10]. High-temperature XRD (HTXRD) at an interval of 50°C from 500°C to 700°C was performed with a heating rate of 20°C/min and a holding time for 1/2h at testing temperature before examination. Test pieces were compacted filing powders of 0.4mm thick, and were vacuum-annealed under 10−3torr at 500°C for 5h before HTXRD.",[],[]
2,Experimental procedure,"Four-point probe method was used to measure the electrical resistance (R). Platinum wires with radius of 0.05mm were connected to the samples by Indium. The heating rate was 10K/min, and the electrical resistance was measured from 300K to 400K. The error is estimated to ±3%.",[],[]
2,Experimental procedure,The alloy density was determined by the Archimedes method. A differential scanning calorimeter (DSC) was used to measure variation of heat capacity with temperature. Thermal diffusivity was measured by means of the laser flash method from 298K to 573K. Accuracy is within ±0.8%. The samples were prepared in disk with diameter of 12.7mm and thickness of 2mm.,[],[]
2,Experimental procedure,"As-surface polished samples for measurement of thermal expansion coefficient are of 4mm in diameter, and 4mm in thickness, and with good surface finish. Measurements were carried out in Du Pont TMA 2940 with 10°C/min of heating from 25°C to 800°C and under 400sccm of Ar flow. Pyris Diamond TG/DTA of the Perkin-Elmer Instruments was used to examine phase change of samples of 20–50mg in an Al2O3crucible at temperatures from 25°C to 900°C at a rate of heating of 10°C/min and under 400sccm of Ar flow.",[],[]
3.1,Results and discussion.XRD," Fig. 1 shows XRD patterns of AlxCoCrFeNi alloys. It indicates that alloys are single-FCC, duplex FCC/BCC, and single-BCC for 0≤x≤0.375, 0.5≤x≤1, and 1.25≤x≤2, respectively. Al is also a BCC stabilizer in AlxCoCrFeNi alloys as well as inAlxCoyCrzCu0.5FevNiwalloys[11]. However, in the presence of Cu inAlxCoyCrzCu0.5FevNiwalloys segregation of Cu is generally observed. Therefore we omit the Cu addition in this study. Table 1 tabulates crystal structures, lattice parameters, weight fractions of FCC and BCC phases in duplex region and relative XRD intensity in both single-FCC and single-BCC regions. It is seen that only FCC and/or BCC are present, whether in single-phase or in duplex-phase form, in AlxCoCrFeNi alloys. Both lattice parameters in single-phase regions increase with increase inx, as well as those in duplex region, which increase roughly withx, while the relative XRD intensity in both single-phase regions decreases withx. The relative XRD intensity in both single-phase regions decreases withxtells one that the X-ray diffusive scattering effect increases with increasing Al addition in both single-phase regions (see Fig. 1(b) ). The diffusive scattering effect is explained due to larger lattice distortion caused by larger amount of larger atomic size (1.43Å in radius) of Al into the lattice of smaller atoms (about 1.25Å in radius for other atoms). The phenomenon also presents in Cu–Ni–Al–Co–Cr–Fe–Si alloy system, as alloys in this system increase their component from binary to 7-component due to the difference from addition of different atoms that causes lattice distortion the degree of diffuse of X-ray scattering increases and the intensities decrease significantly[12]. This effect is considered important in explaining the behavior of both thermal and electrical conductivity that will discuss below.","['fig1', 'fig1']",['tbl1']
3.2,Results and discussion.Electrical resistivity," Fig. 2(a)  is a plot of electrical resistivity as a function of temperature. It is seen in Fig. 2(a) , the electrical resistivity is approximately a linear function of temperature with a positive slope in the temperature range of 298–400K. This indicates that the electrical resistivity of the alloys is principally affected by phonon and the temperature range is above the Debye temperature of the alloys from the conventional theory of electrical resistivity[13]. Fig. 2(c)  shows the electrical conductivity as a function of compositionxin AlxCoCrFeNi. The electrical conductivityσfor AlxCoCrFeNi can be divided in three parts according to microstructure of the alloys. As discussed in previous section the microstructure has three regions, single-FCC in 0≤x≤0.375, single-BCC in 1.25≤x≤2, and duplex FCC–BCC in 0.5≤x≤1. The electrical conductivity decreases with increasingxin single-phase regions, while it has a minimum atx=0.875 in the duplex phase region. The electrical conductivity in the duplex phase region is smaller than that in the single-phase region.","['fig2', 'fig2', 'fig2']",[]
