Figure ID,Figure Path,Figure Label,Figure Caption
fig0005,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr1.jpg,Fig. 1,XRD pattern of as-milled CuZrAlTiNiW HEA powders.
fig0010,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr2.jpg,Fig. 2,Elemental mappings of 30 vol.% CuZrAlTiNiW/Al mixing powders ((a-1) - (a-6)) and the corresponding micrograph (a).
fig0015,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr3.jpg,Fig. 3,XRD patterns of the SPS-ed pure Al and Al-HEA composites with different contents of HEA reinforcement.
fig0020,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr4.jpg,Fig. 4,"The zoom-in XRD pattern at 2θ = 38.2–39.2° (a) fromFig. 3, and variation of lattice constant (α) of Al phase (b) for SPS-ed pure Al and Al-HEA composites."
fig0025,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr5.jpg,Fig. 5,"FESEM patterns of Al10 composite ((a) and (b)), and the elemental mappings ((b-1) - (b-6)) corresponding to image (b)."
fig0030,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr6.jpg,Fig. 6,FESEM patterns of Al20 ((a) and (b)) and Al30 ((c) and (d)) composites.
fig0035,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr7.jpg,Fig. 7,Schematic illustration of the microstructural evolution of the Al-HEA composites during MA and SPS processes.
fig0040,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr8.jpg,Fig. 8,"Microhardness of the SPS-ed pure Al, and Al10, Al20 and Al30 composites."
fig0045,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr9.jpg,Fig. 9,"Room-temperature compression stress–strain curves of the SPS-ed pure Al, and Al10, Al20 and Al30 composites."
fig0050,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr10.jpg,Fig. 10,Statistics of BCC-particle diameters of the tested Al-HEA composites collected from FESEM images (Figs. 5 and 6).
fig0055,articles_all/10.1016.j.mtcomm.2020.101366/figures/gr11.jpg,Fig. 11,"Potentiodynamic polarization curves and local magnification for the SPS-ed pure Al, and Al10, Al20 and Al30 composites."
