Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"High- and medium-entropy alloys have emerged as promising materials with significant potential for diverse technical applications. Notably, their use in the field of energy technology has attracted particular interest, where thermophysical properties play a pivotal role. In this context, this study aims to investigate the thermophysical properties, namely thermal expansion behavior, thermal diffusivity, specific heat capacity, thermal conductivity, and the electric resistivity of single-phase face-centered cubic alloys between 300 K and 773 K. In addition to thermal conductivity, the electric resistivity was measured. Based on the Wiedemann-Franz law, electronic and phononic contributions to the overall thermal conductivity were evaluated. Complementary insights into the electronic state of the investigated materials were obtained by electron spin resonance measurements, revealing the presence of short-range ordering in all alloys. The specific heat capacity is found to dominate the thermal conductivity. Furthermore, the study shows the decisive influence of chemical complexity on the thermophysical properties. Notably, the observed influences extend to the electronic thermal conductivity, pointing out the correlation between composition and heat transport properties. This comprehensive investigation provides a foundation for understanding and tailoring the thermophysical behavior of the studied alloys, offering valuable insights for their targeted deployment in advanced energy applications.",[],[]
1,Introduction,"The design and in-depth exploration of multifunctional materials based on the metallic d‑block elements represent an advancing field within materials science. Among the various multicomponent systems, so-called compositionally complex alloys (CCAs) are currently acknowledged as a promising category of functional or structural materials[1–4]. In comparison with conventional alloys, CCAs break down the traditional notions, since they consist of two to four principal elements (Medium Entropy Alloys – MEA) or five or more elements (High Entropy Alloys – HEA) in near-equiatomic configuration[5,6]and are currently recognized as a promising category of functional and/or structural materials. These materials exhibit substantial potential and exceptional performance in terms of mechanical properties[7–13], electronic applications[14,15], corrosion resistance[16–19], and irradiation resistance[20,21]. Furthermore, HEAs and MEAs show high potential for applications in renewable energy[22]and energy storage, like hydrogen retention[23,24]or oxygen evolution and reduction[25].",[],[]
1,Introduction,"The equiatomic single-phase fcc CrMnFeCoNi HEA, commonly known as the 'Cantor alloy'[1]and its derived variants are often acknowledged as suitable single-phase model systems due to their different high-entropy effects resulting from their chemical complexity and are thus frequently proposed for these use cases. An important feature of this innovative class of alloys is its ability to offer new ways of tailoring material properties by manipulating compositional complexity. This involves alterations in the variety and concentration of elements[12]. In addition, it not only expands the conventional concept of alloying and microstructure modification but also presents challenges in understanding physical properties and the potential for tuning them. The extensive potential of these alloys underlines therefore the desirability of acquiring knowledge regarding their thermophysical properties in a broad temperature range. This is particularly noteworthy considering the abundance of literature on the mechanical properties, creating a knowledge gap regarding the thermophysical characteristics.",[],[]
1,Introduction,"The thermophysical properties of HEAs, including thermal conductivity, specific heat capacity, density, thermal diffusivity and coefficient of thermal expansion (CTE) as well as the resistivity and the Seebeck coefficient, are pivotal in understanding their behavior under diverse temperature conditions in applications like catalysis[26]or energy conversion[27]. The knowledge about the influences on these specific properties is the key to optimizing HEAs for specific applications, from advanced engineering materials to sustainable energy solutions. Moreover, the study of their thermophysical properties challenges our fundamental understanding of materials science, providing insights into the intricate interplay between composition, microstructure, and physical properties. Within the last decade, relevant contributions have been made byJin et al.[28,29], who used experimental and first-principle approaches to determine the thermophysical properties of Ni-containing HEAs and MEAs. They found that the influence of Cr is critical and dramatically reduces the thermal conductivity of the alloys, while other studies focused mainly on the influence of Al in these alloys[30]. When it comes to thermophysical properties, the influence of electrons and short-range ordering (SRO) may be significant, as suggested by first-principle simulations[28,29]. However, the experimental verification of the electronic state, which is predominant for the determination of thermophysical properties, remains elusive. In previous works, measurements of the electronic state have primarily been performed using conduction electron spin resonance (CESR), a method that can be used to determine the quantity of free electrons[31–33]. Additionally, the effects of atomic ordering and bonding are measurable within this principle. This approach was particularly focused on steels and is extended in the present study to encompass HEAs and MEAs. To sum up, the here presented experimental study focuses on both the measurement of thermophysical properties between 300 K and 773 K and the determination of the electronic state of HEAs and MEAs.",[],[]
2.1,Methods.Materials preparation and heat treatment,"Equiatomic and single-phase fcc alloys including CrMnFeCoNi, CrFeCoNi, CrCoNi and CrFeNi were produced from high-purity raw elements (≥ 99.9 wt%). The latter were vacuum induction melted under a protective Ar atmosphere as 2.1 kg ingots using a Leybold Heraeus IS 1/III vacuum induction furnace, poured into a cylindrical steel mold (45 mm diameter, 160 mm height), and cooled to 300 K as described in one of our previous studies[34]. Subsequently, the cast ingots underwent turning on a lathe, reducing their diameter to 40 mm, after which they were cut into two equal halves (each 80 mm in height) perpendicular to the rod axis. The cast ingots were homogenized at 1473 K for 48 hours in evacuated fused silica tubes (3 × 10-5mbar), cold worked by rotary swaging at 300 K with a diameter reduction of ∼60% using a four-die rotary swaging machine (HMP R6–4–120–21S, HMP Umformtechnik GmbH), and recrystallized at 1100°C for 30 min, see Ref.[35]for more details.",[],[]
2.2,"Methods.Metallographic preparation, microstructural analysis, and chemical composition","Specimens were ground using silicon carbide abrasive papers down to 600 mesh (corresponding to a particle size of 9 μm). Subsequently, the specimens underwent polishing by diamond suspension subsequently to 1 μm. The final polishing step was executed using a vibropolishing machine (Buehler Vibromet 2) with colloidal silica (particle size of 0.06 μm) over a two-day period.",[],[]
2.2,"Methods.Metallographic preparation, microstructural analysis, and chemical composition","Phase characterization was conducted using X-ray diffraction (XRD) after heat treatment and subsequent thermophysical measurements, performed on the samples utilized for DSC measurements. XRD was performed using a Bruker D8 Advance.CuKαradiations (CuKα1= 1.54060 Å,CuKα2= 1.544392 Å) were utilized, with an operating voltage of 40 kV and an operating current of 40 mA. A Lynx-Eye detector, a detector divergence slit, a 30°-to-90° 2θ range, a 0.01° step size, and a 10-second measurement time per step were employed. To suppressCuKβradiation, a Ni-filter was used. Line-profile Rietveld analyses using the software MAUD (University of Trento) have been performed to obtain the lattice parameters of the investigated alloys[36].",[],[]
2.2,"Methods.Metallographic preparation, microstructural analysis, and chemical composition","Microstructural analyses were performed through scanning electron microscopy (SEM). Backscattered electron (BSE) micrographs were employed using a MIRA3 SEM by TESCAN ORSAY HOLDING, a. s. Grain size analysis was conducted using four BSE micrographs taken at various locations spaced several millimeters apart, spanning from the center to the outer surface of the recrystallized rods. The Heyn linear intercept method was employed to determine the average grain size. Eight lines of equal length were superimposed on each micrograph, in line with the guidelines outlined in ASTM E-112[37]. Each line was required to intersect a minimum of 50 grains, resulting in a substantial number of intercepts, typically ranging from 500 to 1000 per micrograph. To calculate the average grain size, four independent measurements were carried out, and the error bars reflect the mean deviation from the calculated mean value.",[],[]
2.2,"Methods.Metallographic preparation, microstructural analysis, and chemical composition","The chemical compositions of the alloys were analyzed using energy dispersive spectrometry (EDS). EDS was applied using an X-MaxN 50 detector by Oxford Instruments with an acceleration voltage of 15 keV at a working distance of 15 mm. Additionally, oxygen and nitrogen contents were determined through carrier gas hot extraction with a ONH2000 by ELTRA GmbH.",[],[]
2.3.1,Methods.Thermophysical properties.Thermal conductivity,"The thermal conductivityλwas assessed using the dynamic indirect measurement method, in which the specific heat capacitycp, thermal diffusivitya, and densityρwere measured independently from each other as temperature-dependent parameters within a temperature range spanning from 300 K to 773 K.Eq. (1)shows the relationship between these properties[38,39]:(1)λ=cp·a·ρ",[],[]
