Section Heading,Section Title,Paragraph,Figures,Tables
0,Abstract,"The Al                        x                     CoCrCuFeNi alloys with different aluminum contents prepared by arc melting were investigated on their adhesive wear behaviors. With increasing aluminum content, both the volume fraction of BCC phase and the hardness value increase, and thus the wear coefficient decreases. Moreover, the wear mechanism changes from delamination wear to oxidative wear. For low aluminum content, x                     =0.5, the microstructure is of simple ductile FCC phase and the worn surface is deeply grooved and undergoes a periodic delamination which produces big debris. For medium aluminum content, x                     =1.0, the microstructure is a mixture of FCC and BCC phases, and the worn surface is deeply grooved in FCC region but smooth in BCC region. Delamination wear is still dominant although oxidative wear occurs in the smooth region. For high aluminum content, x                     =2.0, the microstructure is of BCC phase and the worn surface is smooth and yields fine debris with high oxygen content. The high aluminum content gives a large improvement in wear resistance. This improvement is attributed to its high hardness, which not only resists plastic deformation and delamination, but also brings about the oxidative wear in which oxide film could assist the wear resistance.",[],[]
1,Introduction,"In recent years, an entirely new alloy field, high-entropy alloys with multiple principal elements in equimolar or near-equimolar ratios, has been explored by Jien-Wei Yeh et al.[1,2]. High-entropy alloys may contain at least five principal elements with the concentration of each element being between 35 and 5at.%. Solid solutions with multi-principal elements will tend to be more stable at elevated temperatures because of their large mixing entropies[1]. The previous studies[1–6]have shown that high-entropy alloys might possess simple crystal structures, ease of nanoprecipitation, and promising properties in high hardness and superior resistance to temper softening, wear, oxidation and corrosion. Among these, AlxCoCrCuFeNi alloys have a gradual change from FCC phases to BCC phases, and hardness increase from 120 to 650HV with increasing aluminum content. They are promising for the applications in structural and tool industries[5,6].",[],[]
1,Introduction,"The wear performance of the alloys based on one principal element has been investigated widely. One of the most common forms of the coefficient of friction curves in adhesive wear test is characterized by an initial rise in the coefficient of friction, up to a peak value, followed by gradual decline to a steady-state value[7–13]. Fig. 1 shows a schematic diagram of this typical coefficient of friction versus sliding distance curve[13]. The factors influencing the friction curve of metallic materials include hardness, plastic deformation, work-hardening and evolution of crystallographic texture all of which can take place during the wear process[13,14]. Due to the importance of wear behavior of high-entropy alloys for their industrial applications, the adhesive wear behavior of AlxCoCrCuFeNi alloys is investigated in this paper.",['fig1'],[]
2,Experimental details,"The AlxCoCrCuFeNi high-entropy alloys with different aluminum contents (x=0–2.0 in molar ratio) were prepared in this study by arc melting and casting method. The method followed the same procedure as described in reference[3]. The alloy specimens were polished and etched withaqua regia(HNO3:HCl=1:3) for observation under an optical microscope and scanning electron microscope (SEM, JEOL JSM-5410). The chemical compositions of different phases were analyzed by SEM energy dispersive spectrometry (EDS). Hardness measurements were conducted using a Vickers hardness tester (Matsuzawa Seiki MV-1) under a load of 49N and at a loading speed of 70μm/s for 20s. Scattering errors were within 3%. The adhesive wear behavior of the alloys was investigated by pin-on-disk sliding using a self-made wear testing machine under dry sliding conditions as shown in Fig. 2 . Pins of 8mm diameter and 25mm height were worn for a pre-determined distance against a 75cm diameter disk made of SKH-51 steel with a hardness of 890HV, at a distance of 20mm from center, sliding speed of 0.5m/s and normal load of 29.4N. The sliding distance for low and medium aluminum contents, i.e.x=0.5 and 1.0, was 5400m due to their high wear loss, whereas that for high aluminum content, i.e.x=2.0, was 64,800m due to its excellent wear resistance. Both pins and counterface were polished to 0.25μm finish before each test. Wear debris and worn surfaces were characterized using SEM and EDS. An X-ray diffractometer (XRD, Rigaku ME510-FM2, Tokyo, Japan) was used for the phase identification with the 2θscan ranging from 20° to 100° at a speed of 1°min−1. The typical radiation condition was 30kV and 20mA with a copper target. Wear coefficient is defined as follows:Wr=ΔVF∫0LpμdLwhereWris the wear coefficient, ΔVthe volumetric loss of the specimen (pin) after sliding for a distanceLpand obtained by dividing the weight loss of the specimen after sliding by its density,μthe coefficient of friction,Lthe sliding distance andFis the load.",['fig2'],[]
3.1,Results and discussion.Microstructure and hardness of as-cast AlxCoCrCuFeNi alloys,"In order to compare with the microstructure of the worn surface after adhesive wear test, the microstructure of as-cast AlxCoCrCuFeNi alloys was investigated first. Fig. 3 gives the typical microstructures of the alloys with different aluminum contents. Typical cast dendrite and interdendrite structures (defined as DR and ID in the figures, respectively) are observed in the alloys. The chemical compositions of the alloys analyzed by EDS are summarized in Table 1 . Copper segregation is obviously seen in the interdendrite region. Fig. 4 shows the XRD analysis of crystal structure. It reveals that they consist of simple phases, FCC and BCC in the as-cast state. Thus for low aluminum content (x=0.5), both the dendrite and Cu-rich interdendrite are of one simple FCC phase. As the aluminum content increases tox=1.0, the dendrite region is of BCC phase and featured by the modulated structures of spinodal decomposition (defined as SD), while most region of the interdendrite is composed of FCC and BCC phases, and small region is the Cu-rich FCC phase. For high aluminum content (x=2.0), the BCC dendrite is of spinodal structure and the small interdendrite is the Cu-rich FCC phase. It is clear that with the aluminum content increase, the volume fraction of BCC phase increases while the amount of interdendrite decreases. All these observations are in accordance with the microstructure analysis of AlxCoCrCuFeNi alloys reported by Tong et al.[5]in which aluminum content varied from 0 to 3.0.","['fig3', 'fig4']",['tbl1']
3.1,Results and discussion.Microstructure and hardness of as-cast AlxCoCrCuFeNi alloys," Fig. 5 shows the hardness variation with aluminum content. The hardness value rises as the aluminum content increases. In comparison with the microstructural evolution indicated in Fig. 5 , it can be seen that the hardness value rise is coincident with the large increase in the volume fraction of BCC phase. This obviously implies that the BCC phase is much stronger than FCC phase by about three folds. This can be explained with three viewpoints. The first is that slip along the closest packing planes {110} in BCC structure is more difficult than that along those {111} in FCC structure as {110} planes are less dense and more irregular and thus possess a smaller interplanar spacing and higher lattice friction for dislocation motion than {111} planes in the atomic scale[15–17]. The second is due to the incorporation of stronger binding elements like Al and high melting point elements like Cr in BCC phase to increase the Young's modulus and the slip resistance[16,17]. The third is the spinodal decomposition of BCC phase by which a nano-spaced spinodal structure may also provide a nano-composite strengthening effect[18].","['fig5', 'fig5']",[]
3.2.1,Results and discussion.Adhesive wear behavior.Wear coefficient,"The wear coefficient is used as a parameter to evaluate the adhesive wear resistance. Smaller wear coefficient means higher wear resistance since it requires more energy to remove the same volume. The effect of aluminum content on the wear coefficient of AlxCoCrCuFeNi alloys is shown in Fig. 5 . The wear coefficient decreases as the aluminum content increases. The wear coefficient of high aluminum content is about one seventh of that of low aluminum content. Fig. 6 shows the correlation between wear coefficient and hardness. It can be seen that the wear coefficient of AlxCoCrCuFeNi alloys is sensitively related to their hardness in transition from FCC phase to BCC phase. This result is in agreement with Khruschov's conclusion, that is, the wear resistance of materials is in general proportional to their Vickers’ hardness[19]. As discussed earlier, BCC phase is much stronger than FCC phase. It is reasonable that wear resistance becomes better with increasing amount of BCC phase. However, more detailed investigation as follows is required to understand the full mechanism.","['fig5', 'fig6']",[]
3.2.2,Results and discussion.Adhesive wear behavior.Worn surface and debris," Fig. 7 shows the morphologies of the worn surface after test and the debris produced during this test. Obvious differences in wear surface morphology are seen as a function of aluminum content. With increasing aluminum content, surface roughness and the degree of deformation decrease. Forx=0.5, the worn surface is grooved and significant ductile deformation along the groove is seen. Moreover, a few lateral cracks exist in the worn surface. Compared with the debris of the Al1.0CoCrCuFeNi and Al2.0CoCrCuFeNi alloys, Al0.5CoCrCuFeNi alloy debris is the biggest, around 150–300μm, and has a disk-like shape. This indicates the adhesive wear mechanism of Al0.5CoCrCuFeNi is predominantly of delamination wear, by which the worn surface undergoes a periodic delamination fracture[20]. This is reasonable since delamination wear is a typical mechanism for ductile metals and Al0.5CoCrCuFeNi alloy is composed of ductile FCC phases. The chemical composition of both the worn surface and wear debris are shown in Table 2 . It can be seen that they all contain significant amount of oxygen indicating oxidation occurs on the worn surface heated by friction and deformation.",['fig7'],['tbl2']
3.2.2,Results and discussion.Adhesive wear behavior.Worn surface and debris,"For Al1.0CoCrCuFeNi alloy, the surface is locally grooved, but is smooth in other regions. A few lateral cracks are also observed in the worn surface. The debris size is around 80–200μm, smaller than that of Al0.5CoCrCuFeNi alloy. The oxygen contents worn surface and debris are all higher than that of Al0.5CoCrCuFeNi alloy as shown in Table 2 . This indicates that the wear type of Al1.0CoCrCuFeNi alloy is still predominantly of delamination wear although oxidative wear become pronounced. This is due to the fact that there is a significant portion of soft and ductile FCC phase.",[],['tbl2']
3.2.2,Results and discussion.Adhesive wear behavior.Worn surface and debris,"In comparison with the alloys with low and medium aluminum content (x=0.5 and 1.0), an increase in aluminum content to 2.0 results in a smoother worn surface, Fig. 7 e, with fewer shallow abrasive grooves. Wear debris is particle-like and finer, around 10μm in size. The percentage of oxygen on the worn surface of Al2.0CoCrCuFeNi alloy is lower than that of both Al0.5CoCrCuFeNi and Al1.0CoCrCuFeNi, nevertheless, the oxygen concentration of wear debris is much more than that of both the Al0.5CoCrCuFeNi and Al1.0CoCrCuFeNi alloys. All these indicate that the wear mechanism is predominantly of oxidative wear. This is reasonable since the strong resistance of hard BCC phase to plastic deformation and delamination might keep the oxide layer to withstand the abrasion. Based on this, the large improvement of wear resistance in the alloy of high aluminum content is contributed by the oxide film in addition to the hardness which resists plastic deformation and delamination.",['fig7'],[]
