x-Value,Al,Co,Cr,Cu,Fe,Ni,O
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Nominal,9.09,18.18,18.18,18.18,18.18,18.18,
Worn surface,7.2,16.5,17.3,14.7,17.5,16.2,12.4
Wear debris,6.1,16.4,16.1,15.5,16.5,15.3,16.2
,,,,,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nominal,16.67,16.67,16.67,16.67,16.67,16.67,
Worn surface,15.6,13.6,15.7,14.6,13.5,14.5,14.8
Wear debris,13.2,15.3,16.0,14.6,14.3,13.6,18.4
,,,,,,,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Nominal,28.56,14.28,14.28,14.28,14.28,14.28,
Worn surface-A,25.1,15.9,14.2,9.1,14.9,14.1,5.6
Worn surface-B,19.4,7.7,6.7,39.8,7.7,9.6,9.2
Wear debris,12.4,6.0,5.5,6.2,6.6,6.0,56.8
