Alloy,Processing condition,Testing condition,Property,Value,Unit
NbTiVZr,-,-,Density,6.52,gcm-3
NbTiV2Zr,-,-,Density,6.34,gcm-3
CrNbTiZr,-,-,Density,6.67,gcm-3
CrNbTiVZr,-,-,Density,6.57,gcm-3
NbTiVZr,-,-,Hardness,3.29±0.03,GPa
NbTiV2Zr,-,-,Hardness,2.99±0.03,GPa
CrNbTiZr,-,-,Hardness,4.10±0.04,GPa
CrNbTiVZr,-,-,Hardness,4.72±0.05,GPa
CrNbTiVZr,-,Bright regions,Chemical Composition,Cr: 4.1; Nb: 31.6; Ti: 33.1; V: 12.8; Zr: 18.4,at%
CrNbTiVZr,-,Dark regions,Chemical Composition,Cr: 29.4; Nb: 16.1; Ti: 9.7; V: 22.2; Zr: 22.7,at%
NbTiVZr,non-equilibrium solidification,-,Liquidus Temperature,1760,degC
NbTiV2Zr,non-equilibrium solidification,-,Liquidus Temperature,1717,degC
CrNbTiZr,non-equilibrium solidification,-,Liquidus Temperature,1572,degC
CrNbTiVZr,non-equilibrium solidification,-,Liquidus Temperature,1607,degC
NbTiVZr,non-equilibrium solidification,-,Solidus Temperature,1207,degC
NbTiV2Zr,non-equilibrium solidification,-,Solidus Temperature,1207,degC
CrNbTiZr,non-equilibrium solidification,-,Solidus Temperature,1391,degC
CrNbTiVZr,non-equilibrium solidification,-,Solidus Temperature,1103,degC
NbTiVZr,non-equilibrium solidification,-,Phase Fractions,A2-1: 0.999; A2-2: 0.001; C15: 0,-
NbTiV2Zr,non-equilibrium solidification,-,Phase Fractions,A2-1: 0.995; A2-2: 0.005; C15: 0,-
CrNbTiZr,non-equilibrium solidification,-,Phase Fractions,A2-1: 0.912; A2-2: 0; C15: 0.088,-
CrNbTiVZr,non-equilibrium solidification,-,Phase Fractions,A2-1: 0.95; A2-2: 0.005; C15: 0.045,-
NbTiVZr,-,Phase: bcc A2-1,Elemental Composition,Nb: 25.0; Ti: 25.0; V: 25.0; Zr: 25.0,at%
NbTiV2Zr,-,Phase: bcc A2-1,Elemental Composition,Nb: 20.1; Ti: 20.1; V: 39.8; Zr: 20.1,at%
CrNbTiZr,-,Phase: bcc A2-1,Elemental Composition,Cr: 21.0; Nb: 27.4; Ti: 27.2; Zr: 24.4,at%
CrNbTiVZr,-,Phase: bcc A2-1,Elemental Composition,Cr: 17.9; Nb: 21.0; Ti: 21.0; V: 21.0; Zr: 19.1,at%
NbTiVZr,-,Phase: bcc A2-2,Elemental Composition,Nb: 3.0; Ti: 3.9; V: 85.0; Zr: 8.1,at%
NbTiV2Zr,-,Phase: bcc A2-2,Elemental Composition,Nb: 3.3; Ti: 3.9; V: 84.5; Zr: 8.2,at%
CrNbTiVZr,-,Phase: bcc A2-2,Elemental Composition,Cr: 8.0; Nb: 3.8; Ti: 1.2; V: 16.2; Zr: 70.8,at%
CrNbTiZr,-,Phase: Laves C15,Elemental Composition,Cr: 66.4; Ti: 2.8; Zr: 30.9,at%
CrNbTiVZr,-,Phase: Laves C15,Elemental Composition,Cr: 65.9; Ti: 0.8; Zr: 33.3,at%
NbTiVZr,-,Reaction equation: L-A2-1 (TL),Temperature Metrics,1760,°C
NbTiV2Zr,-,Reaction equation: L-A2-1 (TL),Temperature Metrics,1717,°C
CrNbTiZr,-,Reaction equation: L-A2-1 (TL),Temperature Metrics,1572,°C
CrNbTiVZr,-,Reaction equation: L-A2-1 (TL),Temperature Metrics,1607,°C
NbTiVZr,-,Reaction equation: L-A2-1 (TS),Temperature Metrics,1668,°C
NbTiV2Zr,-,Reaction equation: L-A2-1 (TS),Temperature Metrics,1610,°C
CrNbTiZr,-,Reaction equation: L-A2-1 (TS),Temperature Metrics,1432,°C
CrNbTiVZr,-,Reaction equation: L-A2-1 (TS),Temperature Metrics,1470,°C
CrNbTiZr,-,Reaction equation: A2-1-C15,Temperature Metrics,1363,°C
CrNbTiVZr,-,Reaction equation: A2-1-C15,Temperature Metrics,1234,°C
NbTiVZr,-,Reaction equation: A2-1-A2-2,Temperature Metrics,726,°C
NbTiV2Zr,-,Reaction equation: A2-1-A2-2,Temperature Metrics,843,°C
CrNbTiVZr,-,Reaction equation: A2-1-A2-2,Temperature Metrics,671,°C
CrNbTiZr,-,Reaction equation: A2-1-A3,Temperature Metrics,535,°C
NbTiVZr,-,Reaction equation: A2-1-A2-2+A3,Temperature Metrics,471,°C
NbTiV2Zr,-,Reaction equation: A2-1-A2-2+A3,Temperature Metrics,456,°C
NbTiVZr,-,Reaction equation: A2-1-A2-2+A3,Temperature Metrics,446,°C
NbTiV2Zr,-,Reaction equation: A2-1-A2-2+A3,Temperature Metrics,426,°C
CrNbTiVZr,-,Reaction equation: A2-1-A2-2+C15+A3,Temperature Metrics,440,°C
CrNbTiVZr,-,Reaction equation: A2-1-A2-2+C15+A3,Temperature Metrics,433,°C
NbTiVZr,-,Temperature(in °C): 600,Volume Fraction,0.636,-
NbTiV2Zr,-,Temperature(in °C): 600,Volume Fraction,0.477,-
NbTiV2Zr,-,Temperature(in °C): 600,Volume Fraction,0.523,-
CrNbTiZr,-,Temperature(in °C): 600,Volume Fraction,0.633,-
CrNbTiZr,-,Temperature(in °C): 600,Volume Fraction,0.367,-
CrNbTiVZr,-,Temperature(in °C): 600,Volume Fraction,0.338,-
CrNbTiVZr,-,Temperature(in °C): 600,Volume Fraction,0.288,-
CrNbTiVZr,-,Temperature(in °C): 600,Volume Fraction,0.374,-
NbTiVZr,-,Temperature(in °C): 400,Volume Fraction,0.535,-
NbTiV2Zr,-,Temperature(in °C): 400,Volume Fraction,0.646,-
CrNbTiZr,-,Temperature(in °C): 400,Volume Fraction,0.264,-
CrNbTiVZr,-,Temperature(in °C): 400,Volume Fraction,0.3,-
AlMo0.5NbTa0.5TiZr,cast,annealing,Lattice Parameter,326.8,pm
AlMo0.5NbTa0.5TiZr,cast,compression deformation at 1273K,Lattice Parameter,325.9,pm
AlMo0.5NbTa0.5TiZr,cast,annealing,Lattice Parameter,332.4,pm
AlMo0.5NbTa0.5TiZr,cast,compression deformation at 1273K,Lattice Parameter,332.2,pm
Al0.4Hf0.6NbTaTiZr,cast,annealing,Lattice Parameter,336.7,pm
Al0.4Hf0.6NbTaTiZr,cast,compression deformation at 1273K,Lattice Parameter,337.2,pm
CrMo0.5NbTa0.5TiZr,cast,annealing,Lattice Parameter,325.5,pm
CrMo0.5NbTa0.5TiZr,cast,annealing,Lattice Parameter,338.6,pm
CrMo0.5NbTa0.5TiZr,cast,annealing,Lattice Parameter,733.4,pm
HfNbTaTiZr,cast,annealing,Lattice Parameter,340.4,pm
HfNbTaTiZr,cast,compression deformation at 1273K,Lattice Parameter,340.5,pm
AlMo0.5NbTa0.5TiZr,-,-,Density,7.40+-0.08,g/cm³
Al0.4Hf0.6NbTaTiZr,-,-,Density,9.05+-0.05,g/cm³
CrMo0.5NbTa0.5TiZr,-,-,Density,8.23+-0.05,g/cm³
HfNbTaTiZr,-,-,Density,9.94+-0.05,g/cm³
AlMo0.5NbTa0.5TiZr,-,-,Hardness,5.8+-0.1,GPa
Al0.4Hf0.6NbTaTiZr,-,-,Hardness,4.9+-0.1,GPa
CrMo0.5NbTa0.5TiZr,-,-,Hardness,5.3+-0.1,GPa
HfNbTaTiZr,-,-,Hardness,3.8+-0.1,GPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 296,Compression Strength,2000.0,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1073,Compression Strength,1597,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Compression Strength,745,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1473,Compression Strength,250,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 296,Ultimate Tensile Strength,2368.0,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1073,Ultimate Tensile Strength,1810,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Ultimate Tensile Strength,772,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1473,Ultimate Tensile Strength,275,MPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 296,Elastic Modulus,178.6,GPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1073,Elastic Modulus,80,GPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Elastic Modulus,36,GPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1473,Elastic Modulus,27,GPa
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 296,Fracture Strain,10.0,%
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1073,Fracture Strain,11.0,%
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Fracture Strain,>50,%
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1473,Fracture Strain,>50,%
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 296,Compressive Strength,1841.0,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1073,Compressive Strength,796,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Compressive Strength,298,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1473,Compressive Strength,89,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 296,Ultimate Tensile Strength,2269.0,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1073,Ultimate Tensile Strength,834,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Ultimate Tensile Strength,455,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1473,Ultimate Tensile Strength,135,MPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 296,Elastic Modulus,78.1,GPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1073,Elastic Modulus,48.8,GPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Elastic Modulus,23.3,GPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1473,Elastic Modulus,nan,GPa
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 296,Fracture Strain,10.0,% 
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1073,Fracture Strain,>50,% 
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Fracture Strain,>50,% 
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1473,Fracture Strain,>50,%
AlMo0.5NbTa0.5TiZr,annealed,Matrix grains,Chemical Composition,Al: 19.9; Mo: 11.3; Nb: 22.9; Ta: 10.6; Ti: 18.5; Zr: 16.8,at%
AlMo0.5NbTa0.5TiZr,annealed,Dark large particles (at grain boundaries),Chemical Composition,Al: 39.5; Mo: 0.0; Nb: 10.9; Ta: 2.3; Ti: 7.2; Zr: 40.1,at%
AlMo0.5NbTa0.5TiZr,annealed,Bright nano-lamellar phase,Chemical Composition,Al: 15.4; Mo: 14.5; Nb: 25.6; Ta: 12.8; Ti: 19.2; Zr: 12.5,at%
AlMo0.5NbTa0.5TiZr,annealed,Dark nano-lamellar phase,Chemical Composition,Al: 27.6; Mo: 6.8; Nb: 19.1; Ta: 7.2; Ti: 15.2; Zr: 24.1,at%
AlMo0.5NbTa0.5TiZr,-,Matrix grains,Chemical Composition,Al: 20.8; Mo: 11.6; Nb: 21.9; Ta: 8.7; Ti: 18.2; Zr: 18.8,at%
AlMo0.5NbTa0.5TiZr,-,Dark large particles (at grain boundaries),Chemical Composition,Al: 38.9; Mo: 0.5; Nb: 11.6; Ta: 2.5; Ti: 7.5; Zr: 39.0,at%
AlMo0.5NbTa0.5TiZr,-,Bright nano-lamellar phase,Chemical Composition,Al: 12.1; Mo: 18.1; Nb: 27.1; Ta: 13.2; Ti: 18.8; Zr: 10.6,at%
AlMo0.5NbTa0.5TiZr,-,Dark nano-lamellar phase,Chemical Composition,Al: 32.6; Mo: 4.5; Nb: 15.3; Ta: 4.9; Ti: 12.7; Zr: 30.0,at%
AlMo0.5NbTa0.5TiZr,-,"Gray regions (inside grains, Fig. 6d)",Chemical Composition,Al: 21.7; Mo: 7.2; Nb: 23.2; Ta: 7.8; Ti: 21.3; Zr: 18.9,at%
AlMo0.5NbTa0.5TiZr,-,T_L_NE(in K): 2046 ;T_S_NE(in K): 1314 ;T_2_NE(in K): 1391,Temperature Metrics,2046,°C
Al0.4Hf0.6NbTaTiZr,-,T_L_NE(in K): 2238 ;T_S_NE(in K): 1595,Temperature Metrics,2238,°C
CrMo0.5NbTa0.5TiZr,-,T_L_NE(in K): 2877 ;T_S_NE(in K): 1610 ;T_2_NE(in K): 1664,Temperature Metrics,2877,°C
HfNbTaTiZr,-,T_L_NE(in K): 2290 ;T_S_NE(in K): 1836,Temperature Metrics,2290,°C
AlMo0.5NbTa0.5TiZr,-,Reaction: L-bcc1 (TL),Temperature Metrics,2046,K
Al0.4Hf0.6NbTaTiZr,-,Reaction: L-bcc1 (TL),Temperature Metrics,2238,K
CrMo0.5NbTa0.5TiZr,-,Reaction: L-bcc1 (TL),Temperature Metrics,2877,K
HfNbTaTiZr,-,Reaction: L-bcc1 (TL),Temperature Metrics,2290,K
AlMo0.5NbTa0.5TiZr,-,Reaction: L-bcc1 (TS),Temperature Metrics,1791,K
Al0.4Hf0.6NbTaTiZr,-,Reaction: L-bcc1 (TS),Temperature Metrics,2021,K
CrMo0.5NbTa0.5TiZr,-,Reaction: L-bcc1 (TS),Temperature Metrics,1913,K
HfNbTaTiZr,-,Reaction: L-bcc1 (TS),Temperature Metrics,2131,K
Al0.4Hf0.6NbTaTiZr,-,Reaction: bcc1-bcc2,Temperature Metrics,1318,K
HfNbTaTiZr,-,Reaction: bcc1-bcc2,Temperature Metrics,1258,K
Al0.4Hf0.6NbTaTiZr,-,Reaction: bcc1-bcc2+hcp,Temperature Metrics,1290,K
HfNbTaTiZr,-,Reaction: bcc1-bcc2+hcp,Temperature Metrics,"1092, 992",K
CrMo0.5NbTa0.5TiZr,-,Reaction: bcc1-Laves,Temperature Metrics,1542,K
AlMo0.5NbTa0.5TiZr,-,Reaction: bcc1-Ti3Al,Temperature Metrics,1131,K
AlMo0.5NbTa0.5TiZr,-,Reaction: bcc1-Ti3Al+Al2Zr3,Temperature Metrics,1068,K
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Volume Fraction,1.00,-
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Volume Fraction,0.63,-
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Volume Fraction,0.37,-
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 1273,Volume Fraction,0.01,-
CrMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Volume Fraction,0.80,-
CrMo0.5NbTa0.5TiZr,-,Temperature(in K): 1273,Volume Fraction,0.20,-
HfNbTaTiZr,-,Temperature(in K): 1273,Volume Fraction,1,-
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 973,Volume Fraction,0.64,-
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 973,Volume Fraction,0.24,-
AlMo0.5NbTa0.5TiZr,-,Temperature(in K): 973,Volume Fraction,0.12,-
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 973,Volume Fraction,0.44,-
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 973,Volume Fraction,0.42,-
Al0.4Hf0.6NbTaTiZr,-,Temperature(in K): 973,Volume Fraction,0.13,-
CrMo0.5NbTa0.5TiZr,-,Temperature(in K): 973,Volume Fraction,0.71,-
CrMo0.5NbTa0.5TiZr,-,Temperature(in K): 973,Volume Fraction,0.29,-
HfNbTaTiZr,-,Temperature(in K): 973,Volume Fraction,0.51,-
HfNbTaTiZr,-,Temperature(in K): 973,Volume Fraction,0.49,-
Al,-,-,Atomic Radius,143.0,pm
Cr,-,-,Atomic Radius,128.0,pm
Hf,-,-,Atomic Radius,159.0,pm
Mo,-,-,Atomic Radius,139.0,pm
Nb,-,-,Atomic Radius,146.0,pm
Ta,-,-,Atomic Radius,146.0,pm
Ti,-,-,Atomic Radius,147.0,pm
Zr,-,-,Atomic Radius,160.0,pm
Al,-,-,Electronegativity,1.61,-
Cr,-,-,Electronegativity,1.66,-
Hf,-,-,Electronegativity,1.3,-
Mo,-,-,Electronegativity,2.16,-
Nb,-,-,Electronegativity,1.6,-
Ta,-,-,Electronegativity,1.5,-
Ti,-,-,Electronegativity,1.54,-
Zr,-,-,Electronegativity,1.33,-
Al,-,-,Valence Electron Concentration,3.0,-
Cr,-,-,Valence Electron Concentration,6.0,-
Hf,-,-,Valence Electron Concentration,4.0,-
Mo,-,-,Valence Electron Concentration,6.0,-
Nb,-,-,Valence Electron Concentration,5.0,-
Ta,-,-,Valence Electron Concentration,5.0,-
Ti,-,-,Valence Electron Concentration,4.0,-
Zr,-,-,Valence Electron Concentration,4.0,-
Al,-,-,Melting Point,933.5,K
Cr,-,-,Melting Point,2180.0,K
Hf,-,-,Melting Point,2506.0,K
Mo,-,-,Melting Point,2896.0,K
Nb,-,-,Melting Point,2750.0,K
Ta,-,-,Melting Point,3290.0,K
Ti,-,-,Melting Point,1941.0,K
Zr,-,-,Melting Point,2128.0,K
Al-Mo(Al12Mo),-,<934, Mixing Enthalpy,-1.45,kJ/mol
Al-Mo(Al5Mo),-,<1008, Mixing Enthalpy,-2.83,kJ/mol
Al-Mo(Al4Mo),-,<1403, Mixing Enthalpy,-3.26,kJ/mol
